Date,Price,Signal,Year,Strike,StrikeCount
2024-07-31,132.39,SELL,2024,,0
2024-07-26,128.88,BUY,2024,Y,0
2024-07-24,123.62,SELL,2024,X,2
2024-07-11,113.84,BUY,2024,Y,0
2024-06-25,110.04,SHORT,2024,X,10
2024-06-13,115.47,BUY,2024,X,3
2024-06-04,114.15,SELL,2024,X,1
2024-05-30,114.84,BUY,2024,X,2
2024-05-22,115.81,SELL,2024,Y,0
2024-05-20,119.2,BUY,2024,X,1
2024-05-14,116.18,SELL,2024,X,4
2024-05-02,113.45,BUY,2024,Y,0
2024-04-30,112.72,SELL,2024,X,3
2024-04-23,111.1,BUY,2024,Y,0
2024-04-16,106.86,SHORT,2024,X,9
2024-04-12,110.89,BUY,2024,X,2
2024-04-10,110.43,SELL,2024,X,2
2024-04-05,116.17,BUY,2024,X,1
2024-04-02,115.26,SHORT,2024,X,8
2024-03-13,113.09,BUY,2024,Y,0
2024-03-05,110.45,SELL,2024,X,1
2024-02-22,104.68,BUY,2024,Y,0
2024-02-16,101.7,SHORT,2024,X,7
2024-02-12,103.89,BUY,2024,X,3
2024-01-31,104.56,SELL,2024,Y,0
2024-01-29,105.63,BUY,2024,X,2
2024-01-24,103.1,SHORT,2024,X,6
2023-12-26,103.18,BUY,2023,X,1
2023-12-18,102.0,SELL,2023,X,3
2023-12-04,90.67,BUY,2023,Y,0
2023-11-21,87.29,SELL,2023,X,2
2023-11-14,85.79,BUY,2023,Y,0
2023-11-08,81.69,SELL,2023,X,1
2023-10-24,70.91,BUY,2023,Y,0
2023-10-18,72.22,SELL,2023,Y,0
2023-10-09,72.55,BUY,2023,X,4
2023-10-05,71.87,SHORT,2023,X,5
2023-09-28,74.77,BUY,2023,X,3
2023-09-21,74.75,SHORT,2023,X,4
2023-09-19,76.99,BUY,2023,X,2
2023-09-12,79.66,SELL,2023,Y,0
2023-09-07,80.45,BUY,2023,X,1
2023-09-05,81.84,SELL,2023,Y,0
2023-08-29,78.25,BUY,2023,Y,0
2023-08-25,78.0,SHORT,2023,X,3
2023-08-23,79.66,BUY,2023,X,5
2023-08-21,79.02,SHORT,2023,X,2
2023-08-14,83.33,BUY,2023,X,4
2023-08-10,84.66,SELL,2023,Y,0
2023-08-07,84.75,BUY,2023,X,3
2023-08-03,81.45,SELL,2023,X,8
2023-08-01,84.49,BUY,2023,X,2
2023-07-20,81.31,SHORT,2023,X,1
2023-07-14,81.34,BUY,2023,X,1
2023-06-29,77.32,SELL,2023,X,7
2023-05-30,66.59,BUY,2023,Y,0
2023-05-22,68.85,SHORT,2023,Y,0
2023-04-11,59.29,BUY,2023,Y,0
2023-04-06,58.08,SELL,2023,X,6
2023-03-14,55.02,BUY,2023,Y,0
2023-03-07,54.04,SHORT,2023,X,1
2023-02-23,53.83,BUY,2023,Y,0
2023-02-17,55.11,SHORT,2023,Y,0
2023-02-01,57.06,BUY,2023,X,1
2023-01-30,51.99,SELL,2023,X,5
2023-01-04,47.1,BUY,2023,Y,0
2022-12-28,45.37,SHORT,2022,X,1
2022-12-21,45.76,BUY,2022,X,1
2022-12-19,45.66,SELL,2022,X,4
2022-11-30,44.3,BUY,2022,Y,0
2022-11-28,43.82,SELL,2022,X,3
2022-11-23,43.94,BUY,2022,X,1
2022-11-21,42.41,SELL,2022,X,2
2022-11-07,38.72,BUY,2022,Y,0
2022-11-02,39.43,SHORT,2022,Y,0
2022-10-24,37.96,BUY,2022,Y,0
2022-10-20,37.04,SELL,2022,X,1
2022-10-18,39.3,BUY,2022,X,1
2022-10-07,40.28,SELL,2022,Y,0
2022-10-03,39.25,BUY,2022,Y,0
2022-09-30,37.9,SHORT,2022,X,1
2022-09-28,39.33,BUY,2022,X,4
2022-09-21,39.79,SHORT,2022,Y,0
2022-09-19,40.04,BUY,2022,X,3
2022-09-13,40.32,SELL,2022,Y,0
2022-09-08,40.82,BUY,2022,X,2
2022-08-30,40.98,SHORT,2022,Y,0
2022-08-24,41.57,BUY,2022,X,1
2022-08-17,43.78,SELL,2022,Y,0
2022-08-08,42.91,BUY,2022,Y,0
