Date,Price,Signal,Year,Strike,StrikeCount
2024-07-10,179.67,BUY,2024,,0
2024-06-21,184.76,SELL,2024,Y,0
2024-06-18,185.88,BUY,2024,X,1
2024-06-14,182.68,SELL,2024,X,2
2024-05-31,182.15,BUY,2024,Y,0
2024-05-29,179.7,SELL,2024,X,1
2024-05-03,176.27,BUY,2024,Y,0
2024-04-10,187.82,SHORT,2024,Y,0
2024-03-20,183.98,BUY,2024,Y,0
2024-03-13,185.91,SELL,2024,Y,0
2024-03-08,186.08,BUY,2024,X,1
2024-03-06,183.8,SELL,2024,X,1
2024-02-06,163.03,BUY,2024,Y,0
2024-01-09,167.14,SELL,2024,Y,0
2024-01-05,165.93,BUY,2024,Y,0
2023-12-29,162.91,SHORT,2023,X,1
2023-12-22,163.68,BUY,2023,X,2
2023-12-15,164.76,SELL,2023,Y,0
2023-12-11,165.2,BUY,2023,X,1
2023-12-05,166.82,SELL,2023,Y,0
2023-11-22,154.21,BUY,2023,Y,0
2023-11-17,155.31,SELL,2023,Y,0
2023-11-15,158.4,BUY,2023,X,1
2023-11-06,157.27,SELL,2023,X,1
2023-10-24,147.52,BUY,2023,Y,0
2023-10-12,153.58,SHORT,2023,Y,0
2023-09-25,149.99,BUY,2023,Y,0
2023-09-20,150.34,SELL,2023,Y,0
2023-09-12,146.96,BUY,2023,Y,0
2023-08-31,149.1,SHORT,2023,Y,0
2023-08-25,146.04,BUY,2023,Y,0
2023-08-07,153.32,SELL,2023,Y,0
2023-06-27,131.44,BUY,2023,Y,0
2023-06-14,131.36,SELL,2023,X,1
2023-06-02,126.84,BUY,2023,Y,0
2023-05-30,126.39,SHORT,2023,X,1
2023-05-18,129.23,BUY,2023,X,2
2023-05-04,133.05,SHORT,2023,Y,0
2023-04-28,134.07,BUY,2023,X,1
2023-04-14,141.33,SELL,2023,Y,0
2023-03-20,129.89,BUY,2023,Y,0
2023-03-06,141.15,SELL,2023,Y,0
2023-03-02,139.22,BUY,2023,Y,0
2023-02-27,137.82,SHORT,2023,X,1
2023-02-14,142.61,BUY,2023,X,1
2023-02-06,142.59,SELL,2023,X,1
2023-01-20,130.98,BUY,2023,Y,0
2023-01-17,134.77,SHORT,2023,Y,0
2022-12-23,128.7,BUY,2022,Y,0
2022-12-06,135.07,SELL,2022,Y,0
2022-11-11,126.47,BUY,2022,Y,0
2022-11-08,122.15,SELL,2022,X,2
2022-11-04,124.08,BUY,2022,X,1
2022-11-02,119.32,SELL,2022,X,1
2022-10-27,117.0,BUY,2022,Y,0
2022-10-20,113.97,SHORT,2022,X,1
2022-09-28,115.41,BUY,2022,X,3
2022-09-14,137.11,SHORT,2022,Y,0
2022-09-07,137.56,BUY,2022,X,2
2022-09-02,136.41,SHORT,2022,X,2
2022-08-30,138.95,BUY,2022,X,1
2022-08-19,143.84,SELL,2022,Y,0
2022-08-09,138.48,BUY,2022,Y,0
2022-08-05,136.37,SHORT,2022,X,1
