Date,Price,Signal,Year,Strike,StrikeCount
2024-07-23,109.56,BUY,2024,,0
2024-07-19,107.12,SELL,2024,X,1
2024-07-05,101.99,BUY,2024,Y,0
2024-06-07,103.61,SELL,2024,Y,0
2024-05-31,100.47,BUY,2024,Y,0
2024-05-17,100.27,SELL,2024,X,3
2024-05-15,100.34,BUY,2024,X,1
2024-05-13,99.29,SELL,2024,X,2
2024-05-01,95.93,BUY,2024,Y,0
2024-04-26,95.47,SELL,2024,X,1
2024-04-17,90.2,BUY,2024,Y,0
2024-04-12,88.85,SHORT,2024,X,1
2024-04-09,90.81,BUY,2024,X,2
2024-04-04,90.92,SHORT,2024,Y,0
2024-04-02,91.82,BUY,2024,X,1
2024-03-14,94.21,SELL,2024,Y,0
2024-03-04,90.21,BUY,2024,Y,0
2024-02-26,91.07,SELL,2024,Y,0
2024-02-21,89.96,BUY,2024,Y,0
2024-02-05,91.94,SHORT,2024,Y,0
2024-01-29,91.7,BUY,2024,Y,0
2024-01-10,94.97,SHORT,2024,Y,0
2023-12-26,93.18,BUY,2023,Y,0
2023-12-15,94.46,SELL,2023,Y,0
2023-12-11,92.19,BUY,2023,Y,0
2023-11-27,94.05,SELL,2023,Y,0
2023-11-13,90.0,BUY,2023,Y,0
2023-11-06,90.97,SELL,2023,Y,0
2023-11-02,89.7,BUY,2023,Y,0
2023-10-12,92.83,SHORT,2023,Y,0
2023-10-05,91.98,BUY,2023,Y,0
2023-09-21,96.39,SELL,2023,Y,0
2023-09-11,94.27,BUY,2023,Y,0
2023-09-01,95.73,SHORT,2023,Y,0
2023-08-25,95.07,BUY,2023,Y,0
2023-08-01,99.09,SHORT,2023,Y,0
2023-07-26,98.23,BUY,2023,Y,0
2023-07-14,99.53,SELL,2023,Y,0
2023-06-02,90.81,BUY,2023,Y,0
2023-05-15,95.0,SHORT,2023,Y,0
2023-05-05,95.24,BUY,2023,X,3
2023-05-02,98.72,SELL,2023,Y,0
2023-04-28,99.16,BUY,2023,X,2
2023-04-21,97.77,SELL,2023,X,2
2023-04-18,100.25,BUY,2023,X,1
2023-04-10,98.57,SELL,2023,X,1
2023-03-27,91.97,BUY,2023,Y,0
2023-03-09,98.96,SHORT,2023,Y,0
2023-03-03,98.87,BUY,2023,Y,0
2023-02-15,101.11,SHORT,2023,Y,0
2023-02-10,102.36,BUY,2023,X,1
2023-02-02,103.51,SELL,2023,Y,0
2023-01-20,101.82,BUY,2023,Y,0
2023-01-10,102.19,SELL,2023,Y,0
2022-12-27,102.68,BUY,2022,X,2
2022-12-19,100.61,SHORT,2022,X,2
2022-12-12,102.6,BUY,2022,X,1
2022-12-06,102.55,SELL,2022,X,2
2022-11-11,93.77,BUY,2022,Y,0
2022-11-09,91.53,SELL,2022,X,1
2022-11-07,90.76,BUY,2022,Y,0
2022-11-02,90.94,SELL,2022,Y,0
2022-10-13,85.92,BUY,2022,Y,0
2022-10-06,85.89,SHORT,2022,X,1
2022-10-04,85.68,BUY,2022,Y,0
2022-09-26,91.09,SHORT,2022,Y,0
2022-09-16,95.56,BUY,2022,X,2
2022-09-14,93.7,SHORT,2022,X,2
2022-09-08,94.94,BUY,2022,X,1
2022-09-06,94.64,SHORT,2022,X,1
2022-09-01,96.2,BUY,2022,Y,0
