Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,176.74,SELL,2024,,0
2024-07-23,177.8,BUY,2024,X,1
2024-07-19,175.51,SELL,2024,X,1
2024-06-24,154.9,BUY,2024,Y,0
2024-06-05,154.6,SHORT,2024,X,4
2024-05-31,155.15,BUY,2024,X,1
2024-05-16,160.89,SELL,2024,Y,0
2024-05-08,156.78,BUY,2024,Y,0
2024-04-25,156.49,SHORT,2024,X,3
2024-04-19,149.53,BUY,2024,Y,0
2024-04-02,158.42,SELL,2024,Y,0
2024-03-28,160.56,BUY,2024,X,1
2024-03-25,155.04,SELL,2024,X,2
2024-03-20,153.26,BUY,2024,Y,0
2024-03-08,150.33,SELL,2024,X,1
2024-03-04,151.52,BUY,2024,X,3
2024-02-26,144.85,SHORT,2024,X,2
2024-02-15,149.29,BUY,2024,X,2
2024-02-13,146.24,SHORT,2024,X,1
2024-01-19,149.55,BUY,2024,X,1
2024-01-11,153.95,SHORT,2024,Y,0
2024-01-05,153.78,BUY,2024,Y,0
2023-12-29,154.85,SELL,2023,Y,0
2023-12-22,152.47,BUY,2023,Y,0
2023-12-18,151.41,SELL,2023,X,2
2023-11-14,123.18,BUY,2023,Y,0
2023-11-07,120.78,SELL,2023,X,1
2023-10-25,111.29,BUY,2023,Y,0
2023-10-02,121.58,SELL,2023,Y,0
2023-09-28,122.83,BUY,2023,X,1
2023-09-18,125.44,SELL,2023,Y,0
2023-09-12,118.6,BUY,2023,Y,0
2023-09-06,119.23,SHORT,2023,Y,0
2023-08-29,119.14,BUY,2023,Y,0
2023-08-15,124.98,SHORT,2023,Y,0
2023-08-11,128.55,BUY,2023,X,2
2023-08-03,133.34,SELL,2023,Y,0
2023-07-31,136.6,BUY,2023,X,1
2023-07-27,133.12,SELL,2023,X,2
2023-07-03,127.11,BUY,2023,Y,0
2023-06-20,126.46,SELL,2023,X,1
2023-06-02,122.11,BUY,2023,Y,0
2023-05-31,117.58,SHORT,2023,X,1
2023-05-15,113.67,BUY,2023,Y,0
2023-05-02,122.21,SELL,2023,Y,0
2023-04-26,124.71,BUY,2023,X,1
2023-04-21,124.29,SELL,2023,X,1
2023-04-10,122.2,BUY,2023,Y,0
2023-03-30,127.43,SHORT,2023,Y,0
2023-03-28,124.92,BUY,2023,Y,0
2023-03-23,123.96,SHORT,2023,X,1
2023-03-21,131.62,BUY,2023,X,2
2023-03-06,153.34,SHORT,2023,Y,0
2023-02-23,158.1,BUY,2023,X,1
2023-02-06,163.49,SELL,2023,Y,0
2023-01-20,149.78,BUY,2023,Y,0
2023-01-18,152.07,SELL,2023,Y,0
2023-01-06,163.06,BUY,2023,X,3
2022-12-14,152.83,SHORT,2022,X,1
2022-12-12,155.64,BUY,2022,X,2
2022-12-05,162.19,SELL,2022,Y,0
2022-11-11,165.52,BUY,2022,X,1
2022-11-09,156.14,SELL,2022,X,1
2022-10-17,153.86,BUY,2022,Y,0
2022-10-06,157.53,SELL,2022,Y,0
2022-10-03,152.32,BUY,2022,Y,0
2022-09-21,163.23,SELL,2022,Y,0
2022-09-15,163.7,BUY,2022,X,1
2022-09-13,162.24,SELL,2022,X,1
2022-09-08,160.17,BUY,2022,Y,0
