Date,Price,Signal,Year,Strike,StrikeCount,Open,High,Low,Close,Adj Close,Volume
1975-11-17,,,,,,0.0,2.625,2.625,2.625,0.6903588175773621,4000
1975-11-18,,,,,,0.0,2.5625,2.5625,2.5625,0.6739223003387451,39200
1975-11-19,,,,,,0.0,2.53125,2.53125,2.53125,0.6657037138938904,22400
1975-11-20,,,,,,0.0,2.46875,2.46875,2.46875,0.6492666602134705,24800
1975-11-21,,,,,,0.0,2.5,2.5,2.5,0.6574850678443909,22400
1975-11-24,,,,,,0.0,2.46875,2.46875,2.46875,0.6492666602134705,5600
1975-11-25,,,,,,0.0,2.46875,2.46875,2.46875,0.6492666602134705,24000
1975-11-26,,,,,,0.0,2.40625,2.40625,2.40625,0.6328293681144714,35200
1975-11-28,,,,,,0.0,2.375,2.375,2.375,0.6246106624603271,19200
1975-12-01,,,,,,0.0,2.375,2.375,2.375,0.6246106624603271,7200
1975-12-02,,,,,,0.0,2.3125,2.3125,2.3125,0.6081736087799072,24000
1975-12-03,,,,,,0.0,2.21875,2.21875,2.21875,0.5835179686546326,40800
1975-12-04,,,,,,0.0,2.21875,2.21875,2.21875,0.5835179686546326,16000
1975-12-05,,,,,,0.0,2.15625,2.15625,2.15625,0.5670809745788574,36000
1975-12-08,,,,,,0.0,2.15625,2.15625,2.15625,0.5670809745788574,37600
1975-12-09,,,,,,0.0,2.1875,2.1875,2.1875,0.5752995610237122,64000
1975-12-10,,,,,,0.0,2.1875,2.1875,2.1875,0.5752995610237122,22400
1975-12-11,,,,,,0.0,2.1875,2.1875,2.1875,0.5752995610237122,15200
1975-12-12,,,,,,0.0,2.25,2.25,2.25,0.5917364954948425,119200
1975-12-15,,,,,,0.0,2.21875,2.21875,2.21875,0.5835179686546326,45600
1975-12-16,,,,,,0.0,2.21875,2.21875,2.21875,0.5835179686546326,53600
1975-12-17,,,,,,0.0,2.25,2.25,2.25,0.5917364954948425,47200
1975-12-18,,,,,,0.0,2.28125,2.28125,2.28125,0.5999552011489868,26400
1975-12-19,,,,,,0.0,2.28125,2.28125,2.28125,0.5999552011489868,8000
1975-12-22,,,,,,0.0,2.28125,2.28125,2.28125,0.5999552011489868,24800
1975-12-23,,,,,,0.0,2.28125,2.28125,2.28125,0.5999552011489868,52000
1975-12-24,,,,,,0.0,2.28125,2.28125,2.28125,0.5999552011489868,8800
1975-12-26,,,,,,0.0,2.34375,2.34375,2.34375,0.6163923144340515,12800
1975-12-29,,,,,,0.0,2.34375,2.34375,2.34375,0.6163923144340515,8800
1975-12-30,,,,,,0.0,2.34375,2.34375,2.34375,0.6163923144340515,20000
1975-12-31,,,,,,0.0,2.34375,2.34375,2.34375,0.6163923144340515,12000
1976-01-02,,,,,,0.0,2.3125,2.3125,2.3125,0.6081736087799072,4800
1976-01-05,,,,,,0.0,2.375,2.375,2.375,0.6246106624603271,27200
1976-01-06,,,,,,0.0,2.53125,2.53125,2.53125,0.6657037138938904,65600
1976-01-07,,,,,,0.0,2.53125,2.53125,2.53125,0.6657037138938904,25600
1976-01-08,,,,,,0.0,2.5625,2.5625,2.5625,0.6739223003387451,13600
1976-01-09,,,,,,0.0,2.53125,2.53125,2.53125,0.6657037138938904,24800
1976-01-12,,,,,,0.0,2.5625,2.5625,2.5625,0.6739223003387451,35200
1976-01-13,,,,,,0.0,2.625,2.625,2.625,0.6903588175773621,23200
1976-01-14,,,,,,0.0,2.75,2.75,2.75,0.7232336401939392,50400
1976-01-15,,,,,,0.0,2.6875,2.6875,2.6875,0.7067968249320984,52800
1976-01-16,,,,,,0.0,2.8125,2.8125,2.8125,0.7396706342697144,48000
1976-01-19,,,,,,0.0,2.8125,2.8125,2.8125,0.7396706342697144,17600
1976-01-20,,,,,,0.0,2.78125,2.78125,2.78125,0.7314522862434387,25600
1976-01-21,,,,,,0.0,2.75,2.75,2.75,0.7232336401939392,19200
1976-01-22,,,,,,0.0,2.6875,2.6875,2.6875,0.7067968249320984,23200
1976-01-23,,,,,,0.0,2.71875,2.71875,2.71875,0.7150150537490845,32000
1976-01-26,,,,,,0.0,2.75,2.75,2.75,0.7232336401939392,31200
1976-01-27,,,,,,0.0,2.75,2.75,2.75,0.7232336401939392,13600
1976-01-28,,,,,,0.0,2.75,2.75,2.75,0.7232336401939392,4800
1976-01-29,,,,,,0.0,2.8125,2.71875,2.71875,0.7150150537490845,17600
1976-01-30,,,,,,0.0,2.84375,2.75,2.75,0.7232336401939392,24800
1976-02-02,,,,,,0.0,2.875,2.78125,2.78125,0.7314522862434387,18400
1976-02-03,,,,,,0.0,3.0,2.90625,2.90625,0.764326274394989,26400
1976-02-04,,,,,,0.0,3.03125,2.9375,2.9375,0.7725449800491333,16000
1976-02-05,,,,,,0.0,3.0625,2.96875,2.96875,0.7807638645172119,39200
1976-02-06,,,,,,0.0,3.0,2.90625,2.90625,0.764326274394989,24800
1976-02-09,,,,,,0.0,3.0,2.90625,2.90625,0.764326274394989,11200
1976-02-10,,,,,,0.0,3.0,2.90625,2.90625,0.764326274394989,4000
1976-02-11,,,,,,0.0,3.03125,2.9375,2.9375,0.7725449800491333,7200
1976-02-12,,,,,,0.0,3.0,2.90625,2.90625,0.764326274394989,5600
1976-02-13,,,,,,0.0,3.0,2.90625,2.90625,0.764326274394989,4800
1976-02-17,,,,,,0.0,2.96875,2.875,2.875,0.7561078667640686,22400
1976-02-18,,,,,,0.0,2.9375,2.84375,2.84375,0.7478893399238586,8000
1976-02-19,,,,,,0.0,2.96875,2.875,2.875,0.7561078667640686,20000
1976-02-20,,,,,,0.0,2.96875,2.875,2.875,0.7561078667640686,16000
1976-02-23,,,,,,0.0,2.96875,2.875,2.875,0.7561078667640686,12800
1976-02-24,,,,,,0.0,2.96875,2.875,2.875,0.7561078667640686,16800
1976-02-25,,,,,,0.0,2.96875,2.875,2.875,0.7561078667640686,24800
1976-02-26,,,,,,0.0,2.9375,2.84375,2.84375,0.7478893399238586,32800
1976-02-27,,,,,,0.0,2.9375,2.84375,2.84375,0.7478893399238586,8800
1976-03-01,,,,,,0.0,2.9375,2.84375,2.84375,0.7478893399238586,1600
1976-03-02,,,,,,0.0,2.96875,2.875,2.875,0.7561078667640686,13600
1976-03-03,,,,,,0.0,2.96875,2.875,2.875,0.7561078667640686,18400
1976-03-04,,,,,,0.0,2.96875,2.875,2.875,0.7561078667640686,12800
1976-03-05,,,,,,0.0,2.96875,2.875,2.875,0.7561078667640686,10400
1976-03-08,,,,,,0.0,2.9375,2.84375,2.84375,0.7478893399238586,20000
