Date,Price,Signal,Year,Strike,StrikeCount
2024-07-31,87.87,SELL,2024,,0
2024-07-23,86.44,BUY,2024,Y,0
2024-06-25,76.26,SELL,2024,X,1
2024-06-18,78.31,BUY,2024,X,3
2024-06-14,77.48,SHORT,2024,X,3
2024-06-12,79.78,BUY,2024,X,2
2024-05-23,83.77,SELL,2024,Y,0
2024-05-15,84.26,BUY,2024,X,1
2024-05-13,83.01,SELL,2024,X,1
2024-05-07,82.9,BUY,2024,Y,0
2024-05-01,79.07,SHORT,2024,X,2
2024-04-26,79.7,BUY,2024,X,2
2024-04-02,83.68,SELL,2024,Y,0
2024-03-28,85.44,BUY,2024,X,1
2024-03-25,83.46,SELL,2024,X,2
2024-02-07,74.1,BUY,2024,Y,0
2024-02-05,72.98,SELL,2024,X,1
2024-01-26,72.44,BUY,2024,Y,0
2024-01-24,71.56,SHORT,2024,X,1
2024-01-19,71.06,BUY,2024,Y,0
2023-12-29,72.71,SELL,2023,Y,0
2023-12-22,71.72,BUY,2023,Y,0
2023-12-18,70.51,SELL,2023,X,3
2023-11-27,63.46,BUY,2023,Y,0
2023-11-21,62.39,SELL,2023,X,2
2023-11-10,61.4,BUY,2023,Y,0
2023-11-06,61.25,SELL,2023,X,1
2023-10-30,58.58,BUY,2023,Y,0
2023-10-20,62.28,SHORT,2023,Y,0
2023-10-17,64.07,BUY,2023,X,3
2023-10-13,64.22,SHORT,2023,Y,0
2023-10-10,64.48,BUY,2023,X,2
2023-10-02,64.26,SHORT,2023,X,1
2023-09-28,64.96,BUY,2023,X,1
2023-09-05,70.52,SHORT,2023,Y,0
2023-08-28,67.48,BUY,2023,Y,0
2023-08-10,70.81,SELL,2023,Y,0
2023-07-25,66.35,BUY,2023,Y,0
2023-07-18,65.63,SELL,2023,X,5
2023-06-13,59.99,BUY,2023,Y,0
2023-06-09,59.67,SELL,2023,X,4
2023-06-02,57.12,BUY,2023,Y,0
2023-05-31,56.58,SHORT,2023,X,7
2023-05-26,57.47,BUY,2023,X,4
2023-05-24,57.28,SELL,2023,X,3
2023-05-11,58.65,BUY,2023,X,3
2023-05-04,57.29,SELL,2023,X,2
2023-04-28,58.08,BUY,2023,X,2
2023-04-26,52.65,SELL,2023,X,1
2023-04-21,53.38,BUY,2023,X,1
2023-04-04,54.51,SELL,2023,Y,0
2023-03-27,52.74,BUY,2023,Y,0
2023-03-23,51.16,SHORT,2023,X,6
2023-03-21,52.54,BUY,2023,X,2
2023-03-07,55.91,SELL,2023,Y,0
2023-03-03,55.95,BUY,2023,X,1
2023-02-21,55.78,SHORT,2023,X,5
2023-02-13,55.76,BUY,2023,Y,0
2023-02-06,58.46,SELL,2023,Y,0
2023-01-23,49.81,BUY,2023,Y,0
2023-01-18,50.34,SELL,2023,Y,0
2022-12-21,44.36,BUY,2022,Y,0
2022-12-16,43.82,SHORT,2022,X,4
2022-12-12,45.32,BUY,2022,X,1
2022-11-16,45.74,SELL,2022,Y,0
2022-11-11,45.29,BUY,2022,Y,0
2022-11-02,41.94,SHORT,2022,X,3
2022-10-31,42.92,BUY,2022,X,1
2022-10-27,41.31,SELL,2022,X,2
2022-10-24,40.27,BUY,2022,Y,0
2022-10-20,39.85,SELL,2022,X,1
2022-10-13,41.09,BUY,2022,X,4
2022-10-07,40.91,SHORT,2022,X,2
2022-10-04,42.56,BUY,2022,X,3
2022-09-30,40.78,SHORT,2022,X,1
2022-09-28,41.35,BUY,2022,X,2
2022-09-21,42.19,SHORT,2022,Y,0
2022-09-19,43.11,BUY,2022,X,1
2022-09-13,46.06,SELL,2022,Y,0
2022-09-08,45.58,BUY,2022,Y,0
2022-08-29,45.59,SHORT,2022,Y,0
2022-08-25,48.32,BUY,2022,Y,0
