Date,Price,Signal,Year,Strike,StrikeCount
2024-07-18,82.07,BUY,2024,,0
2024-07-15,79.59,SELL,2024,X,1
2024-07-08,76.09,BUY,2024,Y,0
2024-07-03,75.52,SHORT,2024,X,1
2024-06-24,75.73,BUY,2024,X,3
2024-06-17,75.85,SHORT,2024,Y,0
2024-06-11,76.44,BUY,2024,X,2
2024-06-06,76.9,SHORT,2024,Y,0
2024-05-30,77.02,BUY,2024,X,1
2024-05-22,77.77,SELL,2024,Y,0
2024-04-29,74.9,BUY,2024,Y,0
2024-04-15,72.11,SHORT,2024,X,2
2024-04-09,74.62,BUY,2024,X,1
2024-04-02,74.04,SELL,2024,X,2
2024-03-19,72.5,BUY,2024,Y,0
2024-03-12,71.8,SELL,2024,X,1
2024-03-04,68.55,BUY,2024,Y,0
2024-02-26,69.92,SELL,2024,Y,0
2024-02-16,67.92,BUY,2024,Y,0
2024-02-14,66.96,SHORT,2024,X,1
2024-02-12,67.21,BUY,2024,X,1
2024-01-31,70.01,SHORT,2024,Y,0
2024-01-25,69.84,BUY,2024,Y,0
2024-01-09,73.91,SELL,2024,Y,0
2023-12-28,71.84,BUY,2023,Y,0
2023-12-12,74.57,SELL,2023,Y,0
2023-11-14,71.59,BUY,2023,Y,0
2023-11-03,74.7,SELL,2023,Y,0
2023-10-25,74.37,BUY,2023,Y,0
2023-10-18,75.91,SELL,2023,Y,0
2023-10-10,74.17,BUY,2023,Y,0
2023-09-21,78.4,SELL,2023,Y,0
2023-09-08,76.38,BUY,2023,Y,0
2023-08-31,77.43,SHORT,2023,Y,0
2023-08-18,77.81,BUY,2023,X,1
2023-07-26,84.74,SELL,2023,Y,0
2023-07-13,83.25,BUY,2023,Y,0
2023-07-10,81.38,SELL,2023,X,1
2023-06-27,82.0,BUY,2023,X,1
2023-06-23,82.41,SELL,2023,Y,0
2023-06-13,81.38,BUY,2023,Y,0
2023-06-09,80.79,SELL,2023,X,1
2023-05-31,77.08,BUY,2023,Y,0
2023-05-16,79.29,SHORT,2023,Y,0
2023-05-04,79.17,BUY,2023,Y,0
2023-04-12,79.83,SELL,2023,Y,0
2023-03-28,77.46,BUY,2023,Y,0
2023-03-21,77.4,SELL,2023,X,2
2023-03-14,77.31,BUY,2023,Y,0
2023-03-07,75.76,SELL,2023,X,1
2023-02-27,73.87,BUY,2023,Y,0
2023-02-21,74.14,SELL,2023,Y,0
2023-02-10,72.88,BUY,2023,Y,0
2023-02-06,75.61,SELL,2023,Y,0
2023-01-31,74.25,BUY,2023,Y,0
2023-01-17,75.11,SHORT,2023,Y,0
2023-01-06,75.46,BUY,2023,X,1
2022-12-07,77.62,SELL,2022,Y,0
2022-11-18,73.31,BUY,2022,Y,0
2022-11-14,71.41,SELL,2022,X,2
2022-11-10,71.77,BUY,2022,X,1
2022-11-08,68.29,SELL,2022,X,1
2022-10-13,62.06,BUY,2022,Y,0
2022-10-06,64.81,SHORT,2022,Y,0
2022-10-04,66.43,BUY,2022,X,2
2022-09-21,73.1,SHORT,2022,Y,0
2022-09-19,74.0,BUY,2022,X,1
2022-09-15,74.83,SHORT,2022,Y,0
2022-09-09,77.04,BUY,2022,Y,0
