Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,371.42,SHORT,2024,,0
2024-07-26,365.99,BUY,2024,Y,0
2024-07-18,330.81,SELL,2024,X,2
2024-07-08,302.45,BUY,2024,Y,0
2024-06-20,336.06,SHORT,2024,Y,0
2024-06-11,342.61,BUY,2024,X,6
2024-06-07,341.83,SHORT,2024,X,1
2024-05-31,358.24,BUY,2024,X,5
2024-05-23,366.08,SHORT,2024,Y,0
2024-05-21,369.75,BUY,2024,X,4
2024-05-17,367.77,SELL,2024,X,1
2024-05-10,374.21,BUY,2024,X,3
2024-04-11,379.14,SHORT,2024,Y,0
2024-04-05,395.88,BUY,2024,X,2
2024-03-26,403.56,SELL,2024,Y,0
2024-03-21,414.53,BUY,2024,X,1
2024-03-14,403.58,SELL,2024,X,2
2024-02-15,386.43,BUY,2024,Y,0
2024-02-13,377.87,SELL,2024,X,1
2024-02-07,376.7,BUY,2024,Y,0
2024-01-24,389.14,SELL,2024,Y,0
2024-01-18,383.08,BUY,2024,Y,0
2024-01-12,383.38,SHORT,2024,Y,0
2024-01-08,379.2,BUY,2024,Y,0
2023-12-29,399.71,SELL,2023,Y,0
2023-12-13,358.56,BUY,2023,Y,0
2023-12-08,358.53,SELL,2023,X,3
2023-11-22,356.26,BUY,2023,Y,0
2023-11-16,347.37,SELL,2023,X,2
2023-11-14,341.29,BUY,2023,Y,0
2023-11-09,329.03,SELL,2023,X,1
2023-11-01,317.88,BUY,2023,Y,0
2023-10-03,344.68,SHORT,2023,Y,0
2023-09-28,345.05,BUY,2023,X,2
2023-09-18,347.59,SELL,2023,Y,0
2023-09-13,348.76,BUY,2023,X,1
2023-09-05,364.16,SHORT,2023,Y,0
2023-08-29,356.04,BUY,2023,Y,0
2023-08-02,379.91,SELL,2023,Y,0
2023-07-21,367.38,BUY,2023,Y,0
2023-07-13,383.34,SELL,2023,Y,0
2023-06-27,359.36,BUY,2023,Y,0
2023-06-20,353.51,SELL,2023,X,2
2023-06-15,349.27,BUY,2023,Y,0
2023-06-08,336.21,SELL,2023,X,1
2023-06-05,327.39,BUY,2023,Y,0
2023-05-22,343.71,SELL,2023,Y,0
2023-05-18,344.72,BUY,2023,X,1
2023-05-04,345.01,SELL,2023,Y,0
2023-04-28,343.41,BUY,2023,Y,0
2023-04-26,334.84,SELL,2023,X,1
2023-04-19,338.67,BUY,2023,X,1
2023-04-14,332.59,SHORT,2023,X,1
2023-04-10,327.51,BUY,2023,Y,0
2023-04-04,337.95,SHORT,2023,Y,0
2023-03-27,328.06,BUY,2023,Y,0
2023-03-23,333.96,SHORT,2023,Y,0
2023-03-21,346.72,BUY,2023,X,3
2023-03-07,355.85,SHORT,2023,Y,0
2023-03-03,356.85,BUY,2023,X,2
2023-02-21,368.55,SHORT,2023,Y,0
2023-02-14,375.33,BUY,2023,X,1
2023-02-08,387.07,SELL,2023,Y,0
2023-01-23,354.35,BUY,2023,Y,0
2023-01-19,354.1,SELL,2023,X,2
2023-01-06,308.08,BUY,2023,Y,0
2022-12-19,313.4,SHORT,2022,Y,0
2022-12-08,323.81,BUY,2022,X,1
2022-12-05,322.59,SELL,2022,X,1
2022-11-30,321.97,BUY,2022,Y,0
2022-11-28,324.88,SELL,2022,Y,0
2022-11-22,325.67,BUY,2022,X,1
2022-11-16,338.32,SELL,2022,Y,0
2022-11-07,295.75,BUY,2022,Y,0
2022-11-02,303.07,SHORT,2022,Y,0
2022-10-25,294.9,BUY,2022,Y,0
2022-10-14,314.56,SHORT,2022,Y,0
2022-09-27,316.3,BUY,2022,X,2
2022-09-21,325.74,SHORT,2022,Y,0
2022-09-16,330.55,BUY,2022,X,1
2022-09-13,345.71,SHORT,2022,Y,0
2022-09-07,338.14,BUY,2022,Y,0
2022-08-29,347.68,SHORT,2022,Y,0
2022-08-25,368.37,BUY,2022,X,1
