Date,Price,Signal,Year,Strike,StrikeCount
2024-08-02,136.45,SELL,2024,,0
2024-07-22,139.4,BUY,2024,X,1
2024-07-18,138.95,SELL,2024,X,1
2024-07-11,134.56,BUY,2024,Y,0
2024-07-05,138.68,SELL,2024,Y,0
2024-06-20,137.96,BUY,2024,Y,0
2024-06-12,137.13,SHORT,2024,X,1
2024-06-06,138.37,BUY,2024,X,1
2024-05-10,146.32,SHORT,2024,Y,0
2024-05-06,145.12,BUY,2024,Y,0
2024-04-25,157.24,SHORT,2024,Y,0
2024-04-22,156.03,BUY,2024,Y,0
2024-04-08,169.27,SELL,2024,Y,0
2024-03-27,158.92,BUY,2024,Y,0
2024-03-25,158.18,SELL,2024,X,1
2024-03-01,143.86,BUY,2024,Y,0
2024-02-28,144.11,SELL,2024,Y,0
2024-02-22,144.18,BUY,2024,X,2
2024-02-20,143.02,SHORT,2024,X,4
2024-02-15,146.0,BUY,2024,X,1
2024-02-12,145.02,SELL,2024,X,2
2024-01-25,135.98,BUY,2024,Y,0
2024-01-18,127.91,SHORT,2024,X,3
2024-01-12,132.87,BUY,2024,X,2
2024-01-10,132.1,SHORT,2024,X,2
2024-01-02,134.09,BUY,2024,X,1
2023-12-28,133.47,SELL,2023,X,1
2023-11-13,114.0,BUY,2023,Y,0
2023-10-20,114.68,SELL,2023,Y,0
2023-10-17,112.27,BUY,2023,Y,0
2023-10-12,111.14,SHORT,2023,X,1
2023-10-09,111.21,BUY,2023,X,2
2023-10-02,119.56,SHORT,2023,Y,0
2023-09-27,120.8,BUY,2023,X,1
2023-09-14,122.97,SELL,2023,Y,0
2023-09-07,117.76,BUY,2023,Y,0
2023-08-29,112.69,SHORT,2023,X,2
2023-08-24,112.39,BUY,2023,Y,0
2023-08-22,112.94,SELL,2023,Y,0
2023-08-18,114.24,BUY,2023,X,1
2023-08-16,113.5,SELL,2023,X,1
2023-06-26,91.52,BUY,2023,Y,0
2023-06-09,98.76,SELL,2023,Y,0
2023-06-02,95.15,BUY,2023,Y,0
2023-05-26,94.91,SHORT,2023,X,1
2023-05-15,94.22,BUY,2023,Y,0
2023-04-17,105.13,SELL,2023,Y,0
2023-04-10,103.46,BUY,2023,Y,0
2023-04-04,99.08,SELL,2023,X,1
2023-03-20,95.55,BUY,2023,Y,0
2023-03-06,104.62,SHORT,2023,Y,0
2023-02-24,100.08,BUY,2023,Y,0
2023-02-15,106.65,SELL,2023,Y,0
2023-02-02,98.98,BUY,2023,Y,0
2023-01-30,107.9,SELL,2023,Y,0
2023-01-13,103.03,BUY,2023,Y,0
2023-01-10,101.57,SELL,2023,X,5
2023-01-06,104.66,BUY,2023,X,1
2022-12-28,103.81,SELL,2022,X,4
2022-12-20,102.5,BUY,2022,Y,0
2022-12-01,108.04,SHORT,2022,Y,0
2022-11-22,111.3,BUY,2022,X,1
2022-11-16,108.4,SELL,2022,X,3
2022-11-10,106.24,BUY,2022,Y,0
2022-11-02,103.24,SELL,2022,X,2
2022-10-18,96.11,BUY,2022,Y,0
2022-10-10,92.1,SELL,2022,X,1
2022-09-28,76.68,BUY,2022,Y,0
2022-09-23,79.04,SHORT,2022,Y,0
2022-09-20,82.28,BUY,2022,X,2
2022-09-14,86.46,SHORT,2022,Y,0
2022-09-12,89.56,BUY,2022,X,1
2022-08-30,91.55,SELL,2022,Y,0
2022-08-15,88.93,BUY,2022,Y,0
