Date,Price,Signal,Year,Strike,StrikeCount
2024-07-29,177.22,BUY,2024,,0
2024-07-26,173.8,SHORT,2024,X,3
2024-07-22,177.51,BUY,2024,X,1
2024-07-09,179.56,SELL,2024,Y,0
2024-06-24,177.6,BUY,2024,Y,0
2024-06-14,173.5,SHORT,2024,X,2
2024-06-06,173.73,BUY,2024,X,2
2024-05-28,181.77,SELL,2024,Y,0
2024-05-15,183.15,BUY,2024,X,1
2024-04-30,178.83,SHORT,2024,X,1
2024-04-22,178.55,BUY,2024,Y,0
2024-04-11,182.27,SHORT,2024,Y,0
2024-04-08,186.41,BUY,2024,X,4
2024-04-03,185.35,SELL,2024,X,4
2024-03-22,190.28,BUY,2024,X,3
2024-03-14,184.9,SELL,2024,X,3
2024-03-07,185.31,BUY,2024,X,2
2024-03-05,182.63,SHORT,2024,X,1
2024-03-04,187.22,BUY,2024,X,1
2024-01-31,182.09,SELL,2024,X,2
2024-01-11,170.46,BUY,2024,Y,0
2024-01-02,173.19,SHORT,2024,Y,0
2023-12-01,157.75,BUY,2023,Y,0
2023-11-22,154.84,SELL,2023,X,1
2023-10-30,139.4,BUY,2023,Y,0
2023-10-19,143.27,SELL,2023,Y,0
2023-10-18,145.14,BUY,2023,X,1
2023-10-13,143.27,SELL,2023,X,1
2023-09-28,139.65,BUY,2023,Y,0
2023-09-21,141.79,SHORT,2023,Y,0
2023-09-15,141.45,BUY,2023,Y,0
2023-09-12,140.12,SHORT,2023,X,1
2023-08-21,140.97,BUY,2023,X,3
2023-08-16,144.32,SELL,2023,Y,0
2023-07-28,146.63,BUY,2023,X,2
2023-07-20,144.06,SELL,2023,X,2
2023-07-18,146.78,BUY,2023,X,1
2023-07-14,144.67,SELL,2023,X,1
2023-05-30,132.69,BUY,2023,Y,0
2023-05-23,133.09,SELL,2023,Y,0
2023-04-28,125.77,BUY,2023,Y,0
2023-04-19,126.6,SELL,2023,Y,0
2023-04-10,126.32,BUY,2023,Y,0
2023-04-05,126.72,SELL,2023,Y,0
2023-03-14,119.22,BUY,2023,Y,0
2023-03-09,122.22,SHORT,2023,Y,0
2023-03-03,124.84,BUY,2023,X,4
2023-02-17,130.29,SHORT,2023,Y,0
2023-02-14,134.36,BUY,2023,X,3
2023-02-10,132.99,SELL,2023,X,3
2023-02-07,135.23,BUY,2023,X,2
2023-01-30,133.28,SELL,2023,X,2
2023-01-23,133.31,BUY,2023,X,1
2023-01-19,128.39,SELL,2023,X,1
2023-01-04,121.68,BUY,2023,Y,0
2022-12-20,122.19,SHORT,2022,Y,0
2022-12-12,122.7,BUY,2022,X,1
2022-12-05,124.49,SELL,2022,Y,0
2022-11-30,123.91,BUY,2022,Y,0
2022-11-28,123.51,SHORT,2022,X,1
2022-11-22,124.54,BUY,2022,X,1
2022-11-16,129.83,SELL,2022,Y,0
2022-11-04,124.24,BUY,2022,Y,0
2022-11-02,117.47,SELL,2022,X,3
2022-10-31,117.48,BUY,2022,X,1
2022-10-27,113.52,SELL,2022,X,2
2022-10-18,111.24,BUY,2022,Y,0
2022-10-07,110.17,SELL,2022,X,1
2022-10-03,106.68,BUY,2022,Y,0
2022-09-20,113.49,SHORT,2022,Y,0
2022-09-12,120.88,BUY,2022,X,1
2022-08-30,114.18,SHORT,2022,X,1
2022-08-24,115.71,BUY,2022,Y,0
