Date,Price,Signal,Year,Strike,StrikeCount
2024-08-02,246.68,SELL,2024,,0
2024-07-31,260.89,BUY,2024,X,2
2024-07-24,260.07,SHORT,2024,X,2
2024-07-22,265.73,BUY,2024,X,1
2024-07-17,255.76,SHORT,2024,X,1
2024-07-03,252.76,BUY,2024,Y,0
2024-06-25,272.97,SHORT,2024,Y,0
2024-06-12,276.79,BUY,2024,X,1
2024-05-31,278.54,SHORT,2024,Y,0
2024-05-20,267.66,BUY,2024,Y,0
2024-05-14,264.38,SELL,2024,X,1
2024-05-06,260.87,BUY,2024,Y,0
2024-05-01,256.98,SHORT,2024,X,1
2024-04-23,249.09,BUY,2024,Y,0
2024-04-09,257.26,SELL,2024,Y,0
2024-03-07,244.32,BUY,2024,Y,0
2024-03-05,239.71,SELL,2024,X,5
2024-02-15,214.06,BUY,2024,Y,0
2024-02-13,206.84,SELL,2024,X,4
2024-02-01,198.76,BUY,2024,Y,0
2024-01-11,202.81,SHORT,2024,Y,0
2024-01-08,200.07,BUY,2024,Y,0
2024-01-03,203.21,SHORT,2024,Y,0
2023-12-26,214.66,BUY,2023,X,1
2023-12-20,213.23,SELL,2023,X,3
2023-11-27,184.86,BUY,2023,Y,0
2023-11-17,183.11,SELL,2023,X,2
2023-11-13,174.76,BUY,2023,Y,0
2023-11-06,168.46,SELL,2023,X,1
2023-11-02,170.63,BUY,2023,X,2
2023-10-19,170.79,SHORT,2023,Y,0
2023-10-17,177.08,BUY,2023,X,1
2023-10-13,177.2,SHORT,2023,Y,0
2023-10-09,173.4,BUY,2023,Y,0
2023-09-05,208.81,SELL,2023,Y,0
2023-08-21,203.57,BUY,2023,Y,0
2023-08-11,200.17,SHORT,2023,X,3
2023-08-01,201.89,BUY,2023,X,1
2023-07-27,201.85,SELL,2023,X,6
2023-07-18,199.61,BUY,2023,Y,0
2023-07-13,198.27,SELL,2023,X,5
2023-06-29,194.12,BUY,2023,Y,0
2023-06-23,186.61,SELL,2023,X,4
2023-06-06,180.79,BUY,2023,Y,0
2023-06-01,176.3,SELL,2023,X,3
2023-05-26,174.0,BUY,2023,Y,0
2023-05-23,168.51,SELL,2023,X,2
2023-05-09,169.52,BUY,2023,X,2
2023-05-04,165.35,SELL,2023,X,1
2023-04-28,169.64,BUY,2023,X,1
2023-04-26,165.14,SHORT,2023,X,2
2023-04-10,160.19,BUY,2023,Y,0
2023-04-04,164.56,SELL,2023,Y,0
2023-03-20,157.29,BUY,2023,Y,0
2023-03-01,160.76,SELL,2023,Y,0
2023-02-24,159.18,BUY,2023,Y,0
2023-02-21,153.35,SHORT,2023,X,1
2023-02-15,154.9,BUY,2023,X,1
2023-02-10,151.76,SELL,2023,X,2
2023-01-23,148.02,BUY,2023,Y,0
2023-01-18,147.26,SELL,2023,X,1
2023-01-10,139.51,BUY,2023,Y,0
2023-01-03,140.96,SHORT,2023,Y,0
2022-12-21,144.5,BUY,2022,X,1
2022-12-06,150.22,SELL,2022,Y,0
2022-11-30,146.64,BUY,2022,Y,0
2022-11-22,148.07,SELL,2022,Y,0
2022-10-13,130.21,BUY,2022,Y,0
2022-10-06,133.84,SHORT,2022,Y,0
2022-10-03,130.7,BUY,2022,Y,0
2022-09-12,146.18,SELL,2022,Y,0
2022-09-08,142.99,BUY,2022,Y,0
2022-08-30,144.06,SHORT,2022,Y,0
2022-08-23,141.22,BUY,2022,Y,0
2022-08-19,142.02,SELL,2022,Y,0
2022-08-10,138.32,BUY,2022,Y,0
