Date,Price,Signal,Year,Strike,StrikeCount
2024-07-17,198.83,SHORT,2024,,0
2024-07-01,200.03,BUY,2024,X,1
2024-06-20,223.22,SELL,2024,Y,0
2024-06-12,213.4,BUY,2024,Y,0
2024-06-07,208.51,SELL,2024,X,3
2024-06-05,207.81,BUY,2024,Y,0
2024-05-23,201.76,SELL,2024,X,2
2024-05-08,177.51,BUY,2024,Y,0
2024-05-01,164.11,SHORT,2024,X,1
2024-04-23,161.35,BUY,2024,Y,0
2024-04-17,168.49,SHORT,2024,Y,0
2024-04-08,173.62,BUY,2024,X,2
2024-04-04,169.76,SHORT,2024,X,3
2024-03-21,170.85,BUY,2024,X,1
2024-03-13,170.47,SELL,2024,X,1
2024-02-08,147.62,BUY,2024,Y,0
2024-02-06,144.1,SHORT,2024,X,2
2024-01-31,147.62,BUY,2024,X,1
2024-01-26,151.54,SELL,2024,Y,0
2024-01-08,138.84,BUY,2024,Y,0
2023-12-29,144.63,SELL,2023,Y,0
2023-11-03,118.46,BUY,2023,Y,0
2023-10-20,110.03,SELL,2023,X,2
2023-10-17,110.99,BUY,2023,X,2
2023-10-13,110.64,SHORT,2023,X,1
2023-10-06,110.88,BUY,2023,X,1
2023-10-03,110.33,SELL,2023,X,1
2023-09-12,110.06,BUY,2023,Y,0
2023-09-06,114.68,SHORT,2023,Y,0
2023-08-28,111.68,BUY,2023,Y,0
2023-08-02,129.63,SELL,2023,Y,0
2023-07-25,124.73,BUY,2023,Y,0
2023-07-20,121.03,SELL,2023,X,1
2023-07-10,116.97,BUY,2023,Y,0
2023-07-05,117.13,SHORT,2023,Y,0
2023-06-27,117.69,BUY,2023,X,1
2023-06-16,122.68,SELL,2023,Y,0
2023-05-30,114.97,BUY,2023,Y,0
2023-05-23,103.56,SHORT,2023,X,1
2023-05-18,105.26,BUY,2023,X,4
2023-05-03,115.34,SHORT,2023,Y,0
2023-04-28,115.88,BUY,2023,X,3
2023-04-24,117.35,SHORT,2023,Y,0
2023-04-20,118.64,BUY,2023,X,2
2023-04-04,124.21,SELL,2023,Y,0
2023-03-30,127.4,BUY,2023,X,1
2023-03-28,123.07,SHORT,2023,X,2
2023-03-20,121.71,BUY,2023,Y,0
2023-02-08,134.73,SELL,2023,Y,0
2023-01-23,127.06,BUY,2023,Y,0
2023-01-19,119.72,SELL,2023,X,1
2022-12-30,109.94,BUY,2022,Y,0
2022-12-27,109.46,SHORT,2022,X,1
2022-12-21,113.79,BUY,2022,X,3
2022-12-05,123.3,SELL,2022,Y,0
2022-12-01,126.81,BUY,2022,X,2
2022-11-28,121.64,SELL,2022,X,3
2022-11-23,124.17,BUY,2022,X,1
2022-11-21,120.57,SELL,2022,X,2
2022-11-10,119.68,BUY,2022,Y,0
2022-10-27,117.37,SELL,2022,X,1
2022-10-13,111.48,BUY,2022,Y,0
2022-10-07,122.09,SELL,2022,Y,0
2022-10-03,115.47,BUY,2022,Y,0
2022-09-13,127.82,SHORT,2022,Y,0
2022-09-08,128.85,BUY,2022,X,1
2022-08-19,148.66,SHORT,2022,Y,0
2022-08-12,148.62,BUY,2022,Y,0
