Date,Price,Signal,Year,Strike,StrikeCount
2024-07-25,162.56,SHORT,2024,,0
2024-07-22,168.53,BUY,2024,X,1
2024-07-17,169.11,SELL,2024,Y,0
2024-06-24,153.65,BUY,2024,Y,0
2024-06-06,154.86,SELL,2024,Y,0
2024-05-28,149.43,BUY,2024,Y,0
2024-05-23,146.53,SELL,2024,X,5
2024-05-20,144.74,BUY,2024,Y,0
2024-05-10,141.04,SELL,2024,X,4
2024-05-06,140.38,BUY,2024,Y,0
2024-05-01,137.7,SELL,2024,X,3
2024-04-23,134.5,BUY,2024,Y,0
2024-04-10,130.9,SHORT,2024,X,2
2024-04-08,138.27,BUY,2024,X,1
2024-04-02,137.45,SELL,2024,X,2
2024-03-20,130.15,BUY,2024,Y,0
2024-03-18,128.26,SELL,2024,X,1
2024-02-23,121.91,BUY,2024,Y,0
2024-02-02,124.21,SELL,2024,Y,0
2024-01-31,127.5,BUY,2024,X,2
2024-01-26,124.21,SELL,2024,X,2
2024-01-18,124.49,BUY,2024,X,1
2024-01-12,122.32,SHORT,2024,X,1
2024-01-04,119.0,BUY,2024,Y,0
2024-01-02,120.36,SHORT,2024,Y,0
2023-12-22,127.89,BUY,2023,X,1
2023-12-20,120.81,SELL,2023,X,1
2023-10-24,82.48,BUY,2023,Y,0
2023-10-12,88.87,SHORT,2023,Y,0
2023-10-06,89.87,BUY,2023,X,4
2023-09-18,96.11,SELL,2023,Y,0
2023-09-12,99.0,BUY,2023,X,3
2023-08-16,102.04,SELL,2023,Y,0
2023-08-14,103.4,BUY,2023,X,2
2023-08-09,105.33,SELL,2023,Y,0
2023-08-01,107.44,BUY,2023,X,1
2023-07-26,100.88,SHORT,2023,X,1
2023-07-18,99.37,BUY,2023,Y,0
2023-07-11,101.28,SELL,2023,Y,0
2023-06-13,94.53,BUY,2023,Y,0
2023-06-08,90.29,SELL,2023,X,4
2023-05-31,80.97,BUY,2023,Y,0
2023-05-23,79.14,SELL,2023,X,3
2023-05-17,77.88,BUY,2023,Y,0
2023-05-11,76.35,SELL,2023,X,2
2023-04-28,62.93,BUY,2023,Y,0
2023-04-25,61.28,SELL,2023,X,1
2023-04-11,62.93,BUY,2023,X,2
2023-04-05,62.95,SHORT,2023,Y,0
2023-03-29,63.44,BUY,2023,X,1
2023-03-07,73.64,SELL,2023,Y,0
2023-02-27,71.89,BUY,2023,Y,0
2023-02-17,73.03,SELL,2023,Y,0
2023-02-14,74.4,BUY,2023,X,1
2023-02-09,73.8,SELL,2023,X,5
2023-02-01,65.36,BUY,2023,Y,0
2023-01-27,63.81,SELL,2023,X,4
2023-01-23,63.38,BUY,2023,Y,0
2023-01-19,60.78,SELL,2023,X,3
2023-01-04,50.07,BUY,2023,Y,0
2022-12-07,57.33,SHORT,2022,Y,0
2022-11-25,59.68,BUY,2022,X,1
2022-11-17,57.81,SELL,2022,X,2
2022-11-08,54.05,BUY,2022,Y,0
2022-11-01,52.74,SELL,2022,X,1
2022-10-18,47.22,BUY,2022,Y,0
2022-10-10,43.21,SHORT,2022,X,1
2022-10-06,44.02,BUY,2022,X,1
2022-09-20,49.59,SELL,2022,Y,0
2022-09-07,41.88,BUY,2022,Y,0
2022-08-30,42.07,SELL,2022,Y,0
2022-08-23,38.45,BUY,2022,Y,0
