Date,Price,Signal,Year,Strike,StrikeCount
2024-07-29,65.62,BUY,2024,,0
2024-07-24,66.18,SELL,2024,Y,0
2024-07-11,63.22,BUY,2024,Y,0
2024-07-01,61.86,SHORT,2024,X,1
2024-06-14,61.77,BUY,2024,Y,0
2024-06-04,61.56,SELL,2024,X,8
2024-05-30,59.86,BUY,2024,Y,0
2024-05-06,58.93,SELL,2024,X,7
2024-04-30,59.22,BUY,2024,X,1
2024-04-25,59.06,SELL,2024,X,6
2024-04-18,57.51,BUY,2024,Y,0
2024-04-11,58.19,SHORT,2024,Y,0
2024-04-08,59.19,BUY,2024,X,4
2024-04-04,59.43,SHORT,2024,Y,0
2024-03-28,60.56,BUY,2024,X,3
2024-03-25,59.12,SHORT,2024,X,1
2024-03-21,60.65,BUY,2024,X,2
2024-03-13,60.62,SELL,2024,X,5
2024-03-11,61.95,BUY,2024,X,1
2024-03-06,61.71,SELL,2024,X,4
2024-02-28,60.79,BUY,2024,Y,0
2024-01-03,66.75,SHORT,2024,Y,0
2023-12-26,67.09,BUY,2023,X,1
2023-12-20,66.13,SELL,2023,X,3
2023-12-11,64.2,BUY,2023,Y,0
2023-12-06,64.12,SELL,2023,X,2
2023-11-28,61.85,BUY,2023,Y,0
2023-11-16,61.7,SELL,2023,X,1
2023-11-14,61.5,BUY,2023,Y,0
2023-11-06,62.22,SELL,2023,Y,0
2023-10-31,58.78,BUY,2023,Y,0
2023-10-13,58.93,SHORT,2023,Y,0
2023-10-05,57.66,BUY,2023,Y,0
2023-09-18,63.34,SELL,2023,Y,0
2023-08-28,61.63,BUY,2023,Y,0
2023-08-08,65.48,SHORT,2023,Y,0
2023-07-31,65.51,BUY,2023,X,1
2023-07-25,65.47,SELL,2023,X,2
2023-07-11,61.89,BUY,2023,Y,0
2023-07-07,61.67,SELL,2023,X,1
2023-06-27,59.81,BUY,2023,Y,0
2023-06-20,60.66,SELL,2023,Y,0
2023-05-31,56.14,BUY,2023,Y,0
2023-05-19,57.82,SHORT,2023,Y,0
2023-05-15,58.89,BUY,2023,X,4
2023-05-02,60.09,SELL,2023,Y,0
2023-04-28,60.72,BUY,2023,X,3
2023-04-24,60.33,SELL,2023,X,2
2023-04-18,60.68,BUY,2023,X,2
2023-04-14,59.77,SELL,2023,X,1
2023-04-11,60.73,BUY,2023,X,1
2023-04-05,60.35,SHORT,2023,X,1
2023-03-21,58.09,BUY,2023,Y,0
2023-02-17,64.33,SHORT,2023,Y,0
2023-02-13,65.91,BUY,2023,X,1
2023-02-03,66.81,SELL,2023,Y,0
2023-01-23,64.59,BUY,2023,Y,0
2023-01-18,65.46,SELL,2023,Y,0
2022-12-21,62.51,BUY,2022,Y,0
2022-12-16,62.81,SHORT,2022,Y,0
2022-12-07,65.63,BUY,2022,X,3
2022-12-05,65.33,SHORT,2022,X,2
2022-11-30,66.06,BUY,2022,X,2
2022-11-28,65.38,SELL,2022,X,2
2022-11-15,65.48,BUY,2022,X,1
2022-11-08,63.42,SELL,2022,X,1
2022-10-25,56.58,BUY,2022,Y,0
2022-10-20,54.31,SHORT,2022,X,1
2022-10-17,54.89,BUY,2022,X,1
2022-10-06,55.25,SHORT,2022,Y,0
2022-10-04,55.1,BUY,2022,Y,0
2022-09-13,61.52,SELL,2022,Y,0
2022-09-06,61.12,BUY,2022,Y,0
2022-08-29,62.45,SHORT,2022,X,1
