Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,47.73,SHORT,2024,,0
2024-07-30,47.74,BUY,2024,X,2
2024-07-25,49.22,SHORT,2024,Y,0
2024-07-17,49.34,BUY,2024,X,1
2024-07-08,49.92,SELL,2024,Y,0
2024-07-03,49.66,BUY,2024,Y,0
2024-06-28,49.18,SELL,2024,X,2
2024-06-14,47.87,BUY,2024,Y,0
2024-06-07,47.04,SELL,2024,X,1
2024-06-03,46.02,BUY,2024,Y,0
2024-05-17,46.81,SELL,2024,Y,0
2024-05-15,47.17,BUY,2024,X,1
2024-05-08,46.64,SELL,2024,X,1
2024-04-24,42.8,BUY,2024,Y,0
2024-04-01,46.11,SHORT,2024,Y,0
2024-03-27,46.35,BUY,2024,X,1
2024-03-21,46.64,SELL,2024,Y,0
2024-02-22,41.51,BUY,2024,Y,0
2024-02-09,43.58,SELL,2024,Y,0
2024-02-07,44.2,BUY,2024,X,1
2024-02-05,43.59,SELL,2024,X,1
2024-01-29,43.25,BUY,2024,Y,0
2024-01-25,43.14,SHORT,2024,X,1
2024-01-08,42.87,BUY,2024,Y,0
2024-01-02,43.41,SELL,2024,Y,0
2023-12-27,43.42,BUY,2023,X,1
2023-12-15,42.2,SELL,2023,X,1
2023-10-24,33.55,BUY,2023,Y,0
2023-10-19,33.84,SHORT,2023,Y,0
2023-10-16,36.27,BUY,2023,X,1
2023-10-11,36.39,SHORT,2023,Y,0
2023-10-09,36.2,BUY,2023,Y,0
2023-10-02,37.16,SELL,2023,Y,0
2023-09-27,37.44,BUY,2023,X,1
2023-09-21,37.94,SELL,2023,Y,0
2023-09-13,36.28,BUY,2023,Y,0
2023-09-01,39.44,SHORT,2023,Y,0
2023-08-28,39.5,BUY,2023,X,1
2023-08-17,40.79,SHORT,2023,Y,0
2023-08-09,40.73,BUY,2023,Y,0
2023-08-04,40.55,SHORT,2023,X,2
2023-08-02,41.03,BUY,2023,X,1
2023-07-19,44.36,SELL,2023,Y,0
2023-06-29,42.5,BUY,2023,Y,0
2023-06-20,40.91,SELL,2023,X,3
2023-06-15,41.13,BUY,2023,X,1
2023-06-09,40.9,SHORT,2023,X,1
2023-06-01,40.22,BUY,2023,Y,0
2023-05-18,41.46,SHORT,2023,Y,0
2023-05-11,42.4,BUY,2023,X,1
2023-05-09,41.57,SELL,2023,X,2
2023-03-28,36.85,BUY,2023,Y,0
2023-03-22,36.53,SELL,2023,X,1
2023-03-14,35.49,BUY,2023,Y,0
2023-03-07,35.11,SHORT,2023,X,2
2023-03-03,35.18,BUY,2023,X,3
2023-02-22,35.42,SELL,2023,Y,0
2023-02-16,36.03,BUY,2023,X,2
2023-02-03,35.84,SHORT,2023,X,1
2023-01-31,36.21,BUY,2023,X,1
2023-01-18,37.11,SELL,2023,Y,0
2023-01-04,36.89,BUY,2023,Y,0
2022-12-22,36.97,SHORT,2022,Y,0
2022-12-20,37.06,BUY,2022,X,3
2022-12-05,39.86,SHORT,2022,Y,0
2022-11-25,39.99,BUY,2022,X,2
2022-11-22,39.73,SHORT,2022,X,1
2022-11-16,42.03,BUY,2022,X,1
2022-11-02,41.98,SELL,2022,X,2
2022-10-19,36.67,BUY,2022,Y,0
2022-10-07,36.31,SELL,2022,X,1
2022-09-29,35.02,BUY,2022,Y,0
2022-09-21,35.64,SELL,2022,Y,0
2022-09-19,35.81,BUY,2022,X,1
2022-09-15,35.87,SELL,2022,Y,0
2022-09-06,34.84,BUY,2022,Y,0
2022-08-19,36.91,SHORT,2022,Y,0
2022-08-16,37.09,BUY,2022,Y,0
