Date,Price,Signal,Year,Strike,StrikeCount
2024-07-19,568.25,SELL,2024,,0
2024-07-11,555.81,BUY,2024,Y,0
2024-07-09,554.17,SELL,2024,X,4
2024-06-17,551.65,BUY,2024,Y,0
2024-06-13,550.9,SELL,2024,X,3
2024-06-06,549.71,BUY,2024,Y,0
2024-05-28,539.68,SELL,2024,X,2
2024-05-16,534.06,BUY,2024,Y,0
2024-05-14,520.83,SHORT,2024,X,1
2024-05-01,513.78,BUY,2024,Y,0
2024-04-29,520.73,SHORT,2024,Y,0
2024-04-22,539.11,BUY,2024,X,2
2024-04-02,550.26,SHORT,2024,Y,0
2024-03-27,559.18,BUY,2024,X,1
2024-03-13,552.49,SELL,2024,X,1
2024-03-07,546.32,BUY,2024,Y,0
2024-02-27,547.1,SELL,2024,Y,0
2024-02-22,554.26,BUY,2024,X,2
2024-02-05,545.89,SHORT,2024,X,5
2024-01-29,553.44,BUY,2024,X,1
2024-01-24,547.77,SELL,2024,X,1
2024-01-08,528.78,BUY,2024,Y,0
2024-01-03,532.8,SELL,2024,Y,0
2023-12-28,546.15,BUY,2023,X,1
2023-12-20,537.12,SELL,2023,X,1
2023-10-31,488.57,BUY,2023,Y,0
2023-10-18,494.38,SELL,2023,Y,0
2023-09-28,487.49,BUY,2023,Y,0
2023-09-21,500.91,SELL,2023,Y,0
2023-09-11,497.75,BUY,2023,Y,0
2023-09-05,497.4,SELL,2023,X,1
2023-08-21,485.99,BUY,2023,Y,0
2023-08-17,491.05,SELL,2023,Y,0
2023-08-14,494.25,BUY,2023,X,1
2023-08-04,489.63,SELL,2023,X,1
2023-06-22,460.67,BUY,2023,Y,0
2023-06-06,453.97,SHORT,2023,X,4
2023-05-30,451.73,BUY,2023,Y,0
2023-05-04,454.97,SELL,2023,Y,0
2023-04-11,437.89,BUY,2023,Y,0
2023-04-06,435.7,SELL,2023,X,1
2023-03-14,428.07,BUY,2023,Y,0
2023-03-07,427.57,SHORT,2023,X,3
2023-03-03,428.01,BUY,2023,X,4
2023-02-15,424.26,SHORT,2023,X,2
2023-02-13,429.56,BUY,2023,X,3
2023-02-08,427.91,SHORT,2023,X,1
2023-02-01,429.67,BUY,2023,X,2
2023-01-30,431.79,SHORT,2023,Y,0
2023-01-23,443.03,BUY,2023,X,1
2023-01-17,447.6,SELL,2023,Y,0
2022-12-20,424.51,BUY,2022,Y,0
2022-12-16,424.36,SELL,2022,X,2
2022-12-12,436.81,BUY,2022,X,3
2022-12-06,435.44,SELL,2022,X,1
2022-12-01,443.5,BUY,2022,X,2
2022-11-28,431.37,SHORT,2022,X,1
2022-11-21,434.37,BUY,2022,X,1
2022-11-14,436.32,SELL,2022,Y,0
2022-11-08,416.43,BUY,2022,Y,0
2022-11-02,406.01,SELL,2022,X,1
2022-10-19,371.43,BUY,2022,Y,0
2022-10-07,375.58,SHORT,2022,Y,0
2022-10-04,377.88,BUY,2022,X,2
2022-09-13,400.49,SHORT,2022,Y,0
2022-09-08,408.08,BUY,2022,X,1
2022-08-30,410.11,SHORT,2022,Y,0
2022-08-25,422.56,BUY,2022,Y,0
