Date,Price,Signal,Year,Strike,StrikeCount
2024-07-30,142.75,BUY,2024,,0
2024-07-15,149.83,SELL,2024,Y,0
2024-07-11,149.19,BUY,2024,Y,0
2024-06-20,147.45,SELL,2024,X,9
2024-05-24,142.13,BUY,2024,Y,0
2024-05-22,131.65,SHORT,2024,X,3
2024-05-16,134.07,BUY,2024,X,1
2024-05-14,132.96,SHORT,2024,X,2
2024-05-06,131.45,BUY,2024,Y,0
2024-04-30,130.21,SHORT,2024,X,1
2024-04-26,133.61,BUY,2024,X,5
2024-04-15,136.49,SHORT,2024,Y,0
2024-04-11,139.73,BUY,2024,X,4
2024-04-03,143.13,SHORT,2024,Y,0
2024-03-20,146.98,BUY,2024,X,3
2024-03-18,144.96,SHORT,2024,X,1
2024-03-12,146.48,BUY,2024,X,2
2024-03-07,148.39,SHORT,2024,Y,0
2024-02-28,150.19,BUY,2024,X,1
2024-02-26,147.84,SELL,2024,X,8
2024-02-09,145.87,BUY,2024,Y,0
2024-02-06,142.16,SELL,2024,X,7
2024-02-02,143.64,BUY,2024,X,1
2024-01-31,141.63,SELL,2024,X,6
2024-01-22,138.23,BUY,2024,Y,0
2024-01-17,135.6,SELL,2024,X,5
2024-01-09,135.9,BUY,2024,X,3
2024-01-05,134.5,SHORT,2024,X,2
2023-12-29,138.39,BUY,2023,X,2
2023-12-15,134.07,SELL,2023,X,4
2023-12-13,136.4,BUY,2023,X,1
2023-12-07,131.66,SELL,2023,X,3
2023-12-01,131.38,BUY,2023,Y,0
2023-11-29,129.8,SELL,2023,X,2
2023-11-20,129.43,BUY,2023,Y,0
2023-11-16,121.4,SELL,2023,X,1
2023-10-31,115.32,BUY,2023,Y,0
2023-10-19,116.59,SELL,2023,Y,0
2023-10-17,116.52,BUY,2023,Y,0
2023-10-13,112.71,SELL,2023,X,1
2023-10-09,112.81,BUY,2023,X,3
2023-10-05,111.72,SHORT,2023,X,1
2023-09-29,112.65,BUY,2023,X,2
2023-09-20,115.86,SHORT,2023,Y,0
2023-09-15,118.17,BUY,2023,X,1
2023-09-11,118.4,SELL,2023,Y,0
2023-08-07,113.46,BUY,2023,Y,0
2023-08-02,112.49,SHORT,2023,X,1
2023-07-11,110.24,BUY,2023,Y,0
2023-07-05,110.62,SELL,2023,Y,0
2023-06-23,108.01,BUY,2023,Y,0
2023-06-20,107.28,SELL,2023,X,2
2023-06-06,103.67,BUY,2023,Y,0
2023-06-01,102.57,SELL,2023,X,1
2023-05-26,102.97,BUY,2023,X,3
2023-05-16,103.28,SELL,2023,Y,0
2023-05-12,103.87,BUY,2023,X,2
2023-05-10,103.17,SELL,2023,X,1
2023-05-08,104.83,BUY,2023,X,1
2023-04-25,105.46,SELL,2023,Y,0
2023-04-14,104.6,BUY,2023,Y,0
2023-04-12,104.72,SELL,2023,Y,0
2023-03-28,101.93,BUY,2023,Y,0
2023-03-23,102.21,SHORT,2023,Y,0
2023-03-21,103.97,BUY,2023,X,3
2023-03-07,111.29,SHORT,2023,Y,0
2023-03-03,111.83,BUY,2023,X,2
2023-01-31,118.66,SHORT,2023,Y,0
2023-01-26,120.71,BUY,2023,X,1
2023-01-18,118.8,SELL,2023,X,1
2022-12-29,115.86,BUY,2022,Y,0
2022-12-05,117.36,SELL,2022,Y,0
2022-11-17,97.93,BUY,2022,Y,0
2022-11-14,95.66,SELL,2022,X,2
2022-11-10,95.87,BUY,2022,X,1
2022-11-02,93.8,SELL,2022,X,1
2022-10-21,84.53,BUY,2022,Y,0
2022-10-07,86.86,SHORT,2022,Y,0
2022-09-28,85.51,BUY,2022,Y,0
2022-09-21,87.97,SELL,2022,Y,0
2022-09-16,90.15,BUY,2022,X,1
2022-09-14,89.52,SELL,2022,X,1
2022-09-07,88.84,BUY,2022,Y,0
2022-08-30,86.93,SHORT,2022,X,1
2022-08-25,90.9,BUY,2022,Y,0
