Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,116.78,SELL,2024,,0
2024-07-23,104.13,BUY,2024,Y,0
2024-07-19,103.48,SELL,2024,X,1
2024-07-09,100.76,BUY,2024,Y,0
2024-06-12,106.77,SELL,2024,Y,0
2024-05-31,106.64,BUY,2024,Y,0
2024-05-13,105.8,SELL,2024,X,4
2024-05-06,101.91,BUY,2024,Y,0
2024-05-01,101.22,SELL,2024,X,3
2024-03-05,90.06,BUY,2024,Y,0
2024-02-28,89.92,SHORT,2024,X,1
2024-02-23,90.01,BUY,2024,X,2
2024-02-21,90.27,SHORT,2024,Y,0
2024-02-05,91.58,BUY,2024,X,1
2024-01-29,90.08,SELL,2024,X,2
2024-01-10,86.08,BUY,2024,Y,0
2024-01-05,85.38,SELL,2024,X,1
2023-12-19,81.29,BUY,2023,Y,0
2023-12-07,82.31,SELL,2023,Y,0
2023-11-24,79.98,BUY,2023,Y,0
2023-11-10,82.22,SELL,2023,Y,0
2023-10-16,73.98,BUY,2023,Y,0
2023-09-08,84.04,SHORT,2023,Y,0
2023-08-30,86.04,BUY,2023,X,1
2023-08-15,85.82,SHORT,2023,X,2
2023-08-08,85.77,BUY,2023,Y,0
2023-08-03,85.16,SHORT,2023,X,1
2023-07-31,87.75,BUY,2023,X,2
2023-06-28,96.05,SHORT,2023,Y,0
2023-06-21,98.63,BUY,2023,X,1
2023-06-14,98.86,SELL,2023,Y,0
2023-06-01,94.09,BUY,2023,Y,0
2023-05-22,95.66,SHORT,2023,Y,0
2023-05-15,96.6,BUY,2023,X,1
2023-05-02,99.77,SHORT,2023,Y,0
2023-04-28,99.74,BUY,2023,Y,0
2023-04-20,102.84,SELL,2023,Y,0
2023-04-12,101.35,BUY,2023,Y,0
2023-04-05,98.89,SELL,2023,X,1
2023-03-29,97.7,BUY,2023,Y,0
2023-03-08,97.66,SHORT,2023,X,4
2023-03-02,98.41,BUY,2023,X,1
2023-02-22,100.51,SELL,2023,Y,0
2023-02-06,97.61,BUY,2023,Y,0
2023-01-30,99.16,SELL,2023,Y,0
2023-01-23,95.13,BUY,2023,Y,0
2023-01-11,99.59,SELL,2023,Y,0
2022-12-30,100.63,BUY,2022,X,2
2022-12-28,99.14,SHORT,2022,X,3
2022-12-21,99.36,BUY,2022,X,1
2022-12-06,99.51,SELL,2022,Y,0
2022-11-21,95.59,BUY,2022,Y,0
2022-11-11,93.65,SELL,2022,X,1
2022-10-13,84.87,BUY,2022,Y,0
2022-10-10,84.16,SHORT,2022,X,2
2022-10-05,84.85,BUY,2022,X,1
2022-09-30,81.98,SHORT,2022,X,1
2022-09-28,81.62,BUY,2022,Y,0
2022-09-21,85.06,SHORT,2022,Y,0
2022-09-09,87.74,BUY,2022,X,1
2022-08-18,94.71,SELL,2022,Y,0
2022-08-10,93.28,BUY,2022,Y,0
