Date,Price,Signal,Year,Strike,StrikeCount
2024-07-23,340.15,BUY,2024,,0
2024-07-19,322.16,SELL,2024,X,1
2024-07-08,298.28,BUY,2024,Y,0
2024-06-07,292.61,SHORT,2024,X,2
2024-05-06,314.99,BUY,2024,X,1
2024-03-26,342.0,SELL,2024,Y,0
2024-03-20,338.98,BUY,2024,Y,0
2024-03-13,339.47,SELL,2024,Y,0
2024-02-21,312.88,BUY,2024,Y,0
2024-02-16,309.08,SELL,2024,X,3
2024-02-02,309.99,BUY,2024,X,2
2024-01-31,304.38,SELL,2024,X,2
2024-01-29,304.98,BUY,2024,X,1
2024-01-24,304.38,SELL,2024,X,1
2024-01-17,300.88,BUY,2024,Y,0
2024-01-11,297.42,SHORT,2024,X,1
2024-01-08,297.93,BUY,2024,X,2
2023-12-29,311.9,SELL,2023,Y,0
2023-12-27,313.27,BUY,2023,X,1
2023-12-19,307.21,SELL,2023,X,2
2023-11-01,238.91,BUY,2023,Y,0
2023-10-19,240.14,SHORT,2023,Y,0
2023-10-17,252.84,BUY,2023,X,6
2023-10-13,248.18,SHORT,2023,X,3
2023-10-11,255.54,BUY,2023,X,5
2023-10-09,251.82,SHORT,2023,X,2
2023-10-04,256.46,BUY,2023,X,4
2023-09-27,252.98,SHORT,2023,X,1
2023-09-25,256.21,BUY,2023,X,3
2023-09-14,268.07,SHORT,2023,Y,0
2023-09-08,271.45,BUY,2023,X,2
2023-09-06,269.07,SELL,2023,X,1
2023-09-01,274.16,BUY,2023,X,1
2023-08-16,274.02,SHORT,2023,X,2
2023-08-10,272.86,BUY,2023,Y,0
2023-07-31,276.5,SELL,2023,Y,0
2023-07-11,259.11,BUY,2023,Y,0
2023-07-05,261.68,SELL,2023,Y,0
2023-06-27,252.87,BUY,2023,Y,0
2023-06-21,247.28,SELL,2023,X,1
2023-06-01,229.94,BUY,2023,Y,0
2023-05-22,231.95,SELL,2023,Y,0
2023-05-18,228.43,BUY,2023,Y,0
2023-05-12,227.85,SHORT,2023,X,1
2023-05-08,230.93,BUY,2023,X,2
2023-05-03,231.52,SELL,2023,Y,0
2023-04-28,234.05,BUY,2023,X,1
2023-04-26,233.97,SELL,2023,X,2
2023-03-27,213.93,BUY,2023,Y,0
2023-03-07,223.27,SHORT,2023,Y,0
2023-03-02,222.41,BUY,2023,Y,0
2023-02-09,235.79,SHORT,2023,Y,0
2023-01-23,246.04,BUY,2023,X,4
2023-01-19,240.96,SELL,2023,X,1
2023-01-11,242.13,BUY,2023,X,3
2023-01-09,236.28,SHORT,2023,X,2
2023-01-04,243.24,BUY,2023,X,2
2022-12-28,238.59,SHORT,2022,X,1
2022-12-21,240.3,BUY,2022,X,1
2022-12-07,252.2,SELL,2022,Y,0
2022-12-02,250.04,BUY,2022,Y,0
2022-11-28,245.95,SELL,2022,X,3
2022-11-16,240.81,BUY,2022,Y,0
2022-11-14,235.75,SELL,2022,X,2
2022-11-08,224.29,BUY,2022,Y,0
2022-11-02,224.01,SELL,2022,X,1
2022-10-17,206.37,BUY,2022,Y,0
2022-10-07,207.1,SHORT,2022,Y,0
2022-10-04,217.99,BUY,2022,X,4
2022-09-30,207.13,SHORT,2022,X,1
2022-09-28,212.39,BUY,2022,X,3
2022-09-15,225.22,SHORT,2022,Y,0
2022-09-08,239.46,BUY,2022,X,2
2022-08-30,235.0,SHORT,2022,X,1
2022-08-25,243.85,BUY,2022,X,1
2022-08-17,251.47,SELL,2022,Y,0
2022-08-10,243.74,BUY,2022,Y,0
