Date,Price,Signal,Year,Strike,StrikeCount
2024-07-24,48.58,SELL,2024,,0
2024-07-22,49.44,BUY,2024,X,1
2024-07-18,48.72,SELL,2024,X,3
2024-07-15,47.25,BUY,2024,Y,0
2024-07-09,45.67,SELL,2024,X,2
2024-07-03,47.25,BUY,2024,X,1
2024-07-01,46.88,SELL,2024,X,1
2024-06-18,44.44,BUY,2024,Y,0
2024-06-12,44.71,SHORT,2024,Y,0
2024-06-07,43.86,BUY,2024,Y,0
2024-06-04,43.54,SHORT,2024,X,2
2024-05-31,45.89,BUY,2024,X,1
2024-04-02,54.68,SELL,2024,Y,0
2024-03-27,54.6,BUY,2024,Y,0
2024-03-22,53.99,SELL,2024,X,1
2024-02-15,48.08,BUY,2024,Y,0
2024-01-31,49.22,SELL,2024,Y,0
2024-01-11,48.8,BUY,2024,Y,0
2024-01-02,51.99,SELL,2024,Y,0
2023-12-22,53.08,BUY,2023,X,3
2023-12-05,51.41,SHORT,2023,X,1
2023-12-01,52.39,BUY,2023,X,2
2023-11-09,52.88,SHORT,2023,Y,0
2023-11-02,56.15,BUY,2023,X,1
2023-10-19,59.97,SELL,2023,Y,0
2023-10-10,58.62,BUY,2023,Y,0
2023-09-29,58.84,SHORT,2023,Y,0
2023-09-25,59.74,BUY,2023,X,2
2023-09-15,60.58,SELL,2023,Y,0
2023-09-14,61.6,BUY,2023,X,1
2023-09-08,60.33,SELL,2023,X,3
2023-08-29,58.22,BUY,2023,Y,0
2023-08-15,58.56,SHORT,2023,Y,0
2023-07-19,57.25,BUY,2023,Y,0
2023-07-17,56.51,SELL,2023,X,2
2023-06-27,48.14,BUY,2023,Y,0
2023-06-14,47.27,SELL,2023,X,1
2023-05-18,44.71,BUY,2023,Y,0
2023-04-21,51.5,SELL,2023,Y,0
2023-04-11,50.56,BUY,2023,Y,0
2023-04-06,50.22,SHORT,2023,X,2
2023-04-03,52.33,BUY,2023,X,1
2023-03-23,47.18,SHORT,2023,X,1
2023-03-20,46.22,BUY,2023,Y,0
2023-03-07,54.76,SELL,2023,Y,0
2023-02-27,54.28,BUY,2023,Y,0
2023-02-15,55.99,SHORT,2023,Y,0
2023-02-07,53.89,BUY,2023,Y,0
2023-01-30,56.34,SELL,2023,Y,0
2023-01-26,56.88,BUY,2023,X,1
2023-01-23,56.86,SELL,2023,X,2
2023-01-09,55.53,BUY,2023,Y,0
2023-01-03,52.35,SELL,2023,X,1
2022-12-21,53.09,BUY,2022,X,3
2022-12-15,50.11,SHORT,2022,X,1
2022-12-13,50.48,BUY,2022,X,2
2022-11-16,53.82,SELL,2022,Y,0
2022-11-11,54.43,BUY,2022,X,1
2022-11-09,53.66,SELL,2022,X,3
2022-11-07,53.24,BUY,2022,Y,0
2022-10-27,51.94,SELL,2022,X,2
2022-10-19,44.2,BUY,2022,Y,0
2022-10-10,42.13,SELL,2022,X,1
2022-09-28,34.57,BUY,2022,Y,0
2022-08-26,39.74,SELL,2022,Y,0
2022-08-11,35.76,BUY,2022,Y,0
