Date,Price,Signal,Year,Strike,StrikeCount
2024-08-02,151.36,SELL,2024,,0
2024-07-29,152.83,BUY,2024,X,1
2024-07-24,155.07,SELL,2024,Y,0
2024-07-09,147.57,BUY,2024,Y,0
2024-07-01,147.23,SHORT,2024,X,2
2024-06-24,147.06,BUY,2024,Y,0
2024-06-11,150.78,SELL,2024,Y,0
2024-05-30,148.44,BUY,2024,Y,0
2024-05-13,147.1,SELL,2024,X,1
2024-05-06,144.44,BUY,2024,Y,0
2024-04-26,142.36,SHORT,2024,X,1
2024-04-22,141.61,BUY,2024,Y,0
2024-04-12,145.53,SHORT,2024,Y,0
2024-04-08,150.36,BUY,2024,X,2
2024-03-25,151.23,SELL,2024,Y,0
2024-03-13,151.49,BUY,2024,X,1
2024-03-07,149.7,SELL,2024,X,2
2024-02-16,148.11,BUY,2024,Y,0
2024-02-14,143.45,SELL,2024,X,1
2024-02-06,139.97,BUY,2024,Y,0
2024-01-17,143.03,SHORT,2024,Y,0
2024-01-08,141.5,BUY,2024,Y,0
2023-12-29,143.07,SELL,2023,Y,0
2023-12-26,143.66,BUY,2023,X,1
2023-12-18,143.62,SELL,2023,X,2
2023-11-28,122.1,BUY,2023,Y,0
2023-11-22,121.25,SELL,2023,X,1
2023-11-13,115.54,BUY,2023,Y,0
2023-11-07,116.38,SELL,2023,Y,0
2023-10-26,106.14,BUY,2023,Y,0
2023-10-19,107.54,SELL,2023,Y,0
2023-10-17,109.34,BUY,2023,X,1
2023-09-18,115.85,SELL,2023,Y,0
2023-08-28,111.67,BUY,2023,Y,0
2023-08-03,118.37,SELL,2023,Y,0
2023-06-27,111.53,BUY,2023,Y,0
2023-06-20,110.73,SELL,2023,X,1
2023-05-30,103.51,BUY,2023,Y,0
2023-05-19,105.36,SHORT,2023,Y,0
2023-05-15,106.93,BUY,2023,X,1
2023-05-02,112.05,SELL,2023,Y,0
2023-04-28,111.06,BUY,2023,Y,0
2023-04-21,110.66,SELL,2023,X,1
2023-04-17,109.78,BUY,2023,Y,0
2023-04-04,111.73,SELL,2023,Y,0
2023-03-29,106.36,BUY,2023,Y,0
2023-03-23,103.88,SHORT,2023,X,1
2023-03-21,109.12,BUY,2023,X,2
2023-03-10,116.51,SHORT,2023,Y,0
2023-02-23,122.3,BUY,2023,X,1
2023-02-07,125.9,SELL,2023,Y,0
2023-01-20,122.18,BUY,2023,Y,0
2023-01-18,124.48,SELL,2023,Y,0
2023-01-12,122.5,BUY,2023,Y,0
2023-01-10,117.12,SELL,2023,X,1
2022-12-30,117.48,BUY,2022,X,1
2022-12-28,117.52,SELL,2022,Y,0
2022-12-12,117.44,BUY,2022,Y,0
2022-12-08,117.2,SHORT,2022,X,2
2022-11-30,118.26,BUY,2022,X,2
2022-11-16,117.04,SELL,2022,X,2
2022-11-11,120.2,BUY,2022,X,1
2022-11-09,114.13,SELL,2022,X,1
2022-10-13,95.2,BUY,2022,Y,0
2022-10-07,93.1,SHORT,2022,X,1
2022-09-27,88.75,BUY,2022,Y,0
2022-09-20,98.63,SHORT,2022,Y,0
2022-09-07,102.07,BUY,2022,X,2
2022-08-29,103.65,SHORT,2022,Y,0
2022-08-25,108.24,BUY,2022,X,1
2022-08-15,114.76,SELL,2022,Y,0
2022-08-08,108.04,BUY,2022,Y,0
