Date,Price,Signal,Year,Strike,StrikeCount
2024-07-05,75.82,BUY,2024,,0
2024-07-01,75.24,SELL,2024,X,1
2024-06-13,76.01,BUY,2024,X,1
2024-06-10,75.08,SHORT,2024,X,2
2024-05-31,75.04,BUY,2024,Y,0
2024-05-22,77.4,SELL,2024,Y,0
2024-05-08,73.83,BUY,2024,Y,0
2024-05-06,72.71,SELL,2024,X,2
2024-05-02,72.58,BUY,2024,Y,0
2024-04-26,71.32,SELL,2024,X,1
2024-04-18,68.44,BUY,2024,Y,0
2024-04-03,71.11,SELL,2024,Y,0
2024-03-28,71.69,BUY,2024,X,3
2024-03-25,69.63,SHORT,2024,X,1
2024-03-18,70.38,BUY,2024,X,2
2024-03-13,70.82,SELL,2024,Y,0
2024-03-08,70.88,BUY,2024,X,1
2024-02-26,71.07,SELL,2024,Y,0
2024-02-15,70.11,BUY,2024,Y,0
2024-02-02,71.34,SHORT,2024,Y,0
2024-01-29,71.41,BUY,2024,X,1
2024-01-10,76.13,SELL,2024,Y,0
2023-12-26,74.25,BUY,2023,Y,0
2023-12-15,75.69,SELL,2023,Y,0
2023-12-11,73.3,BUY,2023,Y,0
2023-11-28,73.52,SELL,2023,Y,0
2023-11-14,71.72,BUY,2023,Y,0
2023-11-07,71.63,SELL,2023,X,2
2023-11-01,70.62,BUY,2023,Y,0
2023-10-27,70.1,SELL,2023,X,1
2023-10-24,69.03,BUY,2023,Y,0
2023-10-19,70.08,SHORT,2023,Y,0
2023-10-16,70.01,BUY,2023,Y,0
2023-10-12,68.46,SHORT,2023,X,1
2023-10-09,67.36,BUY,2023,Y,0
2023-09-21,72.94,SELL,2023,Y,0
2023-09-07,70.24,BUY,2023,Y,0
2023-08-24,70.94,SELL,2023,Y,0
2023-08-18,70.72,BUY,2023,Y,0
2023-08-10,71.5,SHORT,2023,Y,0
2023-08-08,71.55,BUY,2023,X,1
2023-07-27,75.31,SELL,2023,Y,0
2023-07-20,73.95,BUY,2023,Y,0
2023-07-14,74.35,SELL,2023,Y,0
2023-07-05,73.04,BUY,2023,Y,0
2023-06-23,73.01,SELL,2023,X,2
2023-06-15,74.19,BUY,2023,X,1
2023-06-09,74.03,SELL,2023,X,1
2023-06-01,72.09,BUY,2023,Y,0
2023-05-11,77.53,SELL,2023,Y,0
2023-05-05,77.01,BUY,2023,Y,0
2023-04-28,77.75,SHORT,2023,Y,0
2023-04-25,78.99,BUY,2023,X,1
2023-04-21,78.4,SELL,2023,X,3
2023-04-17,77.49,BUY,2023,Y,0
2023-04-12,77.07,SELL,2023,X,2
2023-04-05,75.75,BUY,2023,Y,0
2023-04-03,75.03,SELL,2023,X,1
2023-03-27,72.16,BUY,2023,Y,0
2023-03-17,72.87,SHORT,2023,Y,0
2023-03-14,73.06,BUY,2023,X,3
2023-03-09,73.9,SHORT,2023,Y,0
2023-03-03,74.85,BUY,2023,X,2
2023-02-21,78.34,SELL,2023,Y,0
2023-02-13,78.89,BUY,2023,X,1
2023-01-19,77.98,SELL,2023,X,3
2023-01-09,77.78,BUY,2023,Y,0
2022-12-15,81.18,SHORT,2022,Y,0
2022-12-12,82.77,BUY,2022,X,1
2022-12-05,81.85,SELL,2022,X,2
2022-11-21,79.11,BUY,2022,Y,0
2022-11-17,77.06,SELL,2022,X,1
2022-11-04,77.42,BUY,2022,X,1
2022-11-02,75.27,SHORT,2022,X,1
2022-10-24,71.93,BUY,2022,Y,0
2022-10-06,76.03,SHORT,2022,Y,0
2022-10-04,78.25,BUY,2022,X,1
2022-09-13,85.42,SELL,2022,Y,0
2022-09-01,83.46,BUY,2022,Y,0
2022-08-22,84.09,SELL,2022,Y,0
2022-08-09,81.28,BUY,2022,Y,0
