Date,Price,Signal,Year,Strike,StrikeCount
2024-08-02,122.39,SELL,2024,,0
2024-07-26,128.83,BUY,2024,X,1
2024-07-19,128.44,SELL,2024,X,1
2024-07-10,125.49,BUY,2024,Y,0
2024-06-25,125.7,SHORT,2024,Y,0
2024-06-17,122.58,BUY,2024,Y,0
2024-06-10,124.38,SHORT,2024,Y,0
2024-06-06,128.35,BUY,2024,X,4
2024-06-03,132.95,SELL,2024,Y,0
2024-05-21,134.32,BUY,2024,X,3
2024-05-17,134.27,SELL,2024,X,2
2024-05-10,135.18,BUY,2024,X,2
2024-05-08,131.38,SHORT,2024,X,1
2024-05-03,132.45,BUY,2024,X,1
2024-04-10,144.65,SHORT,2024,Y,0
2024-03-13,133.08,BUY,2024,Y,0
2024-03-04,131.24,SELL,2024,X,1
2024-02-15,120.65,BUY,2024,Y,0
2024-02-12,123.98,SELL,2024,Y,0
2024-01-19,112.86,BUY,2024,Y,0
2024-01-09,115.89,SHORT,2024,Y,0
2024-01-03,119.11,BUY,2024,X,1
2023-12-20,121.5,SELL,2023,Y,0
2023-12-13,115.35,BUY,2023,Y,0
2023-12-08,113.16,SHORT,2023,X,3
2023-11-15,111.26,BUY,2023,Y,0
2023-11-13,108.11,SELL,2023,X,1
2023-10-24,100.06,BUY,2023,Y,0
2023-10-12,105.82,SELL,2023,Y,0
2023-09-21,99.54,BUY,2023,Y,0
2023-09-11,102.42,SELL,2023,Y,0
2023-08-28,102.12,BUY,2023,Y,0
2023-08-21,103.86,SELL,2023,Y,0
2023-08-14,105.18,BUY,2023,X,1
2023-08-04,104.83,SELL,2023,X,1
2023-07-31,104.76,BUY,2023,Y,0
2023-07-27,103.23,SHORT,2023,X,2
2023-07-25,103.48,BUY,2023,X,1
2023-07-14,106.41,SELL,2023,Y,0
2023-06-21,102.11,BUY,2023,Y,0
2023-06-16,102.87,SELL,2023,Y,0
2023-06-02,97.12,BUY,2023,Y,0
2023-05-30,94.62,SHORT,2023,X,1
2023-05-18,97.14,BUY,2023,X,3
2023-05-02,103.14,SHORT,2023,Y,0
2023-04-27,103.57,BUY,2023,X,2
2023-04-25,106.52,SELL,2023,Y,0
2023-04-18,106.87,BUY,2023,X,1
2023-04-12,106.58,SELL,2023,X,1
2023-04-06,103.43,BUY,2023,Y,0
2023-04-04,111.76,SHORT,2023,Y,0
2023-03-21,110.66,BUY,2023,Y,0
2023-03-07,130.99,SELL,2023,Y,0
2023-03-02,129.04,BUY,2023,Y,0
2023-02-21,123.48,SHORT,2023,X,1
2023-02-14,124.65,BUY,2023,X,1
2023-02-06,123.51,SELL,2023,X,3
2023-01-26,113.67,BUY,2023,Y,0
2023-01-18,109.64,SELL,2023,X,2
2023-01-05,98.79,BUY,2023,Y,0
2022-12-23,102.59,SHORT,2022,Y,0
2022-12-21,104.6,BUY,2022,X,1
2022-12-15,105.87,SHORT,2022,Y,0
2022-12-01,104.45,BUY,2022,Y,0
2022-11-29,103.44,SELL,2022,X,1
2022-11-08,96.77,BUY,2022,Y,0
2022-10-27,97.47,SELL,2022,Y,0
2022-10-13,79.97,BUY,2022,Y,0
2022-10-07,76.65,SHORT,2022,X,1
2022-09-28,71.73,BUY,2022,Y,0
2022-09-21,75.39,SHORT,2022,Y,0
2022-09-19,77.19,BUY,2022,X,1
2022-09-14,79.07,SHORT,2022,Y,0
2022-09-06,78.59,BUY,2022,Y,0
2022-08-30,85.42,SHORT,2022,Y,0
2022-08-24,81.39,BUY,2022,Y,0
2022-08-19,82.84,SELL,2022,Y,0
2022-08-09,79.21,BUY,2022,Y,0
