Date,Price,Signal,Year,Strike,StrikeCount
2024-07-25,19.19,BUY,2024,,0
2024-07-22,18.64,SELL,2024,X,4
2024-07-17,18.96,BUY,2024,X,1
2024-07-15,18.72,SHORT,2024,X,2
2024-06-24,18.48,BUY,2024,Y,0
2024-06-07,18.11,SELL,2024,X,3
2024-05-31,17.58,BUY,2024,Y,0
2024-05-28,17.3,SELL,2024,X,2
2024-05-06,16.99,BUY,2024,Y,0
2024-04-30,16.89,SELL,2024,X,1
2024-04-18,16.21,BUY,2024,Y,0
2024-04-05,17.43,SELL,2024,Y,0
2024-03-26,17.18,BUY,2024,Y,0
2024-03-13,17.19,SELL,2024,Y,0
2024-02-27,16.83,BUY,2024,Y,0
2024-02-22,16.72,SHORT,2024,X,1
2024-02-15,17.01,BUY,2024,X,1
2024-02-08,17.17,SHORT,2024,Y,0
2024-01-19,16.67,BUY,2024,Y,0
2024-01-04,17.18,SELL,2024,Y,0
2023-12-22,16.55,BUY,2023,Y,0
2023-12-08,16.92,SELL,2023,Y,0
2023-11-21,16.12,BUY,2023,Y,0
2023-11-08,15.7,SELL,2023,X,2
2023-10-31,15.33,BUY,2023,Y,0
2023-10-26,15.12,SELL,2023,X,1
2023-10-17,14.46,BUY,2023,Y,0
2023-10-12,14.6,SHORT,2023,Y,0
2023-10-10,14.87,BUY,2023,X,1
2023-09-22,15.26,SELL,2023,Y,0
2023-09-13,14.59,BUY,2023,Y,0
2023-09-05,14.61,SELL,2023,Y,0
2023-08-28,14.21,BUY,2023,Y,0
2023-08-15,14.14,SELL,2023,X,1
2023-08-08,14.09,BUY,2023,Y,0
2023-07-27,14.76,SHORT,2023,Y,0
2023-07-20,14.63,BUY,2023,Y,0
2023-07-06,15.96,SELL,2023,Y,0
2023-06-26,15.63,BUY,2023,Y,0
2023-06-14,15.84,SHORT,2023,Y,0
2023-05-30,15.55,BUY,2023,Y,0
2023-05-02,17.31,SHORT,2023,Y,0
2023-04-27,17.57,BUY,2023,X,1
2023-04-17,19.84,SELL,2023,Y,0
2023-03-24,18.54,BUY,2023,Y,0
2023-03-17,18.27,SHORT,2023,X,1
2023-03-03,18.76,BUY,2023,X,2
2023-02-28,18.96,SHORT,2023,Y,0
2023-02-13,19.15,BUY,2023,X,1
2023-02-03,20.12,SELL,2023,Y,0
2023-01-20,19.04,BUY,2023,Y,0
2023-01-17,19.35,SELL,2023,Y,0
2022-12-22,18.12,BUY,2022,Y,0
2022-12-14,18.99,SELL,2022,Y,0
2022-12-06,19.05,BUY,2022,X,2
2022-12-05,18.83,SHORT,2022,X,1
2022-11-23,19.06,BUY,2022,X,1
2022-11-15,19.02,SELL,2022,X,1
2022-10-17,15.18,BUY,2022,Y,0
2022-10-07,15.19,SHORT,2022,Y,0
2022-10-03,15.83,BUY,2022,X,4
2022-09-30,15.48,SHORT,2022,X,1
2022-09-28,15.83,BUY,2022,X,3
2022-09-14,16.81,SHORT,2022,Y,0
2022-09-12,17.12,BUY,2022,X,2
2022-08-31,17.77,SHORT,2022,Y,0
2022-08-25,18.09,BUY,2022,X,1
2022-08-22,18.26,SELL,2022,Y,0
2022-08-12,18.17,BUY,2022,Y,0
2022-08-10,18.13,SHORT,2022,X,1
