Date,Price,Signal,Year,Strike,StrikeCount
2024-07-23,401.73,BUY,2024,,0
2024-07-18,399.12,SELL,2024,X,1
2024-07-10,385.15,BUY,2024,Y,0
2024-06-06,393.57,SELL,2024,Y,0
2024-05-31,395.37,BUY,2024,X,1
2024-05-28,399.53,SELL,2024,Y,0
2024-05-15,399.25,BUY,2024,Y,0
2024-05-13,390.82,SELL,2024,X,1
2024-05-06,389.28,BUY,2024,Y,0
2024-04-30,381.48,SHORT,2024,X,1
2024-04-22,404.08,BUY,2024,X,1
2024-04-01,427.59,SELL,2024,Y,0
2024-03-19,416.62,BUY,2024,Y,0
2024-03-12,424.87,SHORT,2024,Y,0
2024-03-07,428.14,BUY,2024,X,4
2024-02-26,426.23,SELL,2024,X,2
2024-02-15,429.94,BUY,2024,X,3
2024-02-12,427.56,SELL,2024,X,1
2024-02-02,429.13,BUY,2024,X,2
2024-01-26,422.46,SHORT,2024,X,2
2024-01-19,435.63,BUY,2024,X,1
2024-01-04,438.19,SELL,2024,Y,0
2023-12-22,431.99,BUY,2023,Y,0
2023-12-20,424.37,SELL,2023,X,2
2023-11-30,402.3,BUY,2023,Y,0
2023-11-28,395.52,SELL,2023,X,1
2023-11-13,384.27,BUY,2023,Y,0
2023-11-09,376.44,SHORT,2023,X,1
2023-10-31,374.59,BUY,2023,Y,0
2023-10-12,409.26,SELL,2023,Y,0
2023-10-09,402.88,BUY,2023,Y,0
2023-09-21,414.54,SHORT,2023,Y,0
2023-09-14,412.78,BUY,2023,Y,0
2023-09-07,410.01,SELL,2023,X,2
2023-08-08,383.62,BUY,2023,Y,0
2023-08-03,381.95,SHORT,2023,X,1
2023-07-31,384.53,BUY,2023,X,2
2023-07-27,388.39,SHORT,2023,Y,0
2023-07-25,414.72,BUY,2023,X,1
2023-07-14,413.84,SELL,2023,X,1
2023-06-13,400.2,BUY,2023,Y,0
2023-06-09,393.92,SHORT,2023,X,4
2023-06-02,395.2,BUY,2023,X,3
2023-05-24,400.27,SELL,2023,Y,0
2023-05-18,414.78,BUY,2023,X,2
2023-05-16,409.96,SHORT,2023,X,3
2023-05-05,413.0,BUY,2023,X,1
2023-05-02,413.0,SHORT,2023,X,2
2023-04-28,412.47,BUY,2023,Y,0
2023-04-26,407.2,SHORT,2023,X,1
2023-04-21,427.79,BUY,2023,X,1
2023-04-04,442.24,SELL,2023,Y,0
2023-03-14,412.8,BUY,2023,Y,0
2023-03-07,436.07,SHORT,2023,Y,0
2023-03-03,436.7,BUY,2023,X,1
2023-02-16,439.07,SELL,2023,Y,0
2023-01-27,422.32,BUY,2023,Y,0
2023-01-18,412.25,SELL,2023,X,1
2022-12-30,398.59,BUY,2022,Y,0
2022-12-28,391.87,SHORT,2022,X,4
2022-12-21,395.79,BUY,2022,X,3
2022-12-16,399.39,SELL,2022,Y,0
2022-12-12,416.62,BUY,2022,X,2
2022-12-06,421.99,SELL,2022,Y,0
2022-12-01,422.02,BUY,2022,X,1
2022-11-29,411.4,SHORT,2022,X,3
2022-11-22,409.92,BUY,2022,Y,0
2022-11-14,410.08,SELL,2022,Y,0
2022-10-17,341.35,BUY,2022,Y,0
2022-10-11,336.11,SHORT,2022,X,2
2022-10-04,354.75,BUY,2022,X,2
2022-09-30,343.21,SHORT,2022,X,1
2022-09-28,350.0,BUY,2022,X,1
2022-09-15,373.58,SHORT,2022,Y,0
2022-09-07,373.31,BUY,2022,Y,0
2022-08-29,378.45,SHORT,2022,Y,0
2022-08-25,390.62,BUY,2022,X,1
2022-08-19,398.53,SELL,2022,Y,0
2022-08-15,401.68,BUY,2022,Y,0
