Date,Price,Signal,Year,Strike,StrikeCount
2024-07-30,153.99,SHORT,2024,,0
2024-07-24,154.38,BUY,2024,X,1
2024-07-18,156.49,SELL,2024,Y,0
2024-06-28,149.97,BUY,2024,Y,0
2024-06-25,150.26,SELL,2024,Y,0
2024-06-18,151.18,BUY,2024,X,2
2024-06-14,148.67,SHORT,2024,X,4
2024-05-31,148.95,BUY,2024,X,1
2024-05-23,150.49,SELL,2024,Y,0
2024-05-09,145.51,BUY,2024,Y,0
2024-05-01,139.76,SHORT,2024,X,3
2024-04-22,141.96,BUY,2024,X,1
2024-04-12,143.45,SELL,2024,Y,0
2024-03-27,143.31,BUY,2024,Y,0
2024-03-25,142.81,SELL,2024,X,1
2024-03-20,141.33,BUY,2024,Y,0
2024-03-14,140.03,SHORT,2024,X,2
2024-03-07,142.46,BUY,2024,X,3
2024-02-26,142.79,SELL,2024,Y,0
2024-02-22,143.63,BUY,2024,X,2
2024-02-13,140.74,SHORT,2024,X,1
2024-02-07,141.99,BUY,2024,X,1
2024-01-31,143.0,SELL,2024,Y,0
2024-01-23,134.32,BUY,2024,Y,0
2024-01-04,134.51,SHORT,2024,Y,0
2023-12-22,140.97,BUY,2023,X,1
2023-12-18,140.98,SELL,2023,Y,0
2023-12-07,132.37,BUY,2023,Y,0
2023-11-21,130.71,SELL,2023,X,3
2023-11-14,127.49,BUY,2023,Y,0
2023-11-07,125.04,SELL,2023,X,2
2023-10-31,116.76,BUY,2023,Y,0
2023-10-19,121.52,SHORT,2023,Y,0
2023-10-17,124.52,BUY,2023,X,2
2023-10-13,123.79,SELL,2023,X,1
2023-10-06,123.97,BUY,2023,X,1
2023-09-05,131.68,SELL,2023,Y,0
2023-08-28,129.75,BUY,2023,Y,0
2023-08-24,127.56,SHORT,2023,X,1
2023-08-21,128.28,BUY,2023,X,3
2023-08-08,137.69,SHORT,2023,Y,0
2023-07-26,142.94,BUY,2023,X,2
2023-07-24,141.13,SHORT,2023,X,3
2023-07-19,143.09,BUY,2023,X,1
2023-07-14,141.63,SELL,2023,X,2
2023-05-26,120.33,BUY,2023,Y,0
2023-05-24,119.57,SELL,2023,X,1
2023-05-15,120.92,BUY,2023,X,2
2023-05-04,120.24,SHORT,2023,X,2
2023-04-28,121.82,BUY,2023,X,1
2023-04-25,127.18,SELL,2023,Y,0
2023-04-17,126.6,BUY,2023,Y,0
2023-04-04,129.91,SELL,2023,Y,0
2023-03-30,129.14,BUY,2023,Y,0
2023-03-28,124.44,SHORT,2023,X,1
2023-03-23,125.01,BUY,2023,X,2
2023-02-21,129.58,SHORT,2023,Y,0
2023-02-14,132.68,BUY,2023,X,1
2023-02-08,132.69,SELL,2023,Y,0
2023-01-04,116.78,BUY,2023,Y,0
2022-11-29,124.13,SELL,2022,Y,0
2022-11-23,127.26,BUY,2022,X,1
2022-11-21,124.94,SELL,2022,X,2
2022-11-11,123.33,BUY,2022,Y,0
2022-11-09,115.98,SELL,2022,X,1
2022-11-04,115.79,BUY,2022,Y,0
2022-11-02,116.72,SELL,2022,Y,0
2022-10-17,111.84,BUY,2022,Y,0
2022-10-07,116.02,SHORT,2022,Y,0
2022-10-03,114.27,BUY,2022,Y,0
2022-09-30,111.65,SHORT,2022,X,1
2022-09-28,114.28,BUY,2022,X,1
2022-09-14,126.03,SHORT,2022,Y,0
2022-09-07,125.55,BUY,2022,Y,0
2022-08-17,135.97,SELL,2022,Y,0
2022-08-12,135.42,BUY,2022,Y,0
