Date,Price,Signal,Year,Strike,StrikeCount
2024-07-19,150.91,SELL,2024,,0
2024-07-05,145.65,BUY,2024,Y,0
2024-07-01,146.23,SHORT,2024,Y,0
2024-06-21,145.49,BUY,2024,Y,0
2024-06-13,145.66,SHORT,2024,Y,0
2024-06-10,146.58,BUY,2024,X,3
2024-06-04,151.82,SHORT,2024,Y,0
2024-05-08,159.59,BUY,2024,X,2
2024-04-23,166.51,SHORT,2024,Y,0
2024-04-19,167.93,BUY,2024,X,1
2024-04-02,177.01,SELL,2024,Y,0
2024-03-26,172.64,BUY,2024,Y,0
2024-03-22,168.96,SELL,2024,X,1
2024-03-18,164.81,BUY,2024,Y,0
2024-03-08,170.72,SELL,2024,Y,0
2024-03-06,172.83,BUY,2024,X,2
2024-03-04,150.83,SELL,2024,X,5
2024-02-23,151.48,BUY,2024,X,1
2024-02-21,148.79,SELL,2024,X,4
2024-02-01,141.57,BUY,2024,Y,0
2024-01-24,140.09,SELL,2024,X,3
2024-01-22,138.9,BUY,2024,Y,0
2024-01-12,141.51,SHORT,2024,Y,0
2023-12-22,139.94,BUY,2023,Y,0
2023-12-18,137.87,SELL,2023,X,2
2023-12-13,136.72,BUY,2023,Y,0
2023-12-05,132.88,SELL,2023,X,1
2023-11-14,108.94,BUY,2023,Y,0
2023-11-08,110.64,SELL,2023,Y,0
2023-10-25,109.07,BUY,2023,Y,0
2023-10-18,110.99,SELL,2023,Y,0
2023-10-10,106.83,BUY,2023,Y,0
2023-09-18,122.48,SHORT,2023,Y,0
2023-09-14,124.77,BUY,2023,X,1
2023-09-01,125.91,SHORT,2023,Y,0
2023-08-29,124.26,BUY,2023,Y,0
2023-08-01,134.01,SELL,2023,Y,0
2023-07-11,132.51,BUY,2023,Y,0
2023-06-28,132.47,SELL,2023,X,1
2023-06-26,133.69,BUY,2023,X,1
2023-06-16,135.99,SELL,2023,Y,0
2023-06-14,129.66,BUY,2023,Y,0
2023-05-16,156.91,SHORT,2023,Y,0
2023-05-05,155.03,BUY,2023,Y,0
2023-04-26,156.4,SELL,2023,Y,0
2023-04-24,163.27,BUY,2023,X,1
2023-04-12,168.69,SELL,2023,Y,0
2023-03-27,157.89,BUY,2023,Y,0
2023-03-22,158.79,SHORT,2023,Y,0
2023-03-16,159.69,BUY,2023,X,3
2023-03-01,166.22,SHORT,2023,Y,0
2023-02-24,166.48,BUY,2023,X,2
2023-02-21,168.91,SHORT,2023,Y,0
2023-02-15,173.92,BUY,2023,X,1
2023-02-09,171.37,SELL,2023,X,3
2023-01-23,162.78,BUY,2023,Y,0
2023-01-18,161.39,SELL,2023,X,2
2023-01-13,159.89,BUY,2023,Y,0
2023-01-10,155.97,SELL,2023,X,1
2022-12-27,143.65,BUY,2022,Y,0
2022-12-12,150.03,SHORT,2022,Y,0
2022-12-08,154.21,BUY,2022,X,3
2022-12-05,162.31,SELL,2022,Y,0
2022-11-28,163.98,BUY,2022,X,2
2022-11-21,160.51,SELL,2022,X,1
2022-11-08,161.62,BUY,2022,X,1
2022-11-02,163.67,SELL,2022,Y,0
2022-10-24,160.85,BUY,2022,Y,0
2022-10-20,154.85,SELL,2022,X,1
2022-10-18,156.05,BUY,2022,X,2
2022-10-14,153.63,SHORT,2022,X,1
2022-10-11,154.03,BUY,2022,X,1
2022-10-06,155.75,SHORT,2022,Y,0
2022-10-04,155.22,BUY,2022,Y,0
2022-09-30,151.07,SHORT,2022,X,2
2022-09-28,153.12,BUY,2022,X,1
2022-09-13,169.45,SELL,2022,Y,0
2022-09-07,165.4,BUY,2022,Y,0
2022-08-22,164.49,SHORT,2022,X,1
2022-08-12,171.65,BUY,2022,X,1
