Date,Price,Signal,Year,Strike,StrikeCount
2024-07-30,113.24,BUY,2024,,0
2024-07-25,111.27,SHORT,2024,X,1
2024-07-23,113.42,BUY,2024,X,1
2024-07-15,113.81,SELL,2024,Y,0
2024-07-08,112.21,BUY,2024,Y,0
2024-06-25,110.67,SELL,2024,X,2
2024-05-23,100.16,BUY,2024,Y,0
2024-05-21,97.7,SELL,2024,X,1
2024-04-23,94.5,BUY,2024,Y,0
2024-04-12,94.59,SHORT,2024,Y,0
2024-04-09,97.1,BUY,2024,X,1
2024-04-03,99.06,SELL,2024,Y,0
2024-03-20,98.88,BUY,2024,Y,0
2024-03-15,97.94,SELL,2024,X,4
2024-03-11,96.47,BUY,2024,Y,0
2024-03-01,98.79,SHORT,2024,Y,0
2024-01-08,92.82,BUY,2024,Y,0
2024-01-03,92.04,SELL,2024,X,3
2023-12-21,91.38,BUY,2023,Y,0
2023-12-15,89.29,SELL,2023,X,2
2023-12-07,88.89,BUY,2023,Y,0
2023-11-30,88.11,SHORT,2023,X,3
2023-11-22,89.95,BUY,2023,X,1
2023-11-15,89.43,SELL,2023,X,1
2023-11-02,88.62,BUY,2023,Y,0
2023-10-19,89.83,SELL,2023,Y,0
2023-10-06,88.56,BUY,2023,Y,0
2023-10-03,88.52,SHORT,2023,X,2
2023-09-28,88.9,BUY,2023,X,1
2023-09-18,92.05,SELL,2023,Y,0
2023-08-16,89.04,BUY,2023,Y,0
2023-08-10,86.2,SELL,2023,X,1
2023-08-07,86.29,BUY,2023,X,1
2023-07-27,87.02,SELL,2023,Y,0
2023-07-11,84.25,BUY,2023,Y,0
2023-07-06,83.95,SELL,2023,X,2
2023-06-13,81.03,BUY,2023,Y,0
2023-06-07,78.12,SELL,2023,X,1
2023-06-02,77.62,BUY,2023,Y,0
2023-05-23,77.71,SELL,2023,Y,0
2023-05-05,78.5,BUY,2023,X,2
2023-04-25,78.04,SELL,2023,X,1
2023-04-03,78.36,BUY,2023,X,1
2023-03-23,74.87,SHORT,2023,X,1
2023-03-14,74.76,BUY,2023,Y,0
2023-03-09,76.48,SHORT,2023,Y,0
2023-03-03,77.91,BUY,2023,X,2
2023-02-16,79.62,SELL,2023,Y,0
2023-01-25,81.58,BUY,2023,X,1
2023-01-18,81.23,SHORT,2023,X,1
2022-12-21,78.84,BUY,2022,Y,0
2022-11-29,80.16,SELL,2022,Y,0
2022-11-15,74.7,BUY,2022,Y,0
2022-11-09,71.25,SELL,2022,X,1
2022-11-07,71.73,BUY,2022,X,1
2022-11-01,71.86,SELL,2022,Y,0
2022-10-13,64.57,BUY,2022,Y,0
2022-10-10,64.78,SHORT,2022,Y,0
2022-09-28,61.26,BUY,2022,Y,0
2022-09-21,63.51,SELL,2022,Y,0
2022-09-19,65.1,BUY,2022,X,1
2022-09-13,65.12,SELL,2022,Y,0
2022-09-07,64.05,BUY,2022,Y,0
2022-08-26,63.47,SHORT,2022,X,1
2022-08-24,64.31,BUY,2022,X,1
2022-08-19,67.03,SELL,2022,Y,0
2022-08-12,64.68,BUY,2022,Y,0
2022-08-09,63.07,SELL,2022,X,1
2022-08-03,62.85,BUY,2022,Y,0
