Date,Price,Signal,Year,Strike,StrikeCount
2024-07-24,554.74,BUY,2024,,0
2024-07-18,549.86,SELL,2024,X,1
2024-07-11,541.53,BUY,2024,Y,0
2024-06-27,554.89,SHORT,2024,Y,0
2024-06-24,565.95,BUY,2024,X,1
2024-05-23,585.03,SELL,2024,Y,0
2024-05-08,573.64,BUY,2024,Y,0
2024-04-10,573.71,SELL,2024,Y,0
2024-04-05,579.46,BUY,2024,X,3
2024-04-04,570.61,SHORT,2024,X,2
2024-03-28,581.21,BUY,2024,X,2
2024-03-26,572.13,SHORT,2024,X,1
2024-03-21,584.13,BUY,2024,X,1
2024-03-13,594.86,SELL,2024,Y,0
2024-02-15,548.57,BUY,2024,Y,0
2024-02-08,550.89,SHORT,2024,Y,0
2024-01-30,561.33,BUY,2024,X,1
2024-01-23,550.74,SELL,2024,X,3
2023-12-12,497.37,BUY,2023,Y,0
2023-12-05,491.6,SELL,2023,X,2
2023-12-01,492.65,BUY,2023,X,1
2023-11-28,486.81,SELL,2023,X,1
2023-11-16,472.47,BUY,2023,Y,0
2023-11-09,452.82,SHORT,2023,X,1
2023-10-31,437.91,BUY,2023,Y,0
2023-10-19,470.77,SHORT,2023,Y,0
2023-10-16,484.43,BUY,2023,X,3
2023-10-12,490.23,SHORT,2023,Y,0
2023-10-04,502.45,BUY,2023,X,2
2023-09-21,501.59,SHORT,2023,X,1
2023-09-14,515.64,BUY,2023,X,1
2023-08-31,557.1,SELL,2023,Y,0
2023-08-28,545.19,BUY,2023,Y,0
2023-08-09,547.58,SHORT,2023,Y,0
2023-08-02,549.39,BUY,2023,X,1
2023-07-31,555.58,SELL,2023,Y,0
2023-07-11,518.55,BUY,2023,Y,0
2023-07-07,513.73,SHORT,2023,X,1
2023-06-30,518.17,BUY,2023,X,2
2023-06-26,522.03,SELL,2023,Y,0
2023-06-22,528.31,BUY,2023,X,1
2023-06-14,522.86,SELL,2023,X,1
2023-06-07,520.78,BUY,2023,Y,0
2023-05-23,525.1,SHORT,2023,Y,0
2023-05-19,525.25,BUY,2023,X,1
2023-04-18,586.27,SELL,2023,Y,0
2023-03-30,561.82,BUY,2023,Y,0
2023-03-28,558.16,SELL,2023,X,1
2023-03-03,557.25,BUY,2023,Y,0
2023-02-09,575.07,SELL,2023,Y,0
2023-02-01,587.36,BUY,2023,X,1
2023-01-27,573.63,SELL,2023,X,4
2023-01-10,549.26,BUY,2023,Y,0
2023-01-06,548.87,SELL,2023,X,3
2022-12-21,533.19,BUY,2022,Y,0
2022-12-15,558.38,SHORT,2022,Y,0
2022-12-08,561.95,BUY,2022,X,1
2022-12-06,550.53,SELL,2022,X,2
2022-11-30,543.07,BUY,2022,Y,0
2022-11-28,541.5,SELL,2022,X,1
2022-11-11,528.56,BUY,2022,Y,0
2022-11-09,489.87,SHORT,2022,X,1
2022-10-17,512.18,BUY,2022,X,1
2022-10-07,533.23,SELL,2022,Y,0
2022-10-03,519.49,BUY,2022,Y,0
2022-09-14,558.13,SHORT,2022,Y,0
2022-09-07,550.44,BUY,2022,Y,0
2022-08-26,582.01,SHORT,2022,Y,0
2022-08-12,596.5,BUY,2022,Y,0
