Date,Price,Signal,Year,Strike,StrikeCount
2024-08-02,134.11,SELL,2024,,0
2024-07-30,134.14,BUY,2024,X,2
2024-07-24,135.22,SHORT,2024,Y,0
2024-07-22,137.01,BUY,2024,X,1
2024-07-17,133.97,SELL,2024,X,6
2024-06-18,122.87,BUY,2024,Y,0
2024-06-13,120.24,SELL,2024,X,5
2024-05-28,115.24,BUY,2024,Y,0
2024-05-22,115.21,SELL,2024,X,4
2024-05-09,113.59,BUY,2024,Y,0
2024-04-30,114.88,SHORT,2024,Y,0
2024-04-29,117.2,BUY,2024,X,1
2024-04-09,114.89,SELL,2024,X,3
2024-03-19,108.02,BUY,2024,Y,0
2024-03-14,105.64,SELL,2024,X,2
2024-02-06,86.22,BUY,2024,Y,0
2024-01-31,85.9,SELL,2024,X,1
2024-01-18,82.59,BUY,2024,Y,0
2024-01-04,86.25,SHORT,2024,Y,0
2023-12-21,86.98,BUY,2023,X,1
2023-12-04,89.31,SELL,2023,Y,0
2023-11-20,86.88,BUY,2023,Y,0
2023-11-16,84.99,SELL,2023,X,1
2023-11-13,84.91,BUY,2023,Y,0
2023-11-07,85.74,SHORT,2023,Y,0
2023-11-02,84.46,BUY,2023,Y,0
2023-10-24,85.49,SELL,2023,Y,0
2023-10-05,80.15,BUY,2023,Y,0
2023-10-02,85.07,SELL,2023,Y,0
2023-09-25,84.88,BUY,2023,Y,0
2023-09-21,84.7,SELL,2023,X,4
2023-09-18,85.66,BUY,2023,X,1
2023-09-06,85.68,SHORT,2023,Y,0
2023-08-09,83.93,BUY,2023,Y,0
2023-08-07,82.09,SELL,2023,X,3
2023-07-07,76.63,BUY,2023,Y,0
2023-07-05,76.45,SELL,2023,X,2
2023-06-28,73.31,BUY,2023,Y,0
2023-06-23,69.92,SELL,2023,X,1
2023-06-13,70.92,BUY,2023,X,1
2023-06-09,71.82,SELL,2023,Y,0
2023-06-06,70.78,BUY,2023,Y,0
2023-05-25,69.57,SHORT,2023,X,1
2023-05-18,69.65,BUY,2023,X,2
2023-05-10,70.88,SHORT,2023,Y,0
2023-05-05,71.88,BUY,2023,X,1
2023-04-21,75.76,SELL,2023,Y,0
2023-04-10,75.4,BUY,2023,Y,0
2023-04-04,74.8,SELL,2023,X,1
2023-03-31,72.14,BUY,2023,Y,0
2023-03-23,67.84,SHORT,2023,X,2
2023-03-21,70.44,BUY,2023,X,1
2023-03-07,77.66,SELL,2023,Y,0
2023-03-02,76.69,BUY,2023,Y,0
2023-02-27,75.53,SELL,2023,X,1
2023-02-22,74.04,BUY,2023,Y,0
2023-02-17,74.75,SELL,2023,Y,0
2023-02-08,74.99,BUY,2023,X,2
2023-01-27,75.35,SELL,2023,Y,0
2023-01-12,75.41,BUY,2023,X,1
2023-01-03,72.31,SELL,2023,X,1
2022-12-21,71.33,BUY,2022,Y,0
2022-12-05,72.65,SELL,2022,Y,0
2022-11-22,72.7,BUY,2022,X,4
2022-11-17,70.97,SELL,2022,X,4
2022-11-15,72.99,BUY,2022,X,3
2022-11-09,68.31,SELL,2022,X,3
2022-11-07,71.08,BUY,2022,X,2
2022-11-02,67.71,SELL,2022,X,2
2022-10-31,68.14,BUY,2022,X,1
2022-10-20,66.6,SELL,2022,X,1
2022-10-13,66.19,BUY,2022,Y,0
2022-10-07,64.05,SHORT,2022,X,1
2022-09-28,58.92,BUY,2022,Y,0
2022-09-13,71.04,SELL,2022,Y,0
2022-09-08,69.0,BUY,2022,Y,0
2022-08-30,69.75,SELL,2022,Y,0
2022-08-25,72.08,BUY,2022,X,1
2022-08-22,67.88,SELL,2022,X,1
2022-08-18,69.68,BUY,2022,Y,0
