Date,Price,Signal,Year,Strike,StrikeCount
2024-07-18,57.73,SELL,2024,,0
2024-07-11,56.05,BUY,2024,Y,0
2024-07-09,55.27,SELL,2024,X,3
2024-06-28,55.81,BUY,2024,X,1
2024-06-25,55.69,SELL,2024,X,2
2024-06-17,55.6,BUY,2024,Y,0
2024-05-23,57.23,SHORT,2024,Y,0
2024-05-15,57.68,BUY,2024,X,1
2024-05-01,59.01,SHORT,2024,Y,0
2024-04-22,58.94,BUY,2024,Y,0
2024-04-15,60.59,SHORT,2024,Y,0
2024-04-09,62.77,BUY,2024,X,2
2024-04-03,62.35,SHORT,2024,X,2
2024-03-28,63.91,BUY,2024,X,1
2024-03-25,63.9,SELL,2024,X,1
2024-02-02,52.2,BUY,2024,Y,0
2024-01-31,50.86,SHORT,2024,X,1
2024-01-19,50.01,BUY,2024,Y,0
2023-12-29,53.2,SELL,2023,Y,0
2023-12-07,46.53,BUY,2023,Y,0
2023-12-05,46.21,SELL,2023,X,1
2023-11-14,42.13,BUY,2023,Y,0
2023-11-03,42.48,SHORT,2023,Y,0
2023-10-31,46.7,BUY,2023,X,3
2023-10-20,49.19,SELL,2023,Y,0
2023-10-18,50.92,BUY,2023,X,2
2023-10-13,50.06,SELL,2023,X,1
2023-10-11,52.52,BUY,2023,X,1
2023-10-02,53.3,SELL,2023,Y,0
2023-09-28,49.76,BUY,2023,Y,0
2023-09-21,50.9,SHORT,2023,Y,0
2023-09-14,51.69,BUY,2023,X,1
2023-09-06,53.12,SHORT,2023,Y,0
2023-08-28,53.1,BUY,2023,Y,0
2023-08-25,52.15,SHORT,2023,X,3
2023-08-23,53.1,BUY,2023,X,1
2023-08-08,54.53,SELL,2023,Y,0
2023-08-03,54.03,BUY,2023,Y,0
2023-07-28,53.13,SELL,2023,X,3
2023-07-24,52.95,BUY,2023,Y,0
2023-07-20,52.37,SHORT,2023,X,2
2023-07-17,53.63,BUY,2023,X,1
2023-07-03,52.18,SELL,2023,X,2
2023-06-13,51.53,BUY,2023,Y,0
2023-06-09,50.29,SELL,2023,X,1
2023-06-01,47.39,BUY,2023,Y,0
2023-05-23,47.65,SELL,2023,Y,0
2023-05-04,47.6,BUY,2023,Y,0
2023-04-04,51.43,SELL,2023,Y,0
2023-03-24,49.37,BUY,2023,Y,0
2023-03-22,48.54,SHORT,2023,X,1
2023-03-15,48.19,BUY,2023,Y,0
2023-03-07,51.59,SHORT,2023,Y,0
2023-03-01,52.28,BUY,2023,X,2
2023-02-22,52.98,SHORT,2023,Y,0
2023-02-15,56.21,BUY,2023,X,1
2023-02-08,56.83,SELL,2023,Y,0
2023-01-10,52.5,BUY,2023,Y,0
2023-01-05,50.12,SHORT,2023,X,2
2022-12-27,48.86,BUY,2022,Y,0
2022-12-06,59.51,SELL,2022,Y,0
2022-12-01,60.15,BUY,2022,X,4
2022-11-28,57.46,SELL,2022,X,1
2022-11-23,58.32,BUY,2022,X,3
2022-11-16,59.05,SELL,2022,Y,0
2022-11-11,59.58,BUY,2022,X,2
2022-11-09,54.05,SELL,2022,X,1
2022-11-07,54.23,BUY,2022,X,1
2022-11-02,59.06,SELL,2022,Y,0
2022-10-24,56.1,BUY,2022,Y,0
2022-10-20,54.47,SHORT,2022,X,1
2022-10-17,53.9,BUY,2022,Y,0
2022-10-07,56.36,SHORT,2022,Y,0
2022-10-04,57.8,BUY,2022,X,4
2022-09-14,61.42,SHORT,2022,Y,0
2022-09-09,62.55,BUY,2022,X,3
2022-08-29,64.99,SHORT,2022,Y,0
2022-08-24,67.42,BUY,2022,X,2
2022-08-17,70.84,SELL,2022,Y,0
2022-08-12,71.04,BUY,2022,X,1
