Date,Price,Signal,Year,Strike,StrikeCount
2024-07-30,150.0,SHORT,2024,,0
2024-07-24,152.48,BUY,2024,X,4
2024-07-19,150.32,SHORT,2024,X,2
2024-07-12,153.35,BUY,2024,X,3
2024-07-05,152.14,SHORT,2024,X,1
2024-06-21,156.36,BUY,2024,X,2
2024-06-17,157.4,SHORT,2024,Y,0
2024-06-12,159.67,BUY,2024,X,1
2024-06-06,165.94,SELL,2024,Y,0
2024-05-15,146.43,BUY,2024,Y,0
2024-05-08,146.5,SELL,2024,Y,0
2024-05-03,145.12,BUY,2024,Y,0
2024-04-12,149.31,SELL,2024,Y,0
2024-03-28,148.49,BUY,2024,Y,0
2024-03-25,149.3,SELL,2024,Y,0
2024-03-11,145.67,BUY,2024,Y,0
2024-02-13,153.77,SHORT,2024,Y,0
2024-01-16,161.88,BUY,2024,X,2
2024-01-03,158.4,SELL,2024,X,1
2023-12-21,160.29,BUY,2023,X,1
2023-12-15,162.83,SELL,2023,Y,0
2023-12-13,161.87,BUY,2023,Y,0
2023-12-07,154.21,SHORT,2023,X,3
2023-11-27,156.27,BUY,2023,X,1
2023-11-17,154.39,SELL,2023,X,1
2023-11-02,136.31,BUY,2023,Y,0
2023-10-25,139.45,SELL,2023,Y,0
2023-10-23,142.17,BUY,2023,X,1
2023-10-18,142.54,SELL,2023,Y,0
2023-10-05,140.2,BUY,2023,Y,0
2023-10-03,137.56,SHORT,2023,X,2
2023-09-25,138.75,BUY,2023,X,1
2023-09-15,143.33,SELL,2023,Y,0
2023-09-07,141.95,BUY,2023,Y,0
2023-09-05,141.18,SELL,2023,X,10
2023-08-22,140.48,BUY,2023,Y,0
2023-08-17,138.86,SHORT,2023,X,1
2023-08-11,140.2,BUY,2023,X,2
2023-08-02,149.27,SHORT,2023,Y,0
2023-07-31,152.3,BUY,2023,X,1
2023-07-20,151.64,SELL,2023,X,9
2023-07-14,150.0,BUY,2023,Y,0
2023-07-06,142.88,SELL,2023,X,8
2023-06-16,138.64,BUY,2023,Y,0
2023-06-05,136.72,SELL,2023,X,7
2023-05-26,137.67,BUY,2023,X,1
2023-05-22,137.25,SELL,2023,X,6
2023-05-05,123.23,BUY,2023,Y,0
2023-05-02,123.14,SELL,2023,X,5
2023-04-28,124.29,BUY,2023,X,1
2023-04-26,125.39,SHORT,2023,Y,0
2023-04-13,121.6,BUY,2023,Y,0
2023-04-06,119.81,SELL,2023,X,4
2023-03-31,118.03,BUY,2023,Y,0
2023-03-09,115.71,SELL,2023,X,3
2023-03-03,116.33,BUY,2023,X,2
2023-02-22,111.85,SHORT,2023,X,2
2023-02-14,112.09,BUY,2023,X,1
2023-02-03,111.78,SELL,2023,X,2
2023-01-20,105.51,BUY,2023,Y,0
2023-01-06,104.75,SELL,2023,X,1
2022-12-09,101.31,BUY,2022,Y,0
2022-12-06,105.87,SELL,2022,Y,0
2022-11-30,102.31,BUY,2022,Y,0
2022-11-28,101.46,SHORT,2022,X,1
2022-11-23,101.2,BUY,2022,Y,0
2022-10-27,123.04,SELL,2022,Y,0
2022-10-13,117.1,BUY,2022,Y,0
2022-10-10,118.77,SELL,2022,Y,0
2022-09-28,110.79,BUY,2022,Y,0
2022-09-20,122.72,SHORT,2022,Y,0
2022-09-09,125.52,BUY,2022,X,2
2022-08-30,123.04,SHORT,2022,X,1
2022-08-25,125.48,BUY,2022,X,1
2022-08-18,130.69,SELL,2022,Y,0
2022-08-15,123.86,BUY,2022,Y,0
2022-08-08,125.51,SHORT,2022,Y,0
2022-08-03,128.07,BUY,2022,Y,0
