Date,Price,Signal,Year,Strike,StrikeCount
2024-07-30,574.76,SELL,2024,,0
2024-07-26,573.09,BUY,2024,Y,0
2024-07-19,524.33,SELL,2024,X,2
2024-07-12,517.45,BUY,2024,Y,0
2024-07-09,509.25,SELL,2024,X,1
2024-06-21,483.82,BUY,2024,Y,0
2024-06-10,479.04,SHORT,2024,X,8
2024-05-31,479.22,BUY,2024,X,1
2024-05-23,493.46,SELL,2024,Y,0
2024-05-06,473.89,BUY,2024,Y,0
2024-05-01,458.53,SELL,2024,X,1
2024-04-23,418.29,BUY,2024,Y,0
2024-04-15,412.37,SHORT,2024,X,7
2024-04-08,418.2,BUY,2024,X,7
2024-04-04,415.34,SHORT,2024,X,6
2024-03-28,424.73,BUY,2024,X,6
2024-03-13,421.81,SHORT,2024,X,5
2024-03-11,427.34,BUY,2024,X,5
2024-03-05,432.53,SELL,2024,Y,0
2024-02-26,441.19,BUY,2024,X,4
2024-02-21,432.71,SELL,2024,X,1
2024-02-07,435.88,BUY,2024,X,3
2024-02-05,427.39,SHORT,2024,X,4
2024-01-29,436.41,BUY,2024,X,2
2024-01-25,437.59,SELL,2024,Y,0
2024-01-23,442.34,BUY,2024,X,1
2024-01-16,425.34,SELL,2024,X,1
2024-01-08,405.94,BUY,2024,Y,0
2024-01-04,405.22,SHORT,2024,X,3
2023-12-26,416.41,BUY,2023,X,3
2023-12-06,409.53,SHORT,2023,X,2
2023-12-01,411.46,BUY,2023,X,2
2023-11-17,414.77,SELL,2023,Y,0
2023-11-10,417.28,BUY,2023,X,1
2023-11-07,411.62,SELL,2023,X,1
2023-11-02,388.91,BUY,2023,Y,0
2023-10-19,377.94,SHORT,2023,X,1
2023-10-17,385.46,BUY,2023,X,1
2023-10-12,387.86,SELL,2023,Y,0
2023-10-04,384.58,BUY,2023,Y,0
2023-10-02,384.65,SHORT,2023,Y,0
2023-09-19,391.66,BUY,2023,X,1
2023-09-12,382.86,SELL,2023,X,4
2023-08-23,378.97,BUY,2023,Y,0
2023-08-15,383.9,SHORT,2023,Y,0
2023-08-10,383.76,BUY,2023,Y,0
2023-08-02,390.92,SHORT,2023,Y,0
2023-07-25,405.48,BUY,2023,X,2
2023-07-20,413.21,SHORT,2023,Y,0
2023-07-13,420.65,BUY,2023,X,1
2023-07-03,413.39,SELL,2023,X,3
2023-06-22,394.24,BUY,2023,Y,0
2023-06-07,391.49,SHORT,2023,X,3
2023-05-30,397.25,BUY,2023,X,2
2023-05-23,392.52,SELL,2023,X,2
2023-05-18,396.51,BUY,2023,X,1
2023-05-11,388.62,SELL,2023,X,1
2023-04-27,369.01,BUY,2023,Y,0
2023-04-21,373.47,SELL,2023,Y,0
2023-04-13,361.16,BUY,2023,Y,0
2023-04-05,348.94,SELL,2023,X,2
2023-03-24,325.81,BUY,2023,Y,0
2023-03-22,325.37,SELL,2023,X,1
2023-03-15,323.41,BUY,2023,Y,0
2023-02-24,331.57,SELL,2023,Y,0
2023-02-13,325.92,BUY,2023,Y,0
2023-02-06,327.5,SELL,2023,Y,0
2023-02-01,323.98,BUY,2023,Y,0
2023-01-30,317.77,SELL,2023,X,1
2023-01-20,307.59,BUY,2023,Y,0
2023-01-18,315.36,SELL,2023,Y,0
2023-01-09,316.36,BUY,2023,X,3
2023-01-03,320.77,SELL,2023,Y,0
2022-12-29,322.03,BUY,2022,X,2
2022-12-23,320.12,SHORT,2022,X,2
2022-12-21,322.75,BUY,2022,X,1
2022-12-15,322.9,SELL,2022,Y,0
2022-12-09,319.63,BUY,2022,Y,0
2022-12-05,338.22,SELL,2022,Y,0
2022-11-30,326.76,BUY,2022,Y,0
2022-11-28,328.72,SELL,2022,Y,0
2022-11-22,324.28,BUY,2022,Y,0
2022-11-17,329.3,SELL,2022,Y,0
2022-11-08,293.04,BUY,2022,Y,0
2022-10-27,335.08,SELL,2022,Y,0
2022-10-26,343.42,BUY,2022,X,2
2022-10-20,335.11,SHORT,2022,X,1
2022-10-18,337.26,BUY,2022,X,1
2022-10-07,358.41,SELL,2022,Y,0
2022-09-29,347.7,BUY,2022,Y,0
2022-09-15,363.18,SHORT,2022,Y,0
2022-09-07,370.89,BUY,2022,X,2
2022-08-30,378.46,SHORT,2022,Y,0
2022-08-25,391.52,BUY,2022,X,1
2022-08-17,404.45,SELL,2022,Y,0
2022-08-15,415.43,BUY,2022,Y,0
