Date,Price,Signal,Year,Strike,StrikeCount
2024-07-24,47.86,SELL,2024,,0
2024-07-19,47.31,BUY,2024,Y,0
2024-06-11,52.38,SELL,2024,Y,0
2024-05-31,52.1,BUY,2024,Y,0
2024-05-23,52.3,SHORT,2024,Y,0
2024-05-13,53.51,BUY,2024,X,1
2024-04-30,52.14,SELL,2024,X,1
2024-04-17,44.67,BUY,2024,Y,0
2024-04-12,41.87,SHORT,2024,X,3
2024-04-09,43.44,BUY,2024,X,2
2024-04-02,46.3,SELL,2024,Y,0
2024-03-28,47.43,BUY,2024,X,1
2024-03-25,44.89,SELL,2024,X,1
2024-03-15,43.26,BUY,2024,Y,0
2024-03-12,42.45,SHORT,2024,X,2
2024-03-07,44.12,BUY,2024,X,1
2024-02-27,44.9,SELL,2024,Y,0
2024-02-21,43.69,BUY,2024,Y,0
2024-02-16,42.04,SELL,2024,X,1
2024-01-25,42.3,BUY,2024,X,1
2024-01-22,38.62,SHORT,2024,X,1
2024-01-18,38.37,BUY,2024,Y,0
2024-01-12,42.34,SHORT,2024,Y,0
2024-01-05,40.68,BUY,2024,Y,0
2023-12-18,42.68,SELL,2023,Y,0
2023-10-31,34.98,BUY,2023,Y,0
2023-10-19,36.03,SHORT,2023,Y,0
2023-10-17,39.73,BUY,2023,X,2
2023-10-12,40.14,SHORT,2023,Y,0
2023-10-06,41.62,BUY,2023,X,1
2023-09-01,49.72,SHORT,2023,Y,0
2023-08-29,49.56,BUY,2023,Y,0
2023-08-10,53.05,SHORT,2023,Y,0
2023-08-08,54.86,BUY,2023,X,1
2023-07-25,54.84,SHORT,2023,X,2
2023-07-18,53.61,BUY,2023,Y,0
2023-07-12,55.55,SELL,2023,Y,0
2023-07-05,55.35,BUY,2023,Y,0
2023-06-29,55.84,SELL,2023,Y,0
2023-06-26,53.32,BUY,2023,Y,0
2023-06-20,52.7,SELL,2023,X,4
2023-05-30,48.01,BUY,2023,Y,0
2023-05-22,47.41,SELL,2023,X,3
2023-05-17,46.16,BUY,2023,Y,0
2023-05-11,45.08,SELL,2023,X,2
2023-05-05,44.75,BUY,2023,Y,0
2023-04-21,44.66,SELL,2023,X,1
2023-03-29,43.18,BUY,2023,Y,0
2023-03-27,41.94,SHORT,2023,X,1
2023-03-21,44.26,BUY,2023,X,1
2023-03-09,53.49,SELL,2023,Y,0
2023-02-23,49.72,BUY,2023,Y,0
2023-02-07,50.75,SELL,2023,Y,0
2023-01-31,48.76,BUY,2023,Y,0
2023-01-27,49.09,SELL,2023,Y,0
2023-01-20,48.91,BUY,2023,Y,0
2023-01-18,50.41,SELL,2023,Y,0
2023-01-04,37.89,BUY,2023,Y,0
2022-12-28,38.09,SHORT,2022,Y,0
2022-12-21,38.78,BUY,2022,X,1
2022-12-08,43.84,SHORT,2022,Y,0
2022-11-23,43.69,BUY,2022,Y,0
2022-11-16,43.29,SELL,2022,X,2
2022-11-11,44.71,BUY,2022,X,1
2022-11-01,42.87,SELL,2022,X,1
2022-10-13,34.45,BUY,2022,Y,0
2022-10-07,34.53,SHORT,2022,Y,0
2022-10-04,34.15,BUY,2022,Y,0
2022-09-16,37.74,SELL,2022,Y,0
2022-09-06,36.47,BUY,2022,Y,0
2022-08-19,38.05,SELL,2022,Y,0
2022-08-12,39.29,BUY,2022,Y,0
