Date,Price,Signal,Year,Strike,StrikeCount
2024-07-31,575.65,BUY,2024,,0
2024-07-22,561.05,SELL,2024,X,1
2024-07-10,493.85,BUY,2024,Y,0
2024-06-17,489.23,SHORT,2024,X,2
2024-05-31,485.22,BUY,2024,Y,0
2024-05-23,516.83,SELL,2024,Y,0
2024-05-02,486.0,BUY,2024,Y,0
2024-04-23,489.26,SELL,2024,Y,0
2024-04-17,478.99,BUY,2024,Y,0
2024-04-11,448.46,SHORT,2024,X,1
2024-04-08,456.0,BUY,2024,X,3
2024-03-25,488.34,SHORT,2024,Y,0
2024-03-15,490.82,BUY,2024,X,2
2024-02-27,522.91,SELL,2024,Y,0
2024-02-22,526.5,BUY,2024,X,1
2024-02-09,518.22,SELL,2024,X,6
2024-02-07,515.82,BUY,2024,Y,0
2024-01-30,503.61,SHORT,2024,X,1
2024-01-23,514.81,BUY,2024,X,2
2024-01-16,521.87,SHORT,2024,Y,0
2024-01-11,539.68,BUY,2024,X,1
2024-01-08,536.52,SHORT,2024,X,1
2023-12-22,520.31,BUY,2023,Y,0
2023-12-18,527.23,SHORT,2023,Y,0
2023-12-13,548.66,BUY,2023,X,2
2023-12-11,544.07,SHORT,2023,X,3
2023-12-04,548.28,BUY,2023,X,1
2023-11-27,544.08,SELL,2023,X,5
2023-11-07,537.26,BUY,2023,Y,0
2023-11-03,530.9,SELL,2023,X,4
2023-10-25,529.14,BUY,2023,Y,0
2023-10-23,521.95,SELL,2023,X,3
2023-10-05,513.44,BUY,2023,Y,0
2023-09-26,506.38,SELL,2023,X,2
2023-09-20,488.82,BUY,2023,Y,0
2023-09-11,479.38,SHORT,2023,X,2
2023-09-07,482.51,BUY,2023,X,3
2023-09-01,477.3,SHORT,2023,X,1
2023-08-28,491.28,BUY,2023,X,2
2023-08-16,504.88,SHORT,2023,Y,0
2023-08-07,508.16,BUY,2023,X,1
2023-07-27,506.19,SELL,2023,X,1
2023-07-14,479.81,BUY,2023,Y,0
2023-07-07,463.33,SHORT,2023,X,3
2023-06-30,479.91,BUY,2023,X,1
2023-06-23,477.0,SHORT,2023,X,2
2023-06-21,471.06,BUY,2023,Y,0
2023-06-16,464.48,SHORT,2023,X,1
2023-05-31,486.52,BUY,2023,X,2
2023-05-09,490.87,SHORT,2023,Y,0
2023-05-05,494.28,BUY,2023,X,1
2023-05-02,493.39,SHORT,2023,X,2
2023-04-27,490.47,BUY,2023,Y,0
2023-04-14,519.31,SELL,2023,Y,0
2023-04-03,486.88,BUY,2023,Y,0
2023-03-23,473.83,SHORT,2023,X,1
2023-03-15,465.34,BUY,2023,Y,0
2023-03-08,470.6,SHORT,2023,Y,0
2023-03-03,478.56,BUY,2023,X,1
2023-02-22,489.56,SELL,2023,Y,0
2023-02-07,476.88,BUY,2023,Y,0
2023-01-27,489.14,SHORT,2023,Y,0
2023-01-20,486.72,BUY,2023,Y,0
2023-01-18,483.35,SHORT,2023,X,1
2023-01-12,495.15,BUY,2023,X,2
2023-01-03,523.24,SHORT,2023,Y,0
2022-12-21,527.0,BUY,2022,X,1
2022-12-09,539.2,SELL,2022,Y,0
2022-12-06,538.07,BUY,2022,Y,0
2022-11-29,529.77,SELL,2022,X,1
2022-11-17,513.98,BUY,2022,Y,0
2022-11-11,538.73,SHORT,2022,Y,0
2022-11-08,548.98,BUY,2022,X,1
2022-11-01,551.15,SELL,2022,Y,0
2022-10-24,539.96,BUY,2022,Y,0
2022-10-19,520.32,SELL,2022,X,1
2022-10-17,519.56,BUY,2022,Y,0
2022-10-07,512.33,SHORT,2022,X,1
2022-10-03,515.51,BUY,2022,X,4
2022-09-21,517.76,SHORT,2022,Y,0
2022-09-15,522.91,BUY,2022,X,3
2022-09-14,512.18,SHORT,2022,X,2
2022-09-08,523.52,BUY,2022,X,2
2022-09-06,517.68,SHORT,2022,X,1
2022-09-01,524.0,BUY,2022,X,1
2022-08-26,533.89,SELL,2022,Y,0
2022-08-15,543.59,BUY,2022,Y,0
