Date,Price,Signal,Year,Strike,StrikeCount
2024-07-30,129.03,BUY,2024,,0
2024-07-23,129.65,SELL,2024,Y,0
2024-07-11,136.35,BUY,2024,X,3
2024-06-25,134.98,SELL,2024,X,1
2024-06-17,135.85,BUY,2024,X,2
2024-06-12,136.43,SHORT,2024,Y,0
2024-05-31,138.01,BUY,2024,X,1
2024-05-20,147.82,SELL,2024,Y,0
2024-05-08,147.62,BUY,2024,Y,0
2024-04-10,147.72,SHORT,2024,Y,0
2024-04-03,151.29,BUY,2024,X,1
2024-03-26,154.51,SELL,2024,Y,0
2024-03-20,153.72,BUY,2024,Y,0
2024-03-14,153.89,SELL,2024,Y,0
2024-03-06,151.5,BUY,2024,Y,0
2024-02-26,147.5,SELL,2024,X,1
2024-02-16,147.48,BUY,2024,Y,0
2024-02-13,145.51,SHORT,2024,X,2
2024-02-06,143.83,BUY,2024,Y,0
2024-01-12,158.71,SELL,2024,Y,0
2024-01-05,158.72,BUY,2024,X,1
2023-12-21,157.16,SELL,2023,X,1
2023-11-15,144.48,BUY,2023,Y,0
2023-11-10,138.11,SHORT,2023,X,1
2023-10-31,139.25,BUY,2023,X,1
2023-10-18,154.55,SELL,2023,Y,0
2023-09-28,153.15,BUY,2023,Y,0
2023-09-18,159.37,SHORT,2023,Y,0
2023-09-14,160.29,BUY,2023,X,1
2023-08-31,171.3,SHORT,2023,Y,0
2023-08-29,169.91,BUY,2023,Y,0
2023-08-11,177.66,SHORT,2023,Y,0
2023-08-07,182.15,BUY,2023,X,1
2023-07-31,187.13,SELL,2023,Y,0
2023-06-27,173.97,BUY,2023,Y,0
2023-06-23,169.29,SELL,2023,X,1
2023-06-02,169.32,BUY,2023,X,3
2023-05-03,176.9,SHORT,2023,Y,0
2023-04-28,178.36,BUY,2023,X,2
2023-04-25,182.01,SHORT,2023,Y,0
2023-04-11,191.14,BUY,2023,X,1
2023-04-04,192.31,SELL,2023,Y,0
2023-03-15,182.85,BUY,2023,Y,0
2023-03-09,182.88,SHORT,2023,Y,0
2023-02-24,180.15,BUY,2023,Y,0
2023-02-21,178.46,SHORT,2023,X,2
2023-02-13,186.02,BUY,2023,X,1
2023-02-08,186.36,SELL,2023,Y,0
2023-01-20,177.33,BUY,2023,Y,0
2023-01-18,178.17,SELL,2023,Y,0
2023-01-04,177.11,BUY,2023,Y,0
2022-12-28,173.61,SHORT,2022,X,1
2022-12-12,180.23,BUY,2022,X,1
2022-12-06,178.41,SELL,2022,X,2
2022-11-11,173.29,BUY,2022,Y,0
2022-10-27,166.49,SELL,2022,X,1
2022-10-13,160.11,BUY,2022,Y,0
2022-09-30,164.41,SHORT,2022,Y,0
2022-09-27,164.08,BUY,2022,Y,0
2022-09-13,194.94,SHORT,2022,Y,0
2022-09-07,196.29,BUY,2022,X,2
2022-08-24,203.04,SELL,2022,Y,0
2022-08-05,195.16,BUY,2022,X,1
