Date,Price,Signal,Year,Strike,StrikeCount
2024-08-02,686.11,SHORT,2024,,0
2024-07-23,742.35,BUY,2024,X,1
2024-07-19,719.64,SELL,2024,X,3
2024-07-11,657.69,BUY,2024,Y,0
2024-07-09,628.3,SELL,2024,X,2
2024-07-03,652.86,BUY,2024,X,4
2024-06-26,629.83,SELL,2024,X,1
2024-06-18,644.89,BUY,2024,X,3
2024-06-14,616.21,SHORT,2024,X,4
2024-06-10,645.1,BUY,2024,X,2
2024-06-06,635.32,SHORT,2024,X,3
2024-05-31,664.87,BUY,2024,X,1
2024-05-22,687.18,SELL,2024,Y,0
2024-05-09,687.01,BUY,2024,Y,0
2024-05-01,660.8,SELL,2024,X,1
2024-04-29,701.71,BUY,2024,X,2
2024-04-15,684.48,SHORT,2024,X,2
2024-04-05,706.87,BUY,2024,X,1
2024-04-01,716.42,SELL,2024,Y,0
2024-03-27,713.19,BUY,2024,Y,0
2024-03-25,707.22,SELL,2024,X,1
2024-03-12,674.44,BUY,2024,Y,0
2024-03-05,685.26,SELL,2024,Y,0
2024-02-22,658.8,BUY,2024,Y,0
2024-02-13,636.88,SELL,2024,X,3
2024-02-02,648.85,BUY,2024,X,2
2024-01-31,635.73,SELL,2024,X,2
2024-01-29,637.24,BUY,2024,X,1
2024-01-24,576.9,SELL,2024,X,1
2024-01-12,559.18,BUY,2024,Y,0
2024-01-02,567.1,SELL,2024,Y,0
2023-12-07,479.99,BUY,2023,Y,0
2023-12-05,475.5,SELL,2023,X,2
2023-12-01,481.32,BUY,2023,X,1
2023-11-21,467.45,SELL,2023,X,1
2023-11-13,458.32,BUY,2023,Y,0
2023-11-08,436.56,SHORT,2023,X,1
2023-10-30,408.6,BUY,2023,Y,0
2023-10-19,425.53,SELL,2023,Y,0
2023-10-17,443.45,BUY,2023,X,1
2023-10-13,442.06,SELL,2023,X,1
2023-10-06,424.12,BUY,2023,Y,0
2023-10-02,441.38,SHORT,2023,Y,0
2023-09-27,446.18,BUY,2023,X,2
2023-09-21,441.58,SHORT,2023,X,1
2023-09-18,453.62,BUY,2023,X,1
2023-09-07,467.31,SHORT,2023,Y,0
2023-08-28,451.22,BUY,2023,Y,0
2023-08-09,478.73,SELL,2023,Y,0
2023-08-07,474.29,BUY,2023,Y,0
2023-07-21,455.09,SELL,2023,X,4
2023-06-28,423.82,BUY,2023,Y,0
2023-06-22,402.47,SELL,2023,X,3
2023-06-02,355.0,BUY,2023,Y,0
2023-05-31,341.42,SELL,2023,X,2
2023-05-26,346.57,BUY,2023,X,1
2023-05-22,346.21,SELL,2023,X,1
2023-05-17,338.71,BUY,2023,Y,0
2023-05-08,343.21,SHORT,2023,Y,0
2023-04-28,359.61,BUY,2023,X,1
2023-04-19,380.79,SELL,2023,Y,0
2023-04-10,357.21,BUY,2023,Y,0
2023-04-04,386.94,SHORT,2023,Y,0
2023-03-28,374.87,BUY,2023,Y,0
2023-03-23,387.09,SHORT,2023,Y,0
2023-03-21,390.68,BUY,2023,X,1
2023-03-09,472.42,SELL,2023,Y,0
2023-02-27,456.86,BUY,2023,Y,0
2023-02-21,452.48,SHORT,2023,X,2
2023-02-13,452.45,BUY,2023,Y,0
2023-02-09,450.02,SELL,2023,X,3
2023-01-23,388.38,BUY,2023,Y,0
2023-01-18,386.74,SELL,2023,X,2
2022-12-27,357.18,BUY,2022,Y,0
2022-12-19,351.25,SHORT,2022,X,1
2022-12-01,355.93,BUY,2022,X,2
2022-11-29,345.69,SELL,2022,X,1
2022-11-21,349.09,BUY,2022,X,1
2022-11-16,352.25,SELL,2022,Y,0
2022-11-08,326.53,BUY,2022,Y,0
2022-11-02,316.71,SELL,2022,X,2
2022-10-24,288.51,BUY,2022,Y,0
2022-10-20,285.0,SELL,2022,X,1
2022-10-17,285.51,BUY,2022,X,1
2022-10-07,286.67,SHORT,2022,Y,0
2022-09-27,264.45,BUY,2022,Y,0
2022-09-14,293.07,SHORT,2022,Y,0
2022-09-07,293.67,BUY,2022,X,2
2022-08-29,301.23,SHORT,2022,Y,0
2022-08-24,308.0,BUY,2022,X,1
2022-08-17,331.38,SELL,2022,Y,0
2022-08-11,332.22,BUY,2022,Y,0
