Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,156.65,SELL,2024,,0
2024-07-25,149.56,BUY,2024,Y,0
2024-07-23,147.04,SHORT,2024,X,2
2024-07-15,148.75,BUY,2024,X,5
2024-07-08,149.46,SELL,2024,Y,0
2024-06-20,152.23,BUY,2024,X,4
2024-05-29,155.86,SELL,2024,Y,0
2024-05-22,162.0,BUY,2024,X,3
2024-05-10,156.13,SHORT,2024,X,1
2024-05-06,158.2,BUY,2024,X,2
2024-04-30,165.29,SHORT,2024,Y,0
2024-04-22,165.9,BUY,2024,X,1
2024-04-15,172.68,SELL,2024,Y,0
2024-03-01,143.28,BUY,2024,Y,0
2024-02-28,141.55,SELL,2024,X,4
2024-02-22,137.83,BUY,2024,Y,0
2024-02-20,138.32,SHORT,2024,Y,0
2024-02-07,141.09,BUY,2024,X,1
2024-02-01,138.29,SELL,2024,X,3
2024-01-19,127.25,BUY,2024,Y,0
2024-01-17,126.72,SELL,2024,X,2
2024-01-12,130.63,BUY,2024,X,2
2024-01-05,129.67,SELL,2024,X,1
2024-01-03,131.39,BUY,2024,X,1
2023-12-21,131.92,SELL,2023,Y,0
2023-12-11,123.35,BUY,2023,Y,0
2023-12-06,124.03,SELL,2023,Y,0
2023-12-01,125.97,BUY,2023,X,1
2023-11-29,124.63,SELL,2023,X,1
2023-11-13,123.32,BUY,2023,Y,0
2023-11-03,126.74,SELL,2023,Y,0
2023-10-31,125.56,BUY,2023,Y,0
2023-10-20,131.63,SHORT,2023,Y,0
2023-10-18,131.29,BUY,2023,Y,0
2023-10-12,127.98,SHORT,2023,X,1
2023-10-10,128.61,BUY,2023,X,2
2023-09-29,141.71,SHORT,2023,Y,0
2023-09-25,145.98,BUY,2023,X,1
2023-09-15,144.02,SELL,2023,X,5
2023-09-06,134.03,BUY,2023,Y,0
2023-08-15,132.27,SELL,2023,X,4
2023-08-10,134.86,BUY,2023,X,2
2023-08-02,126.7,SELL,2023,X,3
2023-07-28,127.35,BUY,2023,X,1
2023-07-25,124.54,SELL,2023,X,2
2023-07-11,115.43,BUY,2023,Y,0
2023-07-06,113.83,SELL,2023,X,1
2023-06-26,111.91,BUY,2023,Y,0
2023-06-14,112.53,SELL,2023,Y,0
2023-06-07,110.09,BUY,2023,Y,0
2023-06-01,106.66,SELL,2023,X,1
2023-05-22,112.64,BUY,2023,X,1
2023-05-16,109.98,SHORT,2023,X,1
2023-05-09,106.74,BUY,2023,Y,0
2023-04-12,135.17,SELL,2023,Y,0
2023-04-10,135.1,BUY,2023,Y,0
2023-04-04,135.83,SHORT,2023,Y,0
2023-03-20,127.77,BUY,2023,Y,0
2023-03-07,138.36,SELL,2023,Y,0
2023-02-21,131.29,BUY,2023,Y,0
2023-02-15,137.22,SHORT,2023,Y,0
2023-02-10,136.05,BUY,2023,Y,0
2023-01-30,142.31,SELL,2023,Y,0
2023-01-10,130.66,BUY,2023,Y,0
2023-01-03,124.75,SELL,2023,X,1
2022-12-20,120.55,BUY,2022,Y,0
2022-12-14,119.96,SHORT,2022,X,1
2022-12-12,120.66,BUY,2022,X,1
2022-11-25,138.55,SELL,2022,Y,0
2022-11-07,130.32,BUY,2022,Y,0
2022-10-25,126.94,SELL,2022,X,1
2022-10-12,110.8,BUY,2022,Y,0
2022-10-10,113.24,SELL,2022,Y,0
2022-09-28,101.65,BUY,2022,Y,0
2022-09-23,102.83,SHORT,2022,Y,0
2022-09-19,104.67,BUY,2022,X,1
2022-08-30,120.35,SELL,2022,Y,0
2022-08-19,118.55,BUY,2022,Y,0
