Date,Price,Signal,Year,Strike,StrikeCount
2024-07-26,279.97,BUY,2024,,0
2024-07-19,278.29,SELL,2024,X,3
2024-07-03,273.28,BUY,2024,Y,0
2024-07-01,268.11,SELL,2024,X,2
2024-06-25,272.27,BUY,2024,X,1
2024-06-20,268.09,SELL,2024,X,1
2024-05-31,250.14,BUY,2024,Y,0
2024-05-23,250.71,SELL,2024,Y,0
2024-04-25,222.79,BUY,2024,Y,0
2024-04-23,222.25,SHORT,2024,X,1
2024-04-18,223.33,BUY,2024,X,5
2024-04-02,231.99,SHORT,2024,Y,0
2024-03-28,234.66,BUY,2024,X,4
2024-03-14,235.53,SHORT,2024,Y,0
2024-03-11,237.48,BUY,2024,X,3
2024-03-05,239.19,SHORT,2024,Y,0
2024-02-23,241.83,BUY,2024,X,2
2024-02-21,242.06,SELL,2024,Y,0
2024-01-30,245.33,BUY,2024,X,1
2024-01-25,243.48,SELL,2024,X,1
2024-01-09,234.05,BUY,2024,Y,0
2024-01-03,237.24,SELL,2024,Y,0
2023-12-22,236.2,BUY,2023,Y,0
2023-12-14,244.92,SELL,2023,Y,0
2023-12-11,235.67,BUY,2023,Y,0
2023-12-05,238.6,SELL,2023,Y,0
2023-11-27,241.0,BUY,2023,X,1
2023-11-17,237.12,SHORT,2023,X,1
2023-10-31,226.48,BUY,2023,Y,0
2023-10-16,243.43,SELL,2023,Y,0
2023-10-09,240.91,BUY,2023,Y,0
2023-09-21,244.38,SHORT,2023,Y,0
2023-09-07,245.16,BUY,2023,X,1
2023-09-05,240.93,SELL,2023,X,8
2023-08-21,232.38,BUY,2023,Y,0
2023-08-17,232.36,SELL,2023,X,7
2023-08-02,231.34,BUY,2023,Y,0
2023-07-31,230.74,SHORT,2023,X,1
2023-07-06,226.75,BUY,2023,Y,0
2023-06-23,224.35,SELL,2023,X,6
2023-06-14,220.28,BUY,2023,Y,0
2023-06-07,220.64,SHORT,2023,Y,0
2023-05-25,217.33,BUY,2023,Y,0
2023-05-23,216.7,SELL,2023,X,5
2023-05-05,207.01,BUY,2023,Y,0
2023-04-25,194.66,SELL,2023,X,4
2023-04-13,193.48,BUY,2023,Y,0
2023-04-04,190.59,SELL,2023,X,3
2023-03-28,187.26,BUY,2023,Y,0
2023-03-23,182.35,SELL,2023,X,2
2023-03-21,186.1,BUY,2023,X,1
2023-03-09,183.58,SELL,2023,X,1
2023-03-03,182.51,BUY,2023,Y,0
2023-02-21,175.63,SHORT,2023,X,2
2023-02-13,178.41,BUY,2023,X,2
2023-01-25,180.11,SELL,2023,Y,0
2023-01-23,182.91,BUY,2023,X,1
2023-01-17,182.35,SELL,2023,X,1
2022-12-29,176.43,BUY,2022,Y,0
2022-12-28,174.23,SHORT,2022,X,1
2022-12-21,176.12,BUY,2022,X,1
2022-12-12,181.9,SELL,2022,Y,0
2022-11-21,174.53,BUY,2022,Y,0
2022-11-14,177.59,SELL,2022,Y,0
2022-11-07,168.2,BUY,2022,Y,0
2022-11-02,172.07,SELL,2022,Y,0
2022-10-17,170.24,BUY,2022,Y,0
2022-10-07,173.54,SHORT,2022,Y,0
2022-10-03,174.24,BUY,2022,X,1
2022-09-13,188.45,SHORT,2022,Y,0
2022-09-07,189.46,BUY,2022,Y,0
