Date,Price,Signal,Year,Strike,StrikeCount
2024-07-24,39.34,BUY,2024,,0
2024-07-22,39.84,SELL,2024,Y,0
2024-07-17,41.66,BUY,2024,X,1
2024-07-15,41.26,SELL,2024,X,1
2024-06-26,41.02,BUY,2024,Y,0
2024-06-17,39.46,SHORT,2024,X,3
2024-05-30,39.84,BUY,2024,X,1
2024-05-21,39.95,SELL,2024,Y,0
2024-05-08,39.43,BUY,2024,Y,0
2024-05-01,39.2,SHORT,2024,X,2
2024-04-29,40.0,BUY,2024,X,2
2024-04-25,39.22,SHORT,2024,X,1
2024-04-18,40.04,BUY,2024,X,1
2024-04-04,42.6,SELL,2024,Y,0
2024-03-19,39.97,BUY,2024,Y,0
2024-03-06,40.22,SELL,2024,Y,0
2024-03-04,40.31,BUY,2024,X,1
2024-02-26,40.49,SHORT,2024,Y,0
2024-02-15,40.32,BUY,2024,Y,0
2024-02-02,42.13,SELL,2024,Y,0
2024-01-26,42.4,BUY,2024,X,1
2024-01-24,41.54,SELL,2024,X,1
2024-01-16,38.68,BUY,2024,Y,0
2024-01-09,39.14,SELL,2024,Y,0
2023-12-22,37.49,BUY,2023,Y,0
2023-12-04,38.3,SELL,2023,Y,0
2023-11-15,36.0,BUY,2023,Y,0
2023-11-06,35.85,SELL,2023,X,1
2023-10-26,33.75,BUY,2023,Y,0
2023-10-23,31.39,SHORT,2023,X,3
2023-10-17,31.33,BUY,2023,Y,0
2023-10-12,31.25,SHORT,2023,X,2
2023-10-10,31.56,BUY,2023,X,1
2023-09-08,33.72,SELL,2023,Y,0
2023-08-28,33.55,BUY,2023,Y,0
2023-08-17,33.17,SHORT,2023,X,1
2023-08-11,33.28,BUY,2023,X,4
2023-08-01,33.55,SHORT,2023,Y,0
2023-07-31,34.08,BUY,2023,X,3
2023-07-27,33.55,SHORT,2023,X,2
2023-07-19,33.79,BUY,2023,X,2
2023-07-07,36.12,SELL,2023,Y,0
2023-06-27,36.46,BUY,2023,X,1
2023-06-23,35.72,SELL,2023,X,1
2023-06-07,34.81,BUY,2023,Y,0
2023-06-05,34.58,SHORT,2023,X,1
2023-05-31,35.27,BUY,2023,X,1
2023-05-09,37.58,SHORT,2023,Y,0
2023-04-27,37.4,BUY,2023,Y,0
2023-04-19,38.82,SELL,2023,Y,0
2023-04-17,39.42,BUY,2023,X,1
2023-04-06,39.48,SELL,2023,Y,0
2023-03-29,38.41,BUY,2023,Y,0
2023-03-22,37.48,SELL,2023,X,2
2023-03-20,37.06,BUY,2023,Y,0
2023-02-21,39.71,SHORT,2023,Y,0
2023-01-27,40.52,BUY,2023,X,2
2023-01-18,40.75,SHORT,2023,Y,0
2023-01-13,41.86,BUY,2023,X,1
2023-01-09,41.37,SELL,2023,X,1
2022-12-09,37.31,BUY,2022,Y,0
2022-11-28,38.82,SELL,2022,Y,0
2022-11-22,38.94,BUY,2022,X,1
2022-11-15,38.2,SELL,2022,X,2
2022-11-08,37.36,BUY,2022,Y,0
2022-11-03,37.15,SELL,2022,X,1
2022-10-17,36.81,BUY,2022,Y,0
2022-10-07,37.53,SHORT,2022,Y,0
2022-10-04,39.6,BUY,2022,X,5
2022-09-20,40.88,SHORT,2022,Y,0
2022-09-16,41.25,BUY,2022,X,4
2022-09-14,41.64,SHORT,2022,Y,0
2022-09-09,41.79,BUY,2022,X,3
2022-08-31,42.36,SHORT,2022,Y,0
2022-08-25,43.74,BUY,2022,X,2
2022-08-22,44.24,SHORT,2022,Y,0
2022-08-12,45.06,BUY,2022,X,1
