Date,Price,Signal,Year,Strike,StrikeCount
2024-07-29,110.74,BUY,2024,,0
2024-07-25,108.73,SELL,2024,X,5
2024-07-15,105.31,BUY,2024,Y,0
2024-07-08,104.83,SELL,2024,X,4
2024-06-28,104.25,BUY,2024,Y,0
2024-06-07,103.81,SELL,2024,X,3
2024-05-21,101.1,BUY,2024,Y,0
2024-05-14,98.82,SELL,2024,X,2
2024-04-18,90.11,BUY,2024,Y,0
2024-04-11,90.37,SHORT,2024,Y,0
2024-04-05,91.65,BUY,2024,X,3
2024-03-22,92.62,SHORT,2024,Y,0
2024-03-11,92.7,BUY,2024,X,2
2024-03-05,91.55,SELL,2024,X,1
2024-03-01,92.72,BUY,2024,X,1
2024-02-23,93.41,SELL,2024,Y,0
2024-02-14,89.94,BUY,2024,Y,0
2024-02-05,86.51,SHORT,2024,X,1
2024-02-01,88.21,BUY,2024,X,2
2024-01-17,89.64,SHORT,2024,Y,0
2023-12-26,90.32,BUY,2023,X,1
2023-12-15,90.99,SELL,2023,Y,0
2023-12-01,89.46,BUY,2023,Y,0
2023-11-29,88.34,SELL,2023,X,1
2023-11-01,84.18,BUY,2023,Y,0
2023-10-19,84.85,SELL,2023,Y,0
2023-10-02,81.73,BUY,2023,Y,0
2023-09-22,83.33,SELL,2023,Y,0
2023-09-15,84.37,BUY,2023,X,1
2023-09-13,83.05,SELL,2023,X,1
2023-09-07,82.55,BUY,2023,Y,0
2023-09-05,81.85,SHORT,2023,X,2
2023-08-25,81.03,BUY,2023,Y,0
2023-08-10,84.95,SELL,2023,Y,0
2023-08-08,85.13,BUY,2023,X,1
2023-08-04,82.85,SELL,2023,X,3
2023-08-01,82.48,BUY,2023,Y,0
2023-07-27,81.79,SELL,2023,X,2
2023-07-20,80.86,BUY,2023,Y,0
2023-07-10,79.17,SELL,2023,X,1
2023-06-27,80.35,BUY,2023,X,1
2023-06-15,81.18,SELL,2023,Y,0
2023-06-09,80.34,BUY,2023,Y,0
2023-05-16,78.77,SHORT,2023,X,1
2023-05-10,79.12,BUY,2023,X,1
2023-05-02,77.79,SELL,2023,X,3
2023-04-27,76.62,BUY,2023,Y,0
2023-04-24,75.33,SELL,2023,X,2
2023-04-11,74.34,BUY,2023,Y,0
2023-04-04,71.18,SELL,2023,X,1
2023-03-28,67.75,BUY,2023,Y,0
2023-03-10,71.55,SHORT,2023,Y,0
2023-03-03,75.16,BUY,2023,X,2
2023-02-22,75.62,SELL,2023,Y,0
2023-02-13,75.69,BUY,2023,X,1
2023-02-06,74.52,SELL,2023,X,1
2023-01-23,73.02,BUY,2023,Y,0
2023-01-13,71.26,SHORT,2023,X,2
2022-12-23,64.79,BUY,2022,Y,0
2022-12-05,70.19,SELL,2022,Y,0
2022-11-30,69.48,BUY,2022,Y,0
2022-11-28,68.91,SELL,2022,X,1
2022-11-22,68.45,BUY,2022,Y,0
2022-11-15,70.01,SELL,2022,Y,0
2022-11-08,65.62,BUY,2022,Y,0
2022-11-01,60.46,SELL,2022,X,1
2022-10-25,58.62,BUY,2022,Y,0
2022-10-14,57.84,SHORT,2022,X,1
2022-10-11,57.99,BUY,2022,X,2
2022-10-05,63.23,SHORT,2022,Y,0
2022-10-03,65.38,BUY,2022,X,1
2022-09-13,76.06,SELL,2022,Y,0
2022-09-07,76.78,BUY,2022,Y,0
