Date,Price,Signal,Year,Strike,StrikeCount
2024-07-19,59.23,SELL,2024,,0
2024-07-11,60.1,BUY,2024,X,1
2024-07-05,60.27,SELL,2024,Y,0
2024-06-28,58.3,BUY,2024,Y,0
2024-06-21,58.1,SHORT,2024,X,2
2024-06-18,58.58,BUY,2024,X,1
2024-05-16,61.06,SELL,2024,Y,0
2024-05-08,60.37,BUY,2024,Y,0
2024-04-25,60.38,SELL,2024,Y,0
2024-04-19,59.22,BUY,2024,Y,0
2024-04-11,56.77,SHORT,2024,X,1
2024-03-28,57.87,BUY,2024,X,1
2024-03-14,57.41,SELL,2024,X,1
2024-02-12,48.7,BUY,2024,Y,0
2024-02-01,49.63,SELL,2024,Y,0
2024-01-19,47.28,BUY,2024,Y,0
2024-01-12,47.77,SHORT,2024,Y,0
2024-01-05,49.58,BUY,2024,X,2
2023-12-29,49.22,SELL,2023,X,3
2023-12-26,49.64,BUY,2023,X,1
2023-12-20,49.47,SELL,2023,X,2
2023-11-14,41.65,BUY,2023,Y,0
2023-11-07,41.04,SELL,2023,X,1
2023-10-26,39.32,BUY,2023,Y,0
2023-10-19,41.33,SHORT,2023,Y,0
2023-10-09,39.7,BUY,2023,Y,0
2023-10-02,40.5,SHORT,2023,Y,0
2023-09-12,41.56,BUY,2023,X,3
2023-08-31,41.39,SHORT,2023,X,3
2023-08-29,42.0,BUY,2023,X,2
2023-08-22,41.98,SHORT,2023,X,2
2023-08-18,42.5,BUY,2023,X,1
2023-07-21,46.58,SELL,2023,Y,0
2023-06-29,41.63,BUY,2023,Y,0
2023-06-12,41.89,SELL,2023,Y,0
2023-06-02,40.77,BUY,2023,Y,0
2023-05-31,40.14,SHORT,2023,X,1
2023-05-26,41.05,BUY,2023,X,1
2023-05-24,40.87,SELL,2023,X,1
2023-05-09,38.08,BUY,2023,Y,0
2023-05-03,38.7,SELL,2023,Y,0
2023-04-06,37.85,BUY,2023,Y,0
2023-03-02,46.29,SHORT,2023,Y,0
2023-02-23,46.25,BUY,2023,Y,0
2023-02-16,47.4,SELL,2023,Y,0
2023-01-13,42.89,BUY,2023,Y,0
2023-01-09,42.39,SELL,2023,X,2
2023-01-03,41.79,BUY,2023,Y,0
2022-12-22,40.68,SHORT,2022,X,1
2022-12-19,41.82,BUY,2022,X,3
2022-12-14,42.44,SHORT,2022,Y,0
2022-12-12,42.75,BUY,2022,X,2
2022-12-01,46.87,SHORT,2022,Y,0
2022-11-10,47.18,BUY,2022,X,1
2022-11-03,46.03,SELL,2022,X,1
2022-10-13,40.87,BUY,2022,Y,0
2022-10-06,42.7,SELL,2022,Y,0
2022-10-03,41.43,BUY,2022,Y,0
2022-09-20,43.61,SELL,2022,Y,0
2022-09-07,43.84,BUY,2022,X,2
2022-08-31,43.86,SHORT,2022,Y,0
2022-08-25,44.95,BUY,2022,X,1
2022-08-19,45.74,SELL,2022,Y,0
2022-08-10,44.19,BUY,2022,Y,0
