Date,Price,Signal,Year,Strike,StrikeCount
2024-08-02,42.78,SELL,2024,,0
2024-07-29,42.8,BUY,2024,X,1
2024-07-24,43.84,SELL,2024,Y,0
2024-07-18,42.81,BUY,2024,Y,0
2024-07-16,42.4,SHORT,2024,X,3
2024-07-12,42.98,BUY,2024,X,1
2024-06-26,42.42,SELL,2024,X,1
2024-06-18,41.8,BUY,2024,Y,0
2024-06-07,40.7,SHORT,2024,X,2
2024-05-28,40.57,BUY,2024,Y,0
2024-05-22,41.42,SELL,2024,Y,0
2024-05-06,38.86,BUY,2024,Y,0
2024-05-01,38.19,SHORT,2024,X,1
2024-04-24,39.25,BUY,2024,X,1
2024-04-04,39.18,SELL,2024,X,2
2024-03-18,37.22,BUY,2024,Y,0
2024-03-07,35.92,SELL,2024,X,1
2024-02-16,34.31,BUY,2024,Y,0
2024-02-05,34.43,SELL,2024,Y,0
2024-01-22,33.97,BUY,2024,Y,0
2024-01-05,35.69,SHORT,2024,Y,0
2023-12-19,34.88,BUY,2023,Y,0
2023-12-05,36.82,SELL,2023,Y,0
2023-11-20,35.61,BUY,2023,Y,0
2023-11-16,35.08,SHORT,2023,X,3
2023-11-14,35.18,BUY,2023,X,1
2023-11-07,35.37,SELL,2023,Y,0
2023-11-01,34.65,BUY,2023,Y,0
2023-10-19,35.57,SELL,2023,Y,0
2023-10-06,33.48,BUY,2023,Y,0
2023-10-02,33.41,SHORT,2023,X,2
2023-09-28,34.29,BUY,2023,X,3
2023-09-26,33.58,SHORT,2023,X,1
2023-09-13,34.26,BUY,2023,X,2
2023-08-24,34.52,SHORT,2023,Y,0
2023-08-21,34.83,BUY,2023,X,1
2023-08-14,35.03,SELL,2023,Y,0
2023-08-08,34.57,BUY,2023,Y,0
2023-08-02,33.78,SHORT,2023,X,1
2023-07-26,34.07,BUY,2023,X,1
2023-07-17,33.06,SELL,2023,X,6
2023-07-10,32.85,BUY,2023,Y,0
2023-07-05,32.46,SELL,2023,X,5
2023-06-20,30.64,BUY,2023,Y,0
2023-06-14,30.37,SELL,2023,X,4
2023-05-18,29.06,BUY,2023,Y,0
2023-05-10,29.45,SHORT,2023,Y,0
2023-05-05,29.92,BUY,2023,X,3
2023-05-03,28.96,SELL,2023,X,3
2023-04-28,29.92,BUY,2023,X,2
2023-04-26,29.62,SELL,2023,X,2
2023-04-11,30.17,BUY,2023,X,1
2023-04-04,29.74,SELL,2023,X,1
2023-03-28,28.85,BUY,2023,Y,0
2023-03-07,30.51,SHORT,2023,Y,0
2023-03-03,30.53,BUY,2023,X,3
2023-02-28,30.59,SHORT,2023,Y,0
2023-02-24,31.08,BUY,2023,X,2
2023-02-17,31.61,SELL,2023,Y,0
2023-02-14,31.92,BUY,2023,X,1
2023-02-06,31.7,SELL,2023,X,1
2023-01-27,31.51,BUY,2023,Y,0
2023-01-17,32.78,SELL,2023,Y,0
2023-01-12,32.79,BUY,2023,X,1
2022-12-28,33.22,SELL,2022,Y,0
2022-12-21,32.97,BUY,2022,Y,0
2022-12-19,32.28,SHORT,2022,X,2
2022-12-13,33.79,BUY,2022,X,1
2022-12-06,33.88,SELL,2022,Y,0
2022-11-22,33.67,BUY,2022,Y,0
2022-11-17,33.24,SHORT,2022,X,1
2022-11-11,34.08,BUY,2022,X,1
2022-11-09,32.91,SELL,2022,X,1
2022-10-13,29.86,BUY,2022,Y,0
2022-10-06,30.11,SHORT,2022,Y,0
2022-10-04,30.03,BUY,2022,Y,0
2022-09-16,32.5,SHORT,2022,Y,0
2022-09-12,33.22,BUY,2022,X,1
2022-08-22,34.69,SELL,2022,Y,0
2022-08-08,32.34,BUY,2022,Y,0
