Date,Price,Signal,Year,Strike,StrikeCount
2024-07-22,70.41,SELL,2024,,0
2024-07-03,68.24,BUY,2024,Y,0
2024-06-28,67.71,SELL,2024,X,1
2024-06-14,66.89,BUY,2024,Y,0
2024-06-07,66.92,SELL,2024,Y,0
2024-05-17,64.42,BUY,2024,Y,0
2024-05-14,60.13,SELL,2024,X,1
2024-05-03,59.82,BUY,2024,Y,0
2024-04-30,59.88,SELL,2024,Y,0
2024-04-22,59.73,BUY,2024,Y,0
2024-04-15,59.93,SHORT,2024,Y,0
2024-04-05,59.72,BUY,2024,Y,0
2024-03-25,60.7,SHORT,2024,Y,0
2024-03-21,61.45,BUY,2024,X,1
2024-03-14,61.02,SELL,2024,X,8
2024-02-22,58.12,BUY,2024,Y,0
2024-02-14,56.2,SELL,2024,X,7
2024-01-09,52.9,BUY,2024,Y,0
2024-01-05,52.44,SELL,2024,X,6
2023-12-13,50.66,BUY,2023,Y,0
2023-12-07,51.21,SHORT,2023,Y,0
2023-12-05,51.63,BUY,2023,X,3
2023-11-30,51.9,SHORT,2023,Y,0
2023-11-27,52.17,BUY,2023,X,2
2023-11-16,52.76,SHORT,2023,Y,0
2023-11-15,56.28,BUY,2023,X,1
2023-11-08,54.77,SELL,2023,X,5
2023-10-31,54.47,BUY,2023,Y,0
2023-10-26,53.96,SELL,2023,X,4
2023-10-24,53.95,BUY,2023,Y,0
2023-09-27,53.91,SHORT,2023,X,1
2023-09-20,54.64,BUY,2023,X,1
2023-09-18,54.57,SELL,2023,X,3
2023-09-07,54.15,BUY,2023,Y,0
2023-09-05,53.7,SELL,2023,X,2
2023-08-23,52.7,BUY,2023,Y,0
2023-08-15,53.06,SHORT,2023,Y,0
2023-08-07,53.45,BUY,2023,X,1
2023-07-27,53.05,SELL,2023,X,1
2023-07-20,51.79,BUY,2023,Y,0
2023-07-06,52.37,SELL,2023,Y,0
2023-06-30,52.06,BUY,2023,Y,0
2023-06-16,52.31,SHORT,2023,Y,0
2023-06-01,49.1,BUY,2023,Y,0
2023-05-10,50.85,SELL,2023,Y,0
2023-05-05,50.34,BUY,2023,Y,0
2023-04-26,50.3,SELL,2023,X,3
2023-04-18,49.95,BUY,2023,Y,0
2023-04-12,49.78,SELL,2023,X,2
2023-03-27,47.73,BUY,2023,Y,0
2023-03-22,46.67,SELL,2023,X,1
2023-03-13,45.79,BUY,2023,Y,0
2023-02-22,48.08,SELL,2023,Y,0
2023-02-15,48.46,BUY,2023,X,1
2023-02-03,47.65,SELL,2023,X,1
2023-01-23,46.98,BUY,2023,Y,0
2023-01-10,48.29,SELL,2023,Y,0
2023-01-03,47.65,BUY,2023,Y,0
2022-12-28,47.69,SHORT,2022,Y,0
2022-12-20,48.0,BUY,2022,X,1
2022-11-30,50.81,SELL,2022,Y,0
2022-11-15,48.67,BUY,2022,Y,0
2022-11-14,46.95,SHORT,2022,X,3
2022-11-08,47.6,BUY,2022,X,1
2022-11-02,46.92,SELL,2022,X,1
2022-10-11,44.22,BUY,2022,Y,0
2022-10-10,43.11,SHORT,2022,X,2
2022-10-04,44.75,BUY,2022,X,1
2022-09-13,45.4,SELL,2022,Y,0
2022-09-08,45.35,BUY,2022,Y,0
2022-09-06,44.21,SELL,2022,X,2
2022-09-01,44.43,BUY,2022,X,2
2022-08-30,44.32,SHORT,2022,X,1
2022-08-25,45.22,BUY,2022,X,1
2022-08-22,45.2,SELL,2022,X,1
2022-08-12,43.45,BUY,2022,Y,0
