Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,54.77,SELL,2024,,0
2024-07-26,53.03,BUY,2024,Y,0
2024-07-19,55.36,SELL,2024,Y,0
2024-07-12,53.26,BUY,2024,Y,0
2024-06-26,53.44,SELL,2024,Y,0
2024-06-17,52.07,BUY,2024,Y,0
2024-06-05,52.9,SELL,2024,Y,0
2024-05-31,52.95,BUY,2024,X,3
2024-05-28,52.07,SELL,2024,X,1
2024-05-22,52.66,BUY,2024,X,2
2024-05-16,52.07,SHORT,2024,X,5
2024-05-10,52.48,BUY,2024,X,1
2024-05-07,52.04,SHORT,2024,X,4
2024-05-02,52.03,BUY,2024,Y,0
2024-04-26,50.78,SHORT,2024,X,3
2024-04-19,54.2,BUY,2024,X,1
2024-04-02,57.81,SELL,2024,Y,0
2024-01-22,50.02,BUY,2024,Y,0
2024-01-08,48.87,SELL,2024,X,1
2023-12-22,46.52,BUY,2023,Y,0
2023-12-20,46.18,SHORT,2023,X,2
2023-12-11,47.47,BUY,2023,X,1
2023-12-05,48.16,SELL,2023,Y,0
2023-12-01,47.71,BUY,2023,Y,0
2023-11-28,46.81,SELL,2023,X,2
2023-11-13,45.09,BUY,2023,Y,0
2023-11-09,44.52,SELL,2023,X,1
2023-10-30,43.8,BUY,2023,Y,0
2023-10-19,42.71,SHORT,2023,X,1
2023-10-05,41.96,BUY,2023,Y,0
2023-09-26,42.39,SELL,2023,Y,0
2023-08-28,39.94,BUY,2023,Y,0
2023-08-17,40.75,SHORT,2023,Y,0
2023-07-27,40.56,BUY,2023,Y,0
2023-07-24,40.03,SELL,2023,X,4
2023-07-18,39.53,BUY,2023,Y,0
2023-07-13,38.49,SELL,2023,X,3
2023-06-30,38.88,BUY,2023,X,4
2023-06-28,38.04,SELL,2023,X,2
2023-06-16,38.47,BUY,2023,X,3
2023-06-08,37.41,SELL,2023,X,1
2023-06-02,37.56,BUY,2023,X,2
2023-05-24,37.57,SELL,2023,Y,0
2023-05-22,37.93,BUY,2023,X,1
2023-05-03,38.0,SHORT,2023,Y,0
2023-04-28,37.86,BUY,2023,Y,0
2023-04-24,37.79,SELL,2023,X,1
2023-04-18,41.0,BUY,2023,X,1
2023-04-12,41.02,SELL,2023,Y,0
2023-03-27,39.88,BUY,2023,Y,0
2023-03-22,39.95,SHORT,2023,Y,0
2023-03-16,40.07,BUY,2023,X,1
2023-03-07,43.55,SELL,2023,Y,0
2023-03-01,43.46,BUY,2023,Y,0
2023-02-09,44.81,SHORT,2023,Y,0
2023-02-07,44.74,BUY,2023,Y,0
2023-02-03,43.65,SHORT,2023,X,2
2023-01-24,46.07,BUY,2023,X,2
2023-01-18,46.66,SELL,2023,Y,0
2023-01-13,47.89,BUY,2023,X,1
2022-12-30,47.05,SHORT,2022,X,1
2022-12-20,46.87,BUY,2022,Y,0
2022-12-05,48.51,SELL,2022,Y,0
2022-11-16,45.12,BUY,2022,Y,0
2022-11-09,48.14,SELL,2022,Y,0
2022-10-13,44.54,BUY,2022,Y,0
2022-10-07,43.54,SELL,2022,X,1
2022-09-28,40.87,BUY,2022,Y,0
2022-09-20,43.26,SELL,2022,Y,0
2022-09-07,42.73,BUY,2022,Y,0
2022-08-30,42.65,SELL,2022,X,1
2022-08-25,43.34,BUY,2022,X,1
2022-08-19,43.97,SELL,2022,Y,0
2022-08-08,40.23,BUY,2022,Y,0
