Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,284.36,BUY,2024,,0
2024-07-29,280.92,SELL,2024,X,2
2024-07-23,266.4,BUY,2024,Y,0
2024-07-19,265.46,SELL,2024,X,1
2024-07-11,259.42,BUY,2024,Y,0
2024-06-28,262.23,SELL,2024,Y,0
2024-06-21,261.16,BUY,2024,Y,0
2024-06-18,255.48,SELL,2024,X,1
2024-05-31,252.65,BUY,2024,Y,0
2024-05-20,253.1,SELL,2024,Y,0
2024-05-07,254.86,BUY,2024,X,3
2024-04-30,251.14,SHORT,2024,X,1
2024-04-18,262.99,BUY,2024,X,2
2024-04-04,269.31,SHORT,2024,Y,0
2024-03-26,274.14,BUY,2024,X,1
2024-03-22,273.21,SHORT,2024,X,3
2024-03-04,272.09,BUY,2024,Y,0
2024-02-26,276.21,SELL,2024,Y,0
2024-02-15,277.03,BUY,2024,X,1
2024-02-13,271.33,SELL,2024,X,3
2024-02-02,248.99,BUY,2024,Y,0
2024-01-29,247.15,SELL,2024,X,2
2024-01-11,247.07,BUY,2024,Y,0
2024-01-04,239.49,SHORT,2024,X,2
2023-12-22,239.47,BUY,2023,Y,0
2023-12-15,236.73,SELL,2023,X,1
2023-12-11,244.39,BUY,2023,X,1
2023-12-05,242.97,SHORT,2023,X,1
2023-11-30,241.99,BUY,2023,Y,0
2023-11-28,242.63,SELL,2023,Y,0
2023-11-21,242.97,BUY,2023,X,1
2023-11-15,241.44,SELL,2023,X,2
2023-10-26,220.66,BUY,2023,Y,0
2023-10-19,209.11,SELL,2023,X,1
2023-10-06,209.18,BUY,2023,X,1
2023-09-27,212.24,SELL,2023,Y,0
2023-09-12,203.35,BUY,2023,Y,0
2023-08-31,207.36,SELL,2023,Y,0
2023-08-18,197.11,BUY,2023,Y,0
2023-08-07,212.09,SHORT,2023,Y,0
2023-08-01,212.0,BUY,2023,Y,0
2023-07-14,230.88,SHORT,2023,Y,0
2023-07-10,232.95,BUY,2023,X,1
2023-06-23,233.31,SELL,2023,Y,0
2023-06-02,222.04,BUY,2023,Y,0
2023-05-16,227.39,SHORT,2023,Y,0
2023-05-08,228.96,BUY,2023,X,1
2023-04-26,237.77,SELL,2023,Y,0
2023-03-24,226.22,BUY,2023,Y,0
2023-03-07,237.79,SHORT,2023,Y,0
2023-03-03,238.47,BUY,2023,X,2
2023-02-14,246.77,SHORT,2023,Y,0
2023-02-07,254.52,BUY,2023,X,1
2023-01-17,253.94,SELL,2023,X,1
2022-12-30,244.58,BUY,2022,Y,0
2022-12-28,241.74,SHORT,2022,X,2
2022-12-21,241.42,BUY,2022,Y,0
2022-12-07,245.05,SELL,2022,Y,0
2022-12-02,244.91,BUY,2022,Y,0
2022-11-29,238.82,SELL,2022,X,3
2022-11-10,231.16,BUY,2022,Y,0
2022-11-03,217.96,SELL,2022,X,2
2022-10-24,212.15,BUY,2022,Y,0
2022-10-19,208.56,SELL,2022,X,1
2022-10-13,207.06,BUY,2022,Y,0
2022-10-06,210.62,SELL,2022,Y,0
2022-10-04,209.72,BUY,2022,Y,0
2022-09-30,201.65,SHORT,2022,X,1
2022-09-28,205.18,BUY,2022,X,1
2022-09-16,206.0,SHORT,2022,Y,0
2022-09-07,207.19,BUY,2022,Y,0
