Date,Price,Signal,Year,Strike,StrikeCount
2024-07-26,31.05,BUY,2024,,0
2024-07-24,30.13,SELL,2024,X,3
2024-07-08,27.59,BUY,2024,Y,0
2024-07-02,27.48,SHORT,2024,X,2
2024-06-28,28.39,BUY,2024,X,4
2024-06-26,27.96,SHORT,2024,X,1
2024-06-24,29.04,BUY,2024,X,3
2024-06-11,29.14,SHORT,2024,Y,0
2024-06-06,29.76,BUY,2024,X,2
2024-05-23,30.45,SHORT,2024,Y,0
2024-05-13,31.21,BUY,2024,X,1
2024-05-08,30.73,SHORT,2024,X,1
2024-05-02,30.66,BUY,2024,Y,0
2024-04-11,33.65,SHORT,2024,Y,0
2024-04-09,34.78,BUY,2024,X,1
2024-04-03,35.12,SHORT,2024,Y,0
2024-03-20,34.67,BUY,2024,Y,0
2024-03-07,34.37,SELL,2024,X,2
2024-02-28,33.13,BUY,2024,Y,0
2024-02-26,33.05,SELL,2024,X,1
2024-02-08,32.81,BUY,2024,Y,0
2024-01-31,32.63,SHORT,2024,X,2
2024-01-22,32.96,BUY,2024,X,1
2024-01-03,33.92,SELL,2024,Y,0
2023-12-13,31.08,BUY,2023,Y,0
2023-11-29,31.57,SELL,2023,Y,0
2023-11-14,30.61,BUY,2023,Y,0
2023-11-07,30.44,SELL,2023,X,1
2023-11-01,28.63,BUY,2023,Y,0
2023-10-30,28.49,SHORT,2023,X,1
2023-10-26,28.89,BUY,2023,X,7
2023-10-13,29.81,SHORT,2023,Y,0
2023-10-05,29.89,BUY,2023,X,6
2023-09-28,30.38,SHORT,2023,Y,0
2023-09-25,31.22,BUY,2023,X,5
2023-09-21,31.23,SHORT,2023,Y,0
2023-09-07,32.31,BUY,2023,X,4
2023-08-31,32.65,SELL,2023,Y,0
2023-08-29,32.87,BUY,2023,X,3
2023-08-25,32.64,SHORT,2023,X,4
2023-08-23,33.08,BUY,2023,X,2
2023-08-16,32.44,SHORT,2023,X,3
2023-08-14,32.99,BUY,2023,X,1
2023-07-19,34.12,SELL,2023,Y,0
2023-06-27,31.08,BUY,2023,Y,0
2023-06-22,30.72,SELL,2023,X,1
2023-06-07,29.04,BUY,2023,Y,0
2023-06-05,28.3,SHORT,2023,X,2
2023-05-31,28.54,BUY,2023,X,3
2023-05-25,28.32,SHORT,2023,X,1
2023-05-05,29.31,BUY,2023,X,2
2023-05-02,29.32,SHORT,2023,Y,0
2023-04-28,29.78,BUY,2023,X,1
2023-04-20,31.02,SELL,2023,Y,0
2023-04-11,30.4,BUY,2023,Y,0
2023-03-22,29.4,SHORT,2023,X,1
2023-03-20,29.71,BUY,2023,X,2
2023-03-06,31.24,SHORT,2023,Y,0
2023-03-01,31.25,BUY,2023,X,1
2023-02-09,32.86,SELL,2023,Y,0
2023-01-20,31.05,BUY,2023,Y,0
2023-01-10,30.02,SELL,2023,X,3
2023-01-06,30.4,BUY,2023,X,3
2022-12-28,30.19,SHORT,2022,X,1
2022-12-12,30.85,BUY,2022,X,2
2022-12-06,30.43,SELL,2022,X,2
2022-11-11,32.08,BUY,2022,X,1
2022-11-09,29.8,SELL,2022,X,1
2022-11-07,29.69,BUY,2022,Y,0
2022-11-01,29.85,SELL,2022,Y,0
2022-10-21,28.96,BUY,2022,Y,0
2022-10-14,28.12,SELL,2022,X,1
2022-10-11,28.11,BUY,2022,Y,0
2022-10-06,28.67,SHORT,2022,Y,0
2022-09-30,27.45,BUY,2022,Y,0
2022-09-14,31.05,SHORT,2022,Y,0
2022-09-08,32.9,BUY,2022,X,3
2022-08-29,33.94,SHORT,2022,Y,0
2022-08-24,34.62,BUY,2022,X,2
2022-08-17,35.47,SELL,2022,Y,0
2022-08-11,35.32,BUY,2022,X,1
