Date,Price,Signal,Year,Strike,StrikeCount
2024-07-25,126.59,BUY,2024,,0
2024-07-19,127.51,SHORT,2024,Y,0
2024-07-11,129.52,BUY,2024,X,2
2024-07-01,131.69,SHORT,2024,Y,0
2024-06-27,132.54,BUY,2024,X,1
2024-06-18,136.39,SHORT,2024,Y,0
2024-05-31,135.56,BUY,2024,Y,0
2024-05-20,140.41,SELL,2024,Y,0
2024-05-08,136.58,BUY,2024,Y,0
2024-05-02,135.07,SHORT,2024,X,1
2024-04-22,138.86,BUY,2024,X,1
2024-04-12,137.8,SELL,2024,X,1
2024-04-10,137.42,BUY,2024,Y,0
2024-04-03,140.17,SELL,2024,Y,0
2024-03-27,136.17,BUY,2024,Y,0
2024-03-14,137.64,SHORT,2024,Y,0
2024-03-06,139.55,BUY,2024,X,1
2024-02-27,137.54,SELL,2024,X,1
2024-02-07,128.51,BUY,2024,Y,0
2024-02-02,129.1,SELL,2024,Y,0
2024-01-30,130.62,BUY,2024,X,1
2024-01-24,130.67,SELL,2024,Y,0
2024-01-18,130.19,BUY,2024,Y,0
2024-01-05,128.34,SELL,2024,X,4
2023-12-11,125.56,BUY,2023,Y,0
2023-12-05,125.28,SELL,2023,X,3
2023-12-01,126.52,BUY,2023,X,1
2023-11-28,126.39,SELL,2023,X,2
2023-11-10,125.95,BUY,2023,Y,0
2023-11-07,125.93,SELL,2023,X,1
2023-10-31,120.86,BUY,2023,Y,0
2023-10-20,119.95,SHORT,2023,X,1
2023-10-18,120.72,BUY,2023,X,2
2023-10-06,121.02,SHORT,2023,Y,0
2023-09-29,124.94,BUY,2023,X,1
2023-09-18,127.61,SELL,2023,Y,0
2023-09-12,127.36,BUY,2023,Y,0
2023-08-16,131.56,SHORT,2023,Y,0
2023-08-14,134.77,BUY,2023,X,4
2023-08-04,135.95,SELL,2023,Y,0
2023-07-31,137.35,BUY,2023,X,3
2023-07-27,136.58,SELL,2023,X,2
2023-07-21,136.82,BUY,2023,X,2
2023-07-18,133.84,SELL,2023,X,1
2023-06-28,135.05,BUY,2023,X,1
2023-06-20,135.82,SELL,2023,Y,0
2023-06-01,129.07,BUY,2023,Y,0
2023-05-17,137.37,SELL,2023,Y,0
2023-05-10,137.74,BUY,2023,X,1
2023-05-03,137.38,SELL,2023,X,2
2023-04-13,133.04,BUY,2023,Y,0
2023-04-10,131.1,SELL,2023,X,1
2023-03-16,127.54,BUY,2023,Y,0
2023-03-10,125.77,SHORT,2023,X,4
2023-03-02,127.54,BUY,2023,X,1
2023-02-21,130.61,SELL,2023,Y,0
2023-02-07,129.34,BUY,2023,Y,0
2023-02-02,128.63,SELL,2023,X,1
2023-01-24,127.56,BUY,2023,Y,0
2023-01-18,128.72,SELL,2023,Y,0
2023-01-06,129.06,BUY,2023,X,3
2023-01-03,127.42,SELL,2023,X,3
2022-12-21,128.78,BUY,2022,X,2
2022-12-19,128.73,SHORT,2022,X,3
2022-12-01,129.19,BUY,2022,X,1
2022-11-29,126.04,SELL,2022,X,2
2022-11-04,121.5,BUY,2022,Y,0
2022-11-02,117.8,SELL,2022,X,1
2022-10-21,110.3,BUY,2022,Y,0
2022-10-07,109.16,SHORT,2022,X,2
2022-10-03,109.11,BUY,2022,Y,0
2022-09-21,114.26,SELL,2022,Y,0
2022-09-08,115.29,BUY,2022,X,1
2022-09-06,112.56,SHORT,2022,X,1
2022-09-01,111.96,BUY,2022,Y,0
2022-08-19,117.43,SHORT,2022,Y,0
2022-08-10,119.13,BUY,2022,Y,0
