Date,Price,Signal,Year,Strike,StrikeCount
2024-07-22,110.33,SELL,2024,,0
2024-07-11,107.47,BUY,2024,Y,0
2024-07-09,106.03,SHORT,2024,X,3
2024-06-21,107.57,BUY,2024,X,6
2024-05-20,119.65,SELL,2024,Y,0
2024-05-15,120.98,BUY,2024,X,5
2024-05-13,120.73,SHORT,2024,X,2
2024-05-09,121.44,BUY,2024,X,4
2024-05-02,119.88,SHORT,2024,X,1
2024-04-29,120.02,BUY,2024,X,3
2024-04-25,120.3,SHORT,2024,Y,0
2024-04-22,120.78,BUY,2024,X,2
2024-04-05,127.33,SHORT,2024,Y,0
2024-03-27,128.95,BUY,2024,X,1
2024-03-13,126.59,SELL,2024,X,1
2024-02-16,124.71,BUY,2024,Y,0
2024-02-05,125.65,SELL,2024,Y,0
2024-01-29,122.37,BUY,2024,Y,0
2024-01-22,122.59,SELL,2024,Y,0
2024-01-10,122.33,BUY,2024,Y,0
2024-01-03,120.47,SELL,2024,X,1
2023-11-14,107.8,BUY,2023,Y,0
2023-11-07,105.93,SHORT,2023,X,1
2023-10-31,104.41,BUY,2023,Y,0
2023-10-19,105.12,SHORT,2023,Y,0
2023-10-17,104.72,BUY,2023,Y,0
2023-10-12,104.99,SHORT,2023,Y,0
2023-10-10,111.28,BUY,2023,X,8
2023-09-20,121.2,SELL,2023,Y,0
2023-09-18,122.03,BUY,2023,X,7
2023-09-13,120.87,SELL,2023,X,1
2023-09-11,121.63,BUY,2023,X,6
2023-09-05,118.72,SHORT,2023,X,2
2023-08-30,119.7,BUY,2023,X,5
2023-08-23,116.16,SHORT,2023,X,1
2023-08-21,119.84,BUY,2023,X,4
2023-07-28,139.39,SHORT,2023,Y,0
2023-07-26,141.14,BUY,2023,X,3
2023-07-17,141.63,SHORT,2023,Y,0
2023-07-10,142.16,BUY,2023,X,2
2023-07-03,144.31,SELL,2023,Y,0
2023-06-29,145.15,BUY,2023,X,1
2023-06-26,143.39,SELL,2023,X,1
2023-06-02,128.25,BUY,2023,Y,0
2023-05-24,129.38,SHORT,2023,Y,0
2023-05-22,135.27,BUY,2023,X,1
2023-05-04,137.45,SELL,2023,Y,0
2023-04-13,132.28,BUY,2023,Y,0
2023-04-04,127.92,SELL,2023,X,2
2023-03-28,126.14,BUY,2023,Y,0
2023-03-23,124.96,SELL,2023,X,1
2023-03-10,123.53,BUY,2023,Y,0
2023-03-07,124.2,SHORT,2023,Y,0
2023-03-03,124.34,BUY,2023,X,1
2023-02-09,128.79,SELL,2023,Y,0
2023-01-23,125.41,BUY,2023,Y,0
2023-01-05,126.82,SHORT,2023,Y,0
2022-12-08,125.18,BUY,2022,Y,0
2022-12-06,121.39,SELL,2022,X,2
2022-11-25,118.85,BUY,2022,Y,0
2022-11-17,112.37,SELL,2022,X,1
2022-11-10,109.74,BUY,2022,Y,0
2022-10-19,108.34,SHORT,2022,X,2
2022-10-13,108.68,BUY,2022,X,2
2022-10-07,109.51,SELL,2022,Y,0
2022-10-04,109.53,BUY,2022,X,1
2022-09-30,106.3,SHORT,2022,X,1
2022-09-28,106.14,BUY,2022,Y,0
2022-09-15,116.01,SELL,2022,Y,0
2022-09-07,107.97,BUY,2022,Y,0
2022-08-17,114.84,SELL,2022,Y,0
2022-08-12,115.9,BUY,2022,X,1
