Date,Price,Signal,Year,Strike,StrikeCount
2024-08-01,182.42,BUY,2024,,0
2024-07-18,179.88,SELL,2024,X,2
2024-07-12,179.04,BUY,2024,Y,0
2024-07-10,173.64,SHORT,2024,X,3
2024-07-03,175.6,BUY,2024,X,3
2024-07-01,172.58,SELL,2024,X,1
2024-06-27,175.08,BUY,2024,X,2
2024-06-25,170.8,SHORT,2024,X,2
2024-06-21,171.09,BUY,2024,X,1
2024-06-12,177.08,SELL,2024,Y,0
2024-05-10,169.04,BUY,2024,Y,0
2024-05-06,166.49,SELL,2024,X,1
2024-04-24,150.08,BUY,2024,Y,0
2024-04-22,148.15,SHORT,2024,X,1
2024-04-18,153.11,BUY,2024,X,3
2024-04-02,165.01,SHORT,2024,Y,0
2024-03-28,169.21,BUY,2024,X,2
2024-03-13,180.73,SHORT,2024,Y,0
2024-03-11,183.49,BUY,2024,X,1
2024-03-01,195.32,SELL,2024,Y,0
2024-02-22,190.3,BUY,2024,Y,0
2024-02-14,184.56,SELL,2024,X,1
2024-02-05,190.17,BUY,2024,X,4
2024-01-31,190.77,SHORT,2024,Y,0
2024-01-26,191.52,BUY,2024,X,3
2024-01-16,196.03,SELL,2024,Y,0
2024-01-10,197.25,BUY,2024,X,2
2024-01-03,193.3,SHORT,2024,X,1
2023-12-19,198.08,BUY,2023,X,1
2023-12-15,198.36,SELL,2023,Y,0
2023-11-14,171.99,BUY,2023,Y,0
2023-11-10,169.93,SELL,2023,X,1
2023-11-02,157.5,BUY,2023,Y,0
2023-10-19,169.28,SHORT,2023,Y,0
2023-10-16,175.18,BUY,2023,X,1
2023-10-12,175.69,SELL,2023,Y,0
2023-10-05,171.77,BUY,2023,Y,0
2023-09-14,182.74,SHORT,2023,Y,0
2023-09-12,187.13,BUY,2023,X,1
2023-09-06,188.83,SELL,2023,Y,0
2023-08-23,183.43,BUY,2023,Y,0
2023-08-16,187.34,SHORT,2023,Y,0
2023-08-08,183.74,BUY,2023,Y,0
2023-07-31,188.09,SELL,2023,Y,0
2023-07-14,172.19,BUY,2023,Y,0
2023-06-26,167.54,SELL,2023,X,2
2023-06-01,163.56,BUY,2023,Y,0
2023-05-23,176.29,SHORT,2023,Y,0
2023-05-01,176.32,BUY,2023,X,1
2023-04-25,173.02,SELL,2023,X,1
2023-03-31,165.66,BUY,2023,Y,0
2023-03-23,161.24,SHORT,2023,X,1
2023-03-15,163.57,BUY,2023,X,1
2023-03-07,169.02,SHORT,2023,Y,0
2023-03-01,167.57,BUY,2023,Y,0
2023-02-17,172.03,SELL,2023,Y,0
2023-02-15,172.48,BUY,2023,X,1
2023-02-06,165.79,SELL,2023,X,2
2023-01-10,148.14,BUY,2023,Y,0
2023-01-05,146.05,SELL,2023,X,1
2022-12-21,143.7,BUY,2022,Y,0
2022-12-06,153.7,SELL,2022,Y,0
2022-12-01,156.64,BUY,2022,X,1
2022-11-28,148.96,SELL,2022,X,1
2022-11-11,143.8,BUY,2022,Y,0
2022-11-09,135.48,SHORT,2022,X,1
2022-11-07,134.63,BUY,2022,Y,0
2022-11-02,150.27,SHORT,2022,Y,0
2022-10-17,149.13,BUY,2022,Y,0
2022-10-07,150.57,SHORT,2022,Y,0
2022-10-04,153.75,BUY,2022,X,1
2022-09-14,160.45,SHORT,2022,Y,0
2022-09-07,159.93,BUY,2022,Y,0
2022-08-29,157.87,SHORT,2022,X,1
2022-08-25,164.09,BUY,2022,X,1
2022-08-18,171.27,SHORT,2022,Y,0
2022-08-12,175.67,BUY,2022,Y,0
