Ticker,Total_BUY,Total_SELL,Total_SHORT,Successful_BUY,Successful_SELL,Successful_SHORT,Active_Strikes
A,39,23,16,20,7,11,"         Date   Price Signal  Year Strike  StrikeCount
2  2024-07-23  131.25  SHORT  2024      X            1
3  2024-07-22  133.42    BUY  2024      X            1
4  2024-07-15  131.25   SELL  2024      X            1
9  2024-06-05  131.84    BUY  2024      X            1
13 2024-04-08  144.46    BUY  2024      X            2
15 2024-03-21  148.08    BUY  2024      X            1
16 2024-03-08  147.87   SELL  2024      X            3
18 2024-02-22  132.02   SELL  2024      X            2
19 2024-02-15  133.44    BUY  2024      X            1
20 2024-02-12  132.80   SELL  2024      X            1
22 2024-01-24  131.20  SHORT  2024      X            1
26 2023-11-17  113.60   SELL  2023      X            2
28 2023-11-09  108.17   SELL  2023      X            1
29 2023-11-07  110.33    BUY  2023      X            1
33 2023-09-13  113.43    BUY  2023      X            1
40 2023-07-17  118.95  SHORT  2023      X            1
42 2023-07-07  117.27   SELL  2023      X            2
43 2023-06-30  119.13    BUY  2023      X            3
44 2023-06-20  118.16   SELL  2023      X            1
45 2023-06-02  118.22    BUY  2023      X            2
47 2023-05-15  127.99    BUY  2023      X            1
50 2023-03-23  133.28  SHORT  2023      X            1
51 2023-03-21  137.01    BUY  2023      X            4
53 2023-02-23  143.20    BUY  2023      X            3
55 2023-02-13  154.60    BUY  2023      X            2
56 2023-02-06  152.24   SELL  2023      X            7
57 2023-01-23  156.52    BUY  2023      X            1
58 2023-01-17  155.97   SELL  2023      X            6
60 2023-01-06  149.15   SELL  2023      X            5
61 2022-12-21  149.43    BUY  2022      X            4
63 2022-12-08  154.93    BUY  2022      X            3
64 2022-12-06  151.65   SELL  2022      X            4
65 2022-12-02  155.49    BUY  2022      X            2
66 2022-11-29  151.38   SELL  2022      X            3
67 2022-11-25  155.60    BUY  2022      X            1
68 2022-11-17  144.84   SELL  2022      X            2
70 2022-11-02  137.12   SELL  2022      X            1
76 2022-08-29  128.11  SHORT  2022      X            1
77 2022-08-12  133.01    BUY  2022      X            1"
ADBE,37,18,19,20,11,10,"         Date   Price Signal  Year Strike  StrikeCount
1  2024-07-26  539.75    BUY  2024      X            2
3  2024-07-15  565.71    BUY  2024      X            1
8  2024-04-30  469.95  SHORT  2024      X            1
9  2024-04-23  472.80    BUY  2024      X            3
11 2024-04-09  488.09    BUY  2024      X            2
13 2024-03-19  516.08    BUY  2024      X            1
16 2024-03-06  545.66  SHORT  2024      X            2
17 2024-03-01  563.52    BUY  2024      X            3
18 2024-02-28  551.82  SHORT  2024      X            1
19 2024-02-26  558.94    BUY  2024      X            2
21 2024-02-09  619.01    BUY  2024      X            1
22 2024-01-31  617.78   SELL  2024      X            1
26 2023-12-14  590.31  SHORT  2023      X            1
27 2023-12-08  610.01    BUY  2023      X            1
31 2023-10-17  556.74    BUY  2023      X            1
32 2023-10-13  554.27   SELL  2023      X            1
35 2023-09-19  534.69    BUY  2023      X            1
38 2023-08-09  513.78  SHORT  2023      X            1
39 2023-07-31  544.12    BUY  2023      X            1
40 2023-07-27  513.97   SELL  2023      X            3
42 2023-06-07  432.34   SELL  2023      X            2
44 2023-05-24  365.76   SELL  2023      X            1
50 2023-03-09  343.25  SHORT  2023      X            1
53 2023-02-13  375.00    BUY  2023      X            1
56 2023-01-18  342.09   SELL  2023      X            2
58 2022-12-28  333.63   SELL  2022      X            1
59 2022-12-12  336.16    BUY  2022      X            1
60 2022-12-06  332.67  SHORT  2022      X            2
63 2022-11-23  332.28    BUY  2022      X            1
68 2022-10-07  290.10  SHORT  2022      X            1
71 2022-09-07  373.78    BUY  2022      X            2
73 2022-08-12  442.13    BUY  2022      X            1"
APD,38,22,15,22,14,9,"         Date   Price Signal  Year Strike  StrikeCount
1  2024-07-22  251.39  SHORT  2024      X            1
2  2024-07-03  252.69    BUY  2024      X            1
7  2024-05-08  246.27   SELL  2024      X            1
10 2024-04-01  243.42    BUY  2024      X            1
13 2024-02-14  217.01  SHORT  2024      X            2
14 2024-02-12  221.03    BUY  2024      X            2
16 2023-12-22  272.84    BUY  2023      X            1
17 2023-12-20  269.26   SELL  2023      X            2
19 2023-12-06  261.61   SELL  2023      X            1
20 2023-12-01  271.40    BUY  2023      X            2
22 2023-11-21  274.31    BUY  2023      X            1
23 2023-11-17  270.19  SHORT  2023      X            1
28 2023-10-17  288.15    BUY  2023      X            1
33 2023-08-17  284.50  SHORT  2023      X            3
34 2023-08-07  286.75    BUY  2023      X            1
38 2023-06-30  296.75    BUY  2023      X            1
39 2023-06-20  289.30   SELL  2023      X            1
41 2023-05-23  272.30  SHORT  2023      X            2
42 2023-05-15  279.29    BUY  2023      X            1
45 2023-04-25  289.94   SELL  2023      X            1
47 2023-04-06  282.00  SHORT  2023      X            1
52 2023-02-08  285.90    BUY  2023      X            2
54 2023-01-23  305.29    BUY  2023      X            1
58 2022-12-08  317.75    BUY  2022      X            1
59 2022-12-06  312.85   SELL  2022      X            3
61 2022-11-29  302.70   SELL  2022      X            2
63 2022-11-02  249.68   SELL  2022      X            1
68 2022-09-19  248.44    BUY  2022      X            1
72 2022-08-24  262.72    BUY  2022      X            1"
AKAM,34,17,16,15,9,8,"         Date   Price Signal  Year Strike  StrikeCount
3  2024-06-24   88.74  SHORT  2024      X            1
4  2024-06-17   89.11    BUY  2024      X            7
6  2024-05-16   96.34    BUY  2024      X            6
7  2024-05-14   93.95  SHORT  2024      X            2
8  2024-05-08  101.75    BUY  2024      X            5
9  2024-05-02  100.51  SHORT  2024      X            1
10 2024-04-19  101.23    BUY  2024      X            4
12 2024-04-09  107.57    BUY  2024      X            3
14 2024-03-20  108.27    BUY  2024      X            2
16 2024-03-07  112.25    BUY  2024      X            1
17 2024-03-05  109.51  SHORT  2024      X            4
21 2024-01-25  123.66   SELL  2024      X            1
25 2023-10-23  103.48  SHORT  2023      X            3
26 2023-10-10  106.16    BUY  2023      X            2
27 2023-10-05  105.66  SHORT  2023      X            2
28 2023-09-28  107.04    BUY  2023      X            1
31 2023-09-12  104.01   SELL  2023      X            3
32 2023-09-08  104.56    BUY  2023      X            2
33 2023-09-06  103.80   SELL  2023      X            2
34 2023-08-31  105.09    BUY  2023      X            1
35 2023-08-16  102.11   SELL  2023      X            1
40 2023-06-05   93.24    BUY  2023      X            1
41 2023-06-01   91.45   SELL  2023      X            1
43 2023-05-03   79.00  SHORT  2023      X            1
44 2023-04-27   81.65    BUY  2023      X            1
47 2023-04-04   77.57   SELL  2023      X            3
52 2023-01-23   88.47    BUY  2023      X            1
53 2023-01-18   88.44   SELL  2023      X            2
56 2022-11-11   93.35    BUY  2022      X            1
57 2022-11-01   88.10   SELL  2022      X            1
61 2022-09-30   80.32  SHORT  2022      X            1
62 2022-09-28   81.48    BUY  2022      X            3
64 2022-09-07   89.97    BUY  2022      X            2
66 2022-08-15   96.32    BUY  2022      X            1"
ALGN,40,22,18,19,9,9,"         Date   Price Signal  Year Strike  StrikeCount
2  2024-07-26  225.06  SHORT  2024      X            2
3  2024-07-17  249.00    BUY  2024      X            5
4  2024-07-12  244.34   SELL  2024      X            3
5  2024-07-09  247.48    BUY  2024      X            4
6  2024-07-01  240.01  SHORT  2024      X            1
7  2024-06-26  243.61    BUY  2024      X            3
9  2024-06-06  257.46    BUY  2024      X            2
11 2024-05-14  277.81    BUY  2024      X            1
15 2024-03-27  326.98    BUY  2024      X            1
16 2024-03-18  316.14   SELL  2024      X            2
18 2024-02-28  302.81   SELL  2024      X            1
21 2024-01-22  270.57    BUY  2024      X            1
24 2024-01-03  260.49   SELL  2024      X            3
26 2023-12-05  215.58   SELL  2023      X            2
27 2023-12-01  217.35    BUY  2023      X            1
28 2023-11-28  214.14   SELL  2023      X            1
30 2023-11-16  203.12  SHORT  2023      X            2
32 2023-11-07  197.52  SHORT  2023      X            1
35 2023-09-26  299.01    BUY  2023      X            1
39 2023-08-01  376.62    BUY  2023      X            3
40 2023-07-25  333.10   SELL  2023      X            1
41 2023-07-21  337.37    BUY  2023      X            2
43 2023-07-13  361.10    BUY  2023      X            1
44 2023-07-05  337.68   SELL  2023      X            3
46 2023-06-23  328.83   SELL  2023      X            2
48 2023-06-07  301.78   SELL  2023      X            1
50 2023-05-24  281.23  SHORT  2023      X            3
51 2023-05-22  299.01    BUY  2023      X            3
53 2023-04-10  325.06    BUY  2023      X            2
54 2023-04-05  322.50  SHORT  2023      X            2
55 2023-03-31  329.49    BUY  2023      X            1
59 2023-02-14  327.19    BUY  2023      X            1
62 2023-01-19  240.62   SELL  2023      X            2
64 2022-12-28  201.58   SELL  2022      X            1
68 2022-11-03  175.83  SHORT  2022      X            1
69 2022-10-31  191.11    BUY  2022      X            2
70 2022-10-27  187.59   SELL  2022      X            1
71 2022-10-24  209.19    BUY  2022      X            1
75 2022-09-08  251.41    BUY  2022      X            3
76 2022-08-29  248.52  SHORT  2022      X            1
77 2022-08-25  267.17    BUY  2022      X            2
79 2022-08-12  289.00    BUY  2022      X            1"
ARE,44,24,20,20,13,10,"         Date   Price Signal  Year Strike  StrikeCount
1  2024-07-15  126.45    BUY  2024      X            1
2  2024-07-05  116.80   SELL  2024      X            1
4  2024-06-17  115.33  SHORT  2024      X            3
5  2024-06-13  116.78    BUY  2024      X            1
9  2024-04-08  125.89    BUY  2024      X            3
10 2024-04-03  123.50  SHORT  2024      X            2
11 2024-03-27  127.61    BUY  2024      X            2
12 2024-03-12  126.11   SELL  2024      X            2
13 2024-03-08  126.25    BUY  2024      X            1
14 2024-03-06  123.73   SELL  2024      X            1
16 2024-02-13  113.54  SHORT  2024      X            1
17 2024-02-08  117.90    BUY  2024      X            4
19 2024-01-25  123.42    BUY  2024      X            3
21 2023-12-26  129.11    BUY  2023      X            2
23 2023-12-14  129.98    BUY  2023      X            1
24 2023-12-12  117.52   SELL  2023      X            1
30 2023-10-27   93.22  SHORT  2023      X            1
31 2023-10-24   94.66    BUY  2023      X            4
33 2023-10-16  100.11    BUY  2023      X            3
34 2023-10-12   98.43  SHORT  2023      X            2
35 2023-10-09   99.54    BUY  2023      X            2
36 2023-10-04   97.83  SHORT  2023      X            1
37 2023-09-28   99.31    BUY  2023      X            1
42 2023-07-18  117.11   SELL  2023      X            1
47 2023-05-23  118.11    BUY  2023      X            1
50 2023-05-02  120.54  SHORT  2023      X            2
51 2023-04-28  123.18    BUY  2023      X            3
53 2023-04-19  123.96    BUY  2023      X            2
54 2023-04-12  122.66  SHORT  2023      X            1
55 2023-04-06  124.39    BUY  2023      X            1
56 2023-04-03  124.36   SELL  2023      X            1
59 2023-03-15  126.89    BUY  2023      X            1
62 2023-01-18  155.30   SELL  2023      X            1
64 2023-01-05  143.66  SHORT  2023      X            1
65 2022-12-30  145.64    BUY  2022      X            1
69 2022-12-09  149.11    BUY  2022      X            2
71 2022-11-30  152.99    BUY  2022      X            1
72 2022-11-28  151.24   SELL  2022      X            3
74 2022-11-14  149.46   SELL  2022      X            2
76 2022-11-02  143.14   SELL  2022      X            1
78 2022-10-19  131.43  SHORT  2022      X            1
79 2022-10-13  134.65    BUY  2022      X            2
81 2022-10-03  142.05    BUY  2022      X            1
85 2022-08-24  159.32    BUY  2022      X            1"
ALL,35,21,13,21,13,7,"         Date   Price Signal  Year Strike  StrikeCount
3  2024-07-05  158.69  SHORT  2024      X            1
4  2024-07-02  160.18    BUY  2024      X            1
8  2024-05-30  164.98    BUY  2024      X            1
11 2024-05-07  168.64  SHORT  2024      X            1
12 2024-05-01  170.64    BUY  2024      X            1
16 2024-04-03  173.18    BUY  2024      X            1
17 2024-03-27  169.84   SELL  2024      X            4
19 2024-03-01  157.96  SHORT  2024      X            2
21 2024-01-08  149.38   SELL  2024      X            3
23 2023-12-14  143.23   SELL  2023      X            2
25 2023-12-06  138.49   SELL  2023      X            1
29 2023-10-12  114.09   SELL  2023      X            1
33 2023-09-08  106.88  SHORT  2023      X            1
36 2023-08-16  107.33    BUY  2023      X            1
40 2023-07-11  109.07    BUY  2023      X            2
42 2023-05-30  110.51    BUY  2023      X            1
45 2023-05-02  114.77   SELL  2023      X            2
46 2023-04-19  115.24    BUY  2023      X            1
47 2023-04-14  113.94   SELL  2023      X            1
50 2023-03-21  111.52    BUY  2023      X            2
52 2023-02-13  136.08    BUY  2023      X            1
53 2023-02-09  135.99  SHORT  2023      X            2
59 2022-10-26  125.26  SHORT  2022      X            1
60 2022-10-04  129.55    BUY  2022      X            1
64 2022-08-25  127.57    BUY  2022      X            2
66 2022-08-17  130.02    BUY  2022      X            1
67 2022-08-15  127.76   SELL  2022      X            1"
AMCR,36,21,14,18,13,11,"         Date  Price Signal  Year Strike  StrikeCount
4  2024-06-13  10.04    BUY  2024      X            1
9  2024-04-30   8.94   SELL  2024      X            1
12 2024-04-09   9.25    BUY  2024      X            1
20 2024-01-11   9.83    BUY  2024      X            2
21 2024-01-03   9.60   SELL  2024      X            4
22 2023-12-13   9.62    BUY  2023      X            1
23 2023-12-05   9.39   SELL  2023      X            3
25 2023-11-09   9.00   SELL  2023      X            2
27 2023-11-01   8.85   SELL  2023      X            1
30 2023-10-16   8.86    BUY  2023      X            2
32 2023-09-11   9.40    BUY  2023      X            1
36 2023-07-19   9.98    BUY  2023      X            1
37 2023-07-17   9.88  SHORT  2023      X            2
39 2023-07-05   9.81   SELL  2023      X            1
40 2023-06-27  10.01    BUY  2023      X            1
43 2023-05-25   9.84  SHORT  2023      X            1
44 2023-05-22  10.27    BUY  2023      X            3
46 2023-04-28  10.97    BUY  2023      X            2
48 2023-04-13  11.11    BUY  2023      X            1
52 2023-02-23  11.28    BUY  2023      X            3
54 2023-02-13  11.38    BUY  2023      X            2
56 2023-02-02  12.20    BUY  2023      X            1
57 2023-01-10  12.15  SHORT  2023      X            1
61 2022-11-09  11.09   SELL  2022      X            1
66 2022-09-08  12.15    BUY  2022      X            3
68 2022-08-24  12.67    BUY  2022      X            2
69 2022-08-19  12.63   SELL  2022      X            1
70 2022-08-10  12.64    BUY  2022      X            1"
AEE,39,25,13,23,13,9,"         Date  Price Signal  Year Strike  StrikeCount
1  2024-07-05  70.45  SHORT  2024      X            1
2  2024-07-02  71.17    BUY  2024      X            1
6  2024-05-14  74.88    BUY  2024      X            2
7  2024-05-06  73.90   SELL  2024      X            2
8  2024-05-01  74.49    BUY  2024      X            1
9  2024-04-26  74.34   SELL  2024      X            1
12 2024-04-09  73.84    BUY  2024      X            2
13 2024-04-03  73.15   SELL  2024      X            2
14 2024-03-28  73.40    BUY  2024      X            1
15 2024-03-21  71.81   SELL  2024      X            1
18 2024-01-29  69.79    BUY  2024      X            1
22 2023-12-13  79.34    BUY  2023      X            1
23 2023-12-05  78.05   SELL  2023      X            3
25 2023-11-21  76.70   SELL  2023      X            2
26 2023-11-14  77.35    BUY  2023      X            2
27 2023-10-27  76.38   SELL  2023      X            1
28 2023-10-25  76.61    BUY  2023      X            1
33 2023-09-12  78.74  SHORT  2023      X            1
36 2023-07-21  87.48    BUY  2023      X            1
37 2023-07-18  84.31   SELL  2023      X            2
39 2023-07-07  82.49   SELL  2023      X            1
44 2023-05-19  84.12    BUY  2023      X            2
46 2023-05-04  89.75    BUY  2023      X            1
47 2023-04-26  89.74  SHORT  2023      X            1
56 2023-02-13  85.84    BUY  2023      X            2
57 2023-02-09  84.30  SHORT  2023      X            1
58 2023-02-07  85.99    BUY  2023      X            1
65 2022-12-07  86.86   SELL  2022      X            3
67 2022-11-14  83.06   SELL  2022      X            2
69 2022-11-02  81.21   SELL  2022      X            1
72 2022-10-04  83.10    BUY  2022      X            1"
AMZN,38,20,17,20,8,6,"         Date   Price Signal  Year Strike  StrikeCount
3  2024-06-18  182.81  SHORT  2024      X            3
4  2024-06-06  182.88    BUY  2024      X            1
7  2024-04-30  175.86  SHORT  2024      X            2
8  2024-04-23  178.79    BUY  2024      X            1
11 2024-03-05  176.23   SELL  2024      X            5
13 2024-02-06  169.15   SELL  2024      X            4
14 2024-02-02  169.82    BUY  2024      X            2
15 2024-01-31  156.37   SELL  2024      X            3
16 2024-01-25  157.57    BUY  2024      X            1
17 2024-01-16  153.16   SELL  2024      X            2
19 2024-01-04  145.00  SHORT  2024      X            1
20 2023-12-01  146.67    BUY  2023      X            1
21 2023-11-29  146.45   SELL  2023      X            1
27 2023-09-05  137.27  SHORT  2023      X            3
31 2023-07-24  129.45  SHORT  2023      X            2
32 2023-06-30  129.98    BUY  2023      X            2
33 2023-06-26  127.33   SELL  2023      X            6
34 2023-06-22  127.60    BUY  2023      X            1
35 2023-06-14  126.42   SELL  2023      X            5
37 2023-05-22  115.79   SELL  2023      X            4
39 2023-04-25  104.49   SELL  2023      X            3
41 2023-04-05  102.33   SELL  2023      X            2
43 2023-03-20   97.71   SELL  2023      X            1
45 2023-03-07   93.55  SHORT  2023      X            1
48 2023-02-13   98.31    BUY  2023      X            1
51 2023-01-18   95.68   SELL  2023      X            1
53 2023-01-05   84.81  SHORT  2023      X            2
54 2023-01-03   85.82    BUY  2023      X            4
55 2022-12-27   84.00  SHORT  2022      X            1
56 2022-12-21   86.54    BUY  2022      X            3
58 2022-12-08   89.72    BUY  2022      X            2
60 2022-11-23   93.60    BUY  2022      X            1
66 2022-10-04  120.34    BUY  2022      X            5
67 2022-09-30  113.63  SHORT  2022      X            1
68 2022-09-28  115.59    BUY  2022      X            4
70 2022-09-08  129.82    BUY  2022      X            3
71 2022-08-29  129.79  SHORT  2022      X            2
72 2022-08-25  135.77    BUY  2022      X            2
73 2022-08-22  135.19  SHORT  2022      X            1
74 2022-08-16  144.46    BUY  2022      X            1"
